fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,latency,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,48,13,5,0.0572,7.2624,11.6877,0.0639,-2.0996,0.2345
1,latency,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,48,13,5,0.0601,7.1053,11.1445,0.0656,-1.8182,0.2345
1,latency,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,48,13,5,0.0849,6.6034,9.7935,0.0885,-1.1763,0.2759
1,latency,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,48,13,5,0.0614,5.1959,7.1342,0.0799,-0.1549,0.1628
1,latency,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,48,13,5,0.1659,5.2769,6.6926,0.2241,-0.0163,0.2819
1,latency,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,48,13,5,0.1094,5.2023,6.6848,0.1675,-0.014,0.2593
1,latency,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,48,13,5,0.1548,4.7623,6.5254,0.2346,0.0338,0.2731
1,latency,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,48,13,5,0.0662,5.6178,7.2094,0.083,-0.1794,-0.0083
1,latency,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,48,13,5,0.2129,4.93,6.5884,0.2815,0.0151,0.2483
1,latency,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,48,13,5,0.0242,9.1311,17.0566,0.0345,-5.6013,0.1655
1,latency,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,48,13,5,0.2078,5.1064,6.4037,0.2938,0.0695,0.2552
1,latency,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,48,13,5,0.2005,5.1461,6.479,0.273,0.0475,0.3117
1,latency,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,48,13,15,0.0621,5.1775,6.7209,0.1166,-0.025,0.16
