fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,latency,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,50,13,10,-0.0486,6.8205,8.5024,-0.0511,-1.3103,-0.1269
1,latency,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,50,13,10,-0.0568,6.652,8.2811,-0.0594,-1.1917,-0.1076
1,latency,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,50,13,10,-0.0558,6.5697,8.114,-0.0585,-1.1041,-0.0772
1,latency,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,50,13,10,-0.3369,7.3671,8.5725,-0.3708,-1.3486,-0.4166
1,latency,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,50,13,10,-0.0981,5.8462,7.1837,-0.117,-0.6493,-0.1958
1,latency,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,50,13,10,-0.1602,5.9608,6.8987,-0.227,-0.521,-0.3228
1,latency,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,50,13,10,-0.1981,6.2627,7.1316,-0.2427,-0.6254,-0.3641
1,latency,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,50,13,10,-0.2149,7.2094,8.1516,-0.226,-1.1236,-0.3283
1,latency,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,50,13,10,-0.3525,7.6705,8.7428,-0.3616,-1.4428,-0.3035
1,latency,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,50,13,10,-0.1867,8.8963,10.7547,-0.2193,-2.6965,-0.3393
1,latency,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,50,13,10,-0.1971,5.5106,6.6779,-0.31,-0.4252,-0.3467
1,latency,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,50,13,10,-0.1936,6.981,7.7404,-0.2116,-0.9148,-0.3228
1,latency,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,50,13,10,-0.0675,5.852,6.9043,-0.08,-0.5235,-0.2097
1,latency,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Lasso,50,13,10,-0.0756,5.87,6.9132,-0.0887,-0.5274,-0.2455
1,latency,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ElasticNet,50,13,10,-0.0736,6.0908,7.1988,-0.0822,-0.6562,-0.24
1,latency,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,SVR,50,13,10,-0.3663,8.9576,10.0938,-0.3825,-2.2562,-0.4386
1,latency,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,KNN,50,13,10,-0.0869,6.3077,7.345,-0.0934,-0.7242,-0.195
1,latency,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,RF,50,13,10,-0.1317,5.7585,6.7366,-0.1972,-0.4503,-0.3283
1,latency,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ET,50,13,10,-0.1322,5.8327,6.8747,-0.1702,-0.5104,-0.2455
1,latency,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,GB,50,13,10,-0.2795,7.2975,7.9875,-0.3313,-1.039,-0.4276
