fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,50,13,10,0.3428,5.326,6.337,0.3981,0.0951,0.3702
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,50,13,10,0.3633,5.4686,6.4384,0.4047,0.0659,0.4088
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,50,13,10,0.3642,5.4014,6.4018,0.4078,0.0765,0.4088
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,50,13,10,0.1407,5.8998,6.6596,0.2265,0.0006,0.1823
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,50,13,10,0.1268,5.4615,6.6502,0.2122,0.0035,0.2078
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,50,13,10,0.0657,5.8162,6.8611,0.1197,-0.0608,0.0939
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,50,13,10,0.1497,5.4442,6.5014,0.2664,0.0476,0.2376
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,50,13,10,0.2119,5.6531,6.5076,0.3622,0.0457,0.2265
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,50,13,10,0.2689,5.1451,6.1446,0.4734,0.1492,0.4807
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,50,13,10,0.1997,6.1678,7.1634,0.2297,-0.1563,0.105
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,50,13,10,-0.0395,6.1018,7.3294,-0.068,-0.2105,0.011
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,50,13,10,0.1208,5.6144,6.6032,0.2401,0.0175,0.2597
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,50,13,15,0.3288,5.1918,6.0722,0.4307,0.1692,0.2983
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Lasso,50,13,15,0.2775,5.3258,6.3854,0.3522,0.0812,0.326
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ElasticNet,50,13,15,0.2327,5.1476,6.1115,0.4307,0.1584,0.3591
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,SVR,50,13,15,0.1692,5.8833,6.7504,0.2512,-0.0268,0.1823
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,KNN,50,13,15,0.2855,5.2418,6.217,0.4393,0.1291,0.4044
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,RF,50,13,15,0.131,5.4722,6.5089,0.3083,0.0454,0.2597
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ET,50,13,15,0.2053,5.2269,6.2544,0.406,0.1185,0.3204
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,GB,50,13,15,0.0354,5.7849,7.1186,0.0666,-0.1418,0.0442
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,XGB,50,13,15,0.0228,5.5429,7.0831,0.0459,-0.1305,0.0221
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,MLP,50,13,15,0.2935,4.8949,5.9405,0.5519,0.2048,0.4475
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,LGBM,50,13,15,-0.0369,6.0157,7.1533,-0.073,-0.153,-0.1215
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,CatBoost,50,13,15,0.1574,5.5673,6.5414,0.3157,0.0358,0.2044
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,RobustScaler,Ridge,50,13,10,0.269,5.581,6.5173,0.3326,0.0429,0.2597
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,RobustScaler,Lasso,50,13,10,0.3166,5.671,6.5768,0.3663,0.0253,0.2983
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,RobustScaler,ElasticNet,50,13,10,0.3067,5.5989,6.5255,0.3619,0.0405,0.2762
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,RobustScaler,SVR,50,13,10,0.0988,6.1132,6.8148,0.1458,-0.0465,0.1492
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,RobustScaler,KNN,50,13,10,-0.0023,7.2051,8.0037,-0.0026,-0.4435,0.1494
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,RobustScaler,RF,50,13,10,0.1383,5.8194,6.5891,0.2215,0.0217,0.1271
1,latency,SHAM,phq_8,PHQ8,cross-corpus-882,RobustScaler,ET,50,13,10,0.0577,5.9854,6.9237,0.0914,-0.0802,0.0884
