fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,Ridge,51,13,5,0.1891,7.4334,12.5478,0.2478,-2.9038,0.4903
1,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,Lasso,51,13,5,0.1897,7.4396,12.5932,0.2494,-2.9321,0.4903
1,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,ElasticNet,51,13,5,0.1909,7.3296,12.1064,0.2435,-2.634,0.4903
1,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,SVR,51,13,5,0.0763,5.3974,6.8508,0.1116,-0.1637,0.2022
1,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,KNN,51,13,5,0.1833,4.6752,6.2502,0.2836,0.0314,0.3454
1,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,RF,51,13,5,-0.0816,5.73,6.9919,-0.1335,-0.2121,0.036
1,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,ET,51,13,5,0.115,4.9265,6.3729,0.1885,-0.007,0.4044
1,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,GB,51,13,5,-0.2275,6.5972,7.8085,-0.3096,-0.5118,-0.2992
1,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,XGB,51,13,5,-0.1576,6.5195,7.7235,-0.197,-0.4791,-0.2105
1,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,MLP,51,13,5,0.0351,5.7478,7.3598,0.0393,-0.343,0.1468
1,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,LGBM,51,13,5,0.0909,5.3364,6.557,0.1289,-0.066,0.0917
1,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,CatBoost,51,13,5,-0.1475,5.9876,7.3942,-0.2255,-0.3556,-0.2853
1,emotion_induction_1,ADK,phq_8,PHQ8,full,MinMaxScaler,Ridge,51,13,5,0.1903,7.4287,12.5621,0.2498,-2.9128,0.4903
1,emotion_induction_1,ADK,phq_8,PHQ8,full,MinMaxScaler,Lasso,51,13,5,0.1964,7.307,12.1436,0.2522,-2.6564,0.4903
1,emotion_induction_1,ADK,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,51,13,5,0.2064,7.0969,11.4358,0.2552,-2.2426,0.4903
1,emotion_induction_1,ADK,phq_8,PHQ8,full,MinMaxScaler,SVR,51,13,5,0.23,5.2925,6.9142,0.247,-0.1853,0.374
1,emotion_induction_1,ADK,phq_8,PHQ8,full,MinMaxScaler,KNN,51,13,5,0.2691,4.7473,6.0461,0.3936,0.0936,0.4591
1,emotion_induction_1,ADK,phq_8,PHQ8,full,MinMaxScaler,RF,51,13,5,-0.0198,5.4952,6.8484,-0.0305,-0.1629,0.0776
1,emotion_induction_1,ADK,phq_8,PHQ8,full,MinMaxScaler,ET,51,13,5,0.086,4.8838,6.4585,0.1428,-0.0343,0.4211
1,emotion_induction_1,ADK,phq_8,PHQ8,full,MinMaxScaler,GB,51,13,5,-0.2124,6.5695,7.7806,-0.2837,-0.501,-0.2992
1,emotion_induction_1,ADK,phq_8,PHQ8,full,MinMaxScaler,XGB,51,13,5,-0.1576,6.5195,7.7235,-0.197,-0.4791,-0.2105
1,emotion_induction_1,ADK,phq_8,PHQ8,full,MinMaxScaler,MLP,51,13,5,0.3727,5.054,6.2874,0.4196,0.0198,0.482
1,emotion_induction_1,ADK,phq_8,PHQ8,full,MinMaxScaler,LGBM,51,13,5,0.0457,5.2855,6.7425,0.0637,-0.1272,0.1861
1,emotion_induction_1,ADK,phq_8,PHQ8,full,MinMaxScaler,CatBoost,51,13,5,-0.0541,5.6881,6.9919,-0.0847,-0.2121,-0.0277
1,emotion_induction_1,ADK,phq_8,PHQ8,full,RobustScaler,Ridge,51,13,5,0.3828,4.961,5.6419,0.4685,0.2108,0.41
1,emotion_induction_1,ADK,phq_8,PHQ8,full,RobustScaler,Lasso,51,13,5,0.3794,4.9425,5.6138,0.4742,0.2186,0.4238
1,emotion_induction_1,ADK,phq_8,PHQ8,full,RobustScaler,ElasticNet,51,13,5,0.3629,4.9298,5.6246,0.4699,0.2156,0.41
1,emotion_induction_1,ADK,phq_8,PHQ8,full,RobustScaler,SVR,51,13,5,0.4014,4.7278,5.7996,0.4991,0.166,0.3795
1,emotion_induction_1,ADK,phq_8,PHQ8,full,RobustScaler,KNN,51,13,5,0.1444,5.7253,6.4505,0.2041,-0.0317,0.1026
1,emotion_induction_1,ADK,phq_8,PHQ8,full,RobustScaler,RF,51,13,5,0.2951,5.0527,5.6762,0.486,0.2011,0.3324
1,emotion_induction_1,ADK,phq_8,PHQ8,full,RobustScaler,ET,51,13,5,0.3847,4.6808,5.2576,0.6349,0.3146,0.62
1,emotion_induction_1,ADK,phq_8,PHQ8,full,RobustScaler,GB,51,13,5,0.3623,4.8441,5.6316,0.4662,0.2136,0.4571
1,emotion_induction_1,ADK,phq_8,PHQ8,full,RobustScaler,XGB,51,13,5,0.5065,4.2505,4.9053,0.6775,0.4034,0.6898
1,emotion_induction_1,ADK,phq_8,PHQ8,full,RobustScaler,MLP,51,13,5,0.3089,5.0977,5.9424,0.3839,0.1245,0.2687
1,emotion_induction_1,ADK,phq_8,PHQ8,full,RobustScaler,LGBM,51,13,5,0.0461,5.8841,6.9713,0.0578,-0.205,0.0957
1,emotion_induction_1,ADK,phq_8,PHQ8,full,RobustScaler,CatBoost,51,13,5,0.3114,4.8242,5.4834,0.5991,0.2545,0.5568
2,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,Ridge,51,13,5,-0.0085,4.8948,6.0987,-0.0096,-0.4176,0.0526
2,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,Lasso,51,13,5,0.0054,4.651,5.6125,0.0075,-0.2006,0.0415
2,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,ElasticNet,51,13,5,-0.0248,4.6868,5.7896,-0.0329,-0.2776,-0.0692
2,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,SVR,51,13,5,0.1143,5.2011,6.2765,0.122,-0.5015,0.1107
2,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,KNN,51,13,5,-0.0056,5.2967,6.445,-0.0059,-0.5832,-0.1357
2,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,RF,51,13,5,0.0531,5.0724,6.0411,0.0579,-0.391,0.0055
2,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,ET,51,13,5,0.099,5.2662,6.1388,0.1033,-0.4363,0.1273
2,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,GB,51,13,5,0.3836,4.613,5.4006,0.3871,-0.1117,0.3237
2,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,XGB,51,13,5,0.3397,4.5988,5.4814,0.3459,-0.1452,0.332
2,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,MLP,51,13,5,0.0507,4.8631,6.1929,0.055,-0.4618,0.0083
2,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,LGBM,51,13,5,0.1422,5.1618,6.1838,0.1471,-0.4575,0.0028
2,emotion_induction_1,ADK,phq_8,PHQ8,full,StandardScaler,CatBoost,51,13,5,0.0303,5.1179,6.21,0.032,-0.4698,-0.036
2,emotion_induction_1,ADK,phq_8,PHQ8,full,MinMaxScaler,Ridge,51,13,15,-0.2672,5.4872,6.5486,-0.3465,-0.6345,-0.3873
2,emotion_induction_1,ADK,phq_8,PHQ8,full,MinMaxScaler,Lasso,51,13,15,-0.2298,5.3547,6.3863,-0.3081,-0.5545,-0.343
