fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,Ridge,202,51,10,0.0214,5.0733,5.9902,0.048,-0.0353,0.0921
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,Lasso,202,51,10,0.0791,4.9556,5.9756,0.1286,-0.0302,0.1391
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,ElasticNet,202,51,10,0.012,5.0849,5.9561,0.034,-0.0235,0.0964
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,SVR,202,51,10,0.1192,4.8391,5.7872,0.2159,0.0337,0.2377
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,KNN,202,51,10,0.0556,5.3098,6.5817,0.066,-0.2498,0.0611
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,RF,202,51,10,0.1129,4.9234,5.8674,0.1828,0.0067,0.1592
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,ET,202,51,10,0.1325,4.7499,5.839,0.2055,0.0163,0.1762
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,GB,202,51,10,0.1869,4.7283,5.8995,0.2381,-0.0042,0.2375
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,XGB,202,51,10,0.1506,4.9055,5.9949,0.1958,-0.0369,0.199
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,MLP,202,51,10,-0.0047,5.2474,6.5486,-0.006,-0.2373,0.0945
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,LGBM,202,51,10,0.1276,5.1282,6.1994,0.1578,-0.1089,0.1568
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,CatBoost,202,51,10,0.1131,4.7977,5.8588,0.1852,0.0097,0.157
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,Ridge,202,51,15,-0.0012,5.1453,6.0093,-0.0032,-0.0419,0.0441
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,Lasso,202,51,15,0.0244,5.0334,5.8967,0.0771,-0.0032,0.0801
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,202,51,15,-0.0021,5.1259,5.9667,-0.0072,-0.0272,0.0578
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,SVR,202,51,15,0.0114,5.2107,6.0403,0.0262,-0.0527,0.0586
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,KNN,202,51,15,0.1532,4.7756,5.8273,0.2239,0.0203,0.2396
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,RF,202,51,15,-0.0184,5.2302,6.245,-0.0317,-0.1252,-0.0189
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,ET,202,51,15,0.091,4.9563,5.9363,0.1478,-0.0167,0.1042
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,GB,202,51,15,-0.0342,5.605,6.5945,-0.045,-0.2547,-0.0644
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,XGB,202,51,15,-0.0082,5.5813,6.4969,-0.0109,-0.2178,-0.0256
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,MLP,202,51,15,-0.0185,5.2331,6.0916,-0.0461,-0.0706,0.0615
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,LGBM,202,51,15,0.0168,5.5009,6.5128,0.0211,-0.2238,-0.015
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,CatBoost,202,51,15,0.0899,5.0074,5.9394,0.1479,-0.0178,0.117
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,Ridge,202,51,10,0.0219,5.0882,5.9909,0.0487,-0.0355,0.117
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,Lasso,202,51,10,0.087,4.9717,5.9734,0.1374,-0.0295,0.1213
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,ElasticNet,202,51,10,0.014,5.0943,5.9471,0.0402,-0.0204,0.1051
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,SVR,202,51,10,0.1297,4.8034,5.7324,0.2393,0.0519,0.2361
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,KNN,202,51,10,0.0219,5.2857,6.3885,0.0295,-0.1775,0.0192
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,RF,202,51,10,0.0811,4.9277,5.9269,0.1397,-0.0135,0.1288
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,ET,202,51,10,0.0731,4.9372,6.0442,0.1123,-0.054,0.0716
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,GB,202,51,10,0.0872,4.8563,5.8698,0.1599,0.0059,0.12
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,XGB,202,51,10,0.0978,4.9039,5.8894,0.1663,-0.0007,0.0873
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,MLP,202,51,10,0.0439,5.2136,6.5129,0.0533,-0.2238,0.1348
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,LGBM,202,51,10,0.1279,4.9402,5.9333,0.1838,-0.0157,0.1389
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,CatBoost,202,51,10,0.103,4.8945,5.8168,0.1892,0.0238,0.1607
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,Ridge,202,51,15,0.0368,5.1635,6.2736,0.0781,-0.1482,0.0958
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,Lasso,202,51,15,0.0452,5.1739,6.3316,0.0869,-0.1695,0.1208
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,ElasticNet,202,51,15,0.051,5.1699,6.3651,0.0926,-0.182,0.1227
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,SVR,202,51,15,-0.0373,5.2832,6.4299,-0.0833,-0.2062,-0.082
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,KNN,202,51,15,-0.0379,5.3389,6.6788,-0.0557,-0.3013,-0.0256
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,RF,202,51,15,0.0534,5.2012,6.3986,0.0728,-0.1944,0.0857
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,ET,202,51,15,0.0235,5.3588,6.6036,0.0321,-0.2722,0.0124
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,GB,202,51,15,0.026,5.3593,6.5193,0.0362,-0.2399,-0.0021
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,XGB,202,51,15,0.0412,5.2495,6.4031,0.0582,-0.1961,0.0185
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,MLP,202,51,15,-0.0724,5.5942,6.8688,-0.1126,-0.3764,-0.1513
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,LGBM,202,51,15,0.0069,5.4373,6.5483,0.0097,-0.251,-0.0277
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,CatBoost,202,51,15,0.0215,5.1172,6.33,0.0378,-0.1689,0.0953
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,Ridge,202,51,20,0.0446,5.0962,6.1871,0.1107,-0.1168,0.1299
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,Lasso,202,51,20,0.0586,5.0559,6.1502,0.1459,-0.1035,0.1517
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,202,51,20,0.0355,5.1049,6.1702,0.0968,-0.1107,0.1131
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,SVR,202,51,20,-0.0104,5.1386,6.3189,-0.0271,-0.1649,-0.0186
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,KNN,202,51,20,-0.0483,5.2636,6.6433,-0.083,-0.2875,-0.0558
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,RF,202,51,20,0.1062,4.71,6.1086,0.161,-0.0886,0.1576
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,ET,202,51,20,-0.0231,5.1743,6.6561,-0.0326,-0.2925,-0.0043
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,GB,202,51,20,0.1279,4.8317,6.262,0.1679,-0.144,0.1741
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,XGB,202,51,20,0.1256,4.7762,6.213,0.1711,-0.1261,0.1659
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,MLP,202,51,20,0.0162,5.2145,6.2627,0.0553,-0.1442,-0.0661
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,LGBM,202,51,20,0.2106,4.6615,6.0542,0.2686,-0.0693,0.2085
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,CatBoost,202,51,20,0.0772,4.782,6.2141,0.1248,-0.1265,0.1358
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,Ridge,202,51,15,0.0834,5.0313,6.2154,0.1638,-0.127,0.1351
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,Lasso,202,51,15,0.0701,5.0392,6.203,0.1512,-0.1225,0.1305
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,ElasticNet,202,51,15,0.0719,5.0366,6.2098,0.1516,-0.125,0.1236
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,SVR,202,51,15,0.0373,4.921,6.4564,0.0494,-0.2161,0.1446
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,KNN,202,51,15,0.1644,4.3747,5.9465,0.2465,-0.0316,0.2801
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,RF,202,51,15,0.0921,4.7698,6.1276,0.1336,-0.0954,0.1573
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,ET,202,51,15,0.0354,5.2272,6.5451,0.0492,-0.2497,0.0636
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,GB,202,51,15,0.1013,4.7233,6.1349,0.1458,-0.098,0.1021
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,XGB,202,51,15,0.147,4.6686,5.9991,0.2139,-0.0499,0.1885
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,MLP,202,51,15,0.0074,5.6089,6.7276,0.0106,-0.3204,0.1093
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,LGBM,202,51,15,0.1813,4.8667,5.9713,0.2505,-0.0402,0.1953
2,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,CatBoost,202,51,15,0.0926,4.7666,6.0569,0.162,-0.0703,0.2021
3,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,Ridge,202,51,10,0.0122,5.0144,5.8262,0.0199,-0.1255,0.0465
3,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,Lasso,202,51,10,0.0463,5.1951,6.0623,0.057,-0.2185,0.0859
3,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,ElasticNet,202,51,10,0.0019,4.9267,5.7063,0.0042,-0.0797,0.0252
3,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,SVR,202,51,10,0.0895,4.7594,5.691,0.1568,-0.0738,0.1515
3,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,KNN,202,51,10,0.0796,4.9935,6.018,0.0977,-0.2008,0.0847
3,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,RF,202,51,10,0.0273,5.0835,5.9732,0.0383,-0.183,0.0533
3,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,ET,202,51,10,0.0781,4.9336,5.8987,0.1057,-0.1537,0.108
3,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,GB,202,51,10,0.0253,5.1824,6.2527,0.031,-0.2963,0.0642
3,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,XGB,202,51,10,0.0623,5.1533,6.099,0.0758,-0.2334,0.0841
3,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,MLP,202,51,10,0.0576,5.1646,6.0329,0.0756,-0.2068,0.0562
3,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,LGBM,202,51,10,0.0446,5.3111,6.3823,0.0528,-0.3506,0.0721
3,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,CatBoost,202,51,10,0.0468,5.0374,6.0025,0.0628,-0.1946,0.0634
3,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,Ridge,202,51,5,0.0453,4.948,5.7769,0.0704,-0.1065,0.0792
3,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,Lasso,202,51,5,0.0447,5.1106,5.9504,0.0598,-0.174,0.0677
3,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,202,51,5,0.044,4.9302,5.7584,0.0702,-0.0994,0.0811
3,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,SVR,202,51,5,0.0779,4.8233,5.7419,0.1218,-0.0932,0.1335
3,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,KNN,202,51,5,0.0686,4.658,5.7378,0.1018,-0.0916,0.0868
3,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,RF,202,51,5,0.1192,4.9248,5.7112,0.1714,-0.0815,0.1613
3,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,ET,202,51,5,0.075,4.7863,5.7609,0.1177,-0.1004,0.0626
3,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,GB,202,51,5,0.1246,4.9709,5.9551,0.1584,-0.1758,0.1311
3,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,XGB,202,51,5,0.1539,4.8864,5.8652,0.1987,-0.1406,0.1887
