fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,emotion_induction_1,CRADK,phq_8,PHQ8,full,StandardScaler,Ridge,49,13,5,-0.3855,7.2027,9.263,-0.4558,-0.9469,-0.469
1,emotion_induction_1,CRADK,phq_8,PHQ8,full,StandardScaler,Lasso,49,13,5,-0.4121,7.4399,9.5822,-0.474,-1.0834,-0.5214
1,emotion_induction_1,CRADK,phq_8,PHQ8,full,StandardScaler,ElasticNet,49,13,5,-0.3955,7.3324,9.4408,-0.4579,-1.0224,-0.469
1,emotion_induction_1,CRADK,phq_8,PHQ8,full,StandardScaler,SVR,49,13,5,-0.3768,8.4999,10.3316,-0.3834,-1.422,-0.3779
1,emotion_induction_1,CRADK,phq_8,PHQ8,full,StandardScaler,KNN,49,13,5,-0.2486,7.2923,9.2859,-0.2997,-0.9566,-0.3771
1,emotion_induction_1,CRADK,phq_8,PHQ8,full,StandardScaler,RF,49,13,5,-0.647,8.1008,10.3202,-0.6967,-1.4167,-0.6235
1,emotion_induction_1,CRADK,phq_8,PHQ8,full,StandardScaler,ET,49,13,5,-0.494,8.1577,9.9613,-0.5232,-1.2515,-0.4938
1,emotion_induction_1,CRADK,phq_8,PHQ8,full,StandardScaler,GB,49,13,5,-0.6735,8.7942,10.9818,-0.6937,-1.7365,-0.6372
1,emotion_induction_1,CRADK,phq_8,PHQ8,full,StandardScaler,XGB,49,13,5,-0.6137,8.6297,10.7743,-0.6349,-1.6341,-0.6566
1,emotion_induction_1,CRADK,phq_8,PHQ8,full,StandardScaler,MLP,49,13,5,-0.3945,9.026,11.6628,-0.4109,-2.0864,-0.4248
1,emotion_induction_1,CRADK,phq_8,PHQ8,full,StandardScaler,LGBM,49,13,5,-0.3492,6.8785,8.8037,-0.4335,-0.7587,-0.3476
1,emotion_induction_1,CRADK,phq_8,PHQ8,full,StandardScaler,CatBoost,49,13,5,-0.647,8.6914,10.8275,-0.6726,-1.6601,-0.6179
1,emotion_induction_1,CRADK,phq_8,PHQ8,full,MinMaxScaler,Ridge,49,13,5,-0.4096,7.652,9.6838,-0.4528,-1.1279,-0.5407
1,emotion_induction_1,CRADK,phq_8,PHQ8,full,MinMaxScaler,Lasso,49,13,5,-0.3936,7.6222,9.6958,-0.4332,-1.1331,-0.4883
1,emotion_induction_1,CRADK,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,49,13,5,-0.4071,7.6067,9.6251,-0.4525,-1.1021,-0.5407
1,emotion_induction_1,CRADK,phq_8,PHQ8,full,MinMaxScaler,SVR,49,13,5,-0.3917,7.9034,9.8389,-0.4245,-1.1966,-0.4883
1,emotion_induction_1,CRADK,phq_8,PHQ8,full,MinMaxScaler,KNN,49,13,5,-0.3373,6.9744,8.8169,-0.4413,-0.7639,-0.4883
