fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,emotion_induction_1,CR,phq_8,PHQ8,full,StandardScaler,Ridge,51,13,5,-0.5721,6.6165,8.2268,-0.6947,-1.163,-0.6841
1,emotion_induction_1,CR,phq_8,PHQ8,full,StandardScaler,Lasso,51,13,5,-0.5419,6.5525,8.1058,-0.6711,-1.0999,-0.5959
1,emotion_induction_1,CR,phq_8,PHQ8,full,StandardScaler,ElasticNet,51,13,5,-0.5659,6.6141,8.216,-0.6873,-1.1573,-0.64
1,emotion_induction_1,CR,phq_8,PHQ8,full,StandardScaler,SVR,51,13,5,-0.1464,5.8286,7.127,-0.2245,-0.6233,-0.2455
1,emotion_induction_1,CR,phq_8,PHQ8,full,StandardScaler,KNN,51,13,5,-0.2027,6.0769,7.6123,-0.3361,-0.852,-0.3407
1,emotion_induction_1,CR,phq_8,PHQ8,full,StandardScaler,RF,51,13,5,-0.3893,5.8279,7.4493,-0.5857,-0.7735,-0.549
1,emotion_induction_1,CR,phq_8,PHQ8,full,StandardScaler,ET,51,13,5,-0.3276,6.0427,7.5151,-0.4755,-0.805,-0.4966
1,emotion_induction_1,CR,phq_8,PHQ8,full,StandardScaler,GB,51,13,5,-0.3502,6.8217,8.2973,-0.4612,-1.2003,-0.4221
1,emotion_induction_1,CR,phq_8,PHQ8,full,StandardScaler,XGB,51,13,5,-0.2578,6.8587,8.1171,-0.3244,-1.1057,-0.3366
1,emotion_induction_1,CR,phq_8,PHQ8,full,StandardScaler,MLP,51,13,5,-0.3719,6.1691,8.0822,-0.5139,-1.0876,-0.5076
1,emotion_induction_1,CR,phq_8,PHQ8,full,StandardScaler,LGBM,51,13,5,-0.4161,5.7726,7.8584,-0.5394,-0.9736,-0.5297
1,emotion_induction_1,CR,phq_8,PHQ8,full,StandardScaler,CatBoost,51,13,5,-0.3673,6.3809,7.7595,-0.5386,-0.9242,-0.5683
1,emotion_induction_1,CR,phq_8,PHQ8,full,MinMaxScaler,Ridge,51,13,10,-0.5923,6.5141,8.2684,-0.7228,-1.1849,-0.709
1,emotion_induction_1,CR,phq_8,PHQ8,full,MinMaxScaler,Lasso,51,13,10,-0.526,6.1961,7.7339,-0.743,-0.9116,-0.72
1,emotion_induction_1,CR,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,51,13,10,-0.5782,6.3885,8.0577,-0.7409,-1.075,-0.72
1,emotion_induction_1,CR,phq_8,PHQ8,full,MinMaxScaler,SVR,51,13,10,-0.6754,6.6918,8.7313,-0.7658,-1.4364,-0.8524
1,emotion_induction_1,CR,phq_8,PHQ8,full,MinMaxScaler,KNN,51,13,10,-0.4159,6.2615,8.0611,-0.6984,-1.0768,-0.616
1,emotion_induction_1,CR,phq_8,PHQ8,full,MinMaxScaler,RF,51,13,10,-0.5253,6.5679,8.0307,-0.6645,-1.0611,-0.6262
1,emotion_induction_1,CR,phq_8,PHQ8,full,MinMaxScaler,ET,51,13,10,-0.4889,6.3273,7.9166,-0.6258,-1.003,-0.5959
1,emotion_induction_1,CR,phq_8,PHQ8,full,MinMaxScaler,GB,51,13,10,-0.4792,6.9881,8.4672,-0.5463,-1.2913,-0.6621
1,emotion_induction_1,CR,phq_8,PHQ8,full,MinMaxScaler,XGB,51,13,10,-0.5286,7.6748,8.9699,-0.623,-1.5714,-0.5986
1,emotion_induction_1,CR,phq_8,PHQ8,full,MinMaxScaler,MLP,51,13,10,-0.6095,6.6081,8.3336,-0.7406,-1.2195,-0.7035
1,emotion_induction_1,CR,phq_8,PHQ8,full,MinMaxScaler,LGBM,51,13,10,-0.4397,6.0804,7.9151,-0.6498,-1.0022,-0.5546
1,emotion_induction_1,CR,phq_8,PHQ8,full,MinMaxScaler,CatBoost,51,13,10,-0.5051,6.6178,8.082,-0.6202,-1.0875,-0.64
1,emotion_induction_1,CR,phq_8,PHQ8,full,RobustScaler,Ridge,51,13,5,-0.4936,6.1836,7.6817,-0.6942,-0.8859,-0.6648
1,emotion_induction_1,CR,phq_8,PHQ8,full,RobustScaler,Lasso,51,13,5,-0.5663,6.497,8.092,-0.7112,-1.0927,-0.7145
1,emotion_induction_1,CR,phq_8,PHQ8,full,RobustScaler,ElasticNet,51,13,5,-0.5407,6.3904,7.9506,-0.7029,-1.0202,-0.7145
1,emotion_induction_1,CR,phq_8,PHQ8,full,RobustScaler,SVR,51,13,5,-0.4545,5.8631,7.6235,-0.5557,-0.8574,-0.4
1,emotion_induction_1,CR,phq_8,PHQ8,full,RobustScaler,KNN,51,13,5,-0.3347,5.989,7.4662,-0.4741,-0.7815,-0.482
1,emotion_induction_1,CR,phq_8,PHQ8,full,RobustScaler,RF,51,13,5,-0.3895,5.8261,7.449,-0.5861,-0.7733,-0.549
1,emotion_induction_1,CR,phq_8,PHQ8,full,RobustScaler,ET,51,13,5,-0.3276,6.0427,7.5151,-0.4755,-0.805,-0.4966
1,emotion_induction_1,CR,phq_8,PHQ8,full,RobustScaler,GB,51,13,5,-0.3502,6.8217,8.2973,-0.4612,-1.2003,-0.4221
1,emotion_induction_1,CR,phq_8,PHQ8,full,RobustScaler,XGB,51,13,5,-0.2578,6.8587,8.1171,-0.3244,-1.1057,-0.3366
1,emotion_induction_1,CR,phq_8,PHQ8,full,RobustScaler,MLP,51,13,5,-0.4965,6.4431,8.1814,-0.625,-1.1392,-0.5131
1,emotion_induction_1,CR,phq_8,PHQ8,full,RobustScaler,LGBM,51,13,5,-0.3758,5.7911,7.7492,-0.482,-0.9192,-0.424
1,emotion_induction_1,CR,phq_8,PHQ8,full,RobustScaler,CatBoost,51,13,5,-0.3656,6.3736,7.7458,-0.5373,-0.9175,-0.5683
