fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,emotion_induction_1,SHAM,phq_8,PHQ8,full,StandardScaler,Ridge,50,13,10,-0.225,7.061,7.9666,-0.3379,-0.4301,-0.4088
1,emotion_induction_1,SHAM,phq_8,PHQ8,full,StandardScaler,Lasso,50,13,10,-0.2404,7.1638,8.1319,-0.3417,-0.4901,-0.4088
1,emotion_induction_1,SHAM,phq_8,PHQ8,full,StandardScaler,ElasticNet,50,13,10,-0.2368,7.1362,8.0875,-0.3407,-0.4739,-0.4088
1,emotion_induction_1,SHAM,phq_8,PHQ8,full,StandardScaler,SVR,50,13,10,-0.0281,6.8138,7.7343,-0.0351,-0.3479,-0.1215
1,emotion_induction_1,SHAM,phq_8,PHQ8,full,StandardScaler,KNN,50,13,10,-0.0478,6.3419,7.2798,-0.0759,-0.1942,-0.2111
1,emotion_induction_1,SHAM,phq_8,PHQ8,full,StandardScaler,RF,50,13,10,0.1224,6.0658,6.8388,0.1645,-0.0539,0.2044
1,emotion_induction_1,SHAM,phq_8,PHQ8,full,StandardScaler,ET,50,13,10,0.0625,6.3319,7.0021,0.088,-0.1048,-0.0055
1,emotion_induction_1,SHAM,phq_8,PHQ8,full,StandardScaler,GB,50,13,10,0.105,6.3324,7.2883,0.1209,-0.197,0.0884
1,emotion_induction_1,SHAM,phq_8,PHQ8,full,StandardScaler,XGB,50,13,10,0.1846,6.6489,7.2937,0.1998,-0.1987,0.1326
1,emotion_induction_1,SHAM,phq_8,PHQ8,full,StandardScaler,MLP,50,13,10,-0.2532,7.9083,8.8243,-0.2934,-0.7546,-0.4033
1,emotion_induction_1,SHAM,phq_8,PHQ8,full,StandardScaler,LGBM,50,13,10,-0.0442,6.3352,7.2876,-0.0663,-0.1967,-0.117
1,emotion_induction_1,SHAM,phq_8,PHQ8,full,StandardScaler,CatBoost,50,13,10,0.0755,6.4815,7.3073,0.0896,-0.2032,0.1215
1,emotion_induction_1,SHAM,phq_8,PHQ8,full,MinMaxScaler,Ridge,50,13,10,-0.2441,7.2189,8.1534,-0.3456,-0.498,-0.4088
1,emotion_induction_1,SHAM,phq_8,PHQ8,full,MinMaxScaler,Lasso,50,13,10,-0.2246,7.0489,8.0733,-0.3211,-0.4687,-0.3315
1,emotion_induction_1,SHAM,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,50,13,10,-0.2364,7.2206,8.0582,-0.3459,-0.4632,-0.4088
1,emotion_induction_1,SHAM,phq_8,PHQ8,full,MinMaxScaler,SVR,50,13,10,-0.0562,6.6766,7.5613,-0.0791,-0.2883,-0.1823
1,emotion_induction_1,SHAM,phq_8,PHQ8,full,MinMaxScaler,KNN,50,13,10,-0.1448,6.6264,7.5952,-0.2491,-0.2999,-0.3158
1,emotion_induction_1,SHAM,phq_8,PHQ8,full,MinMaxScaler,RF,50,13,10,0.0395,6.4654,7.2306,0.0516,-0.1781,-0.0166
