fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,Ridge,200,50,5,-0.0304,5.6502,6.4797,-0.045,-0.1945,-0.0614
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,Lasso,200,50,5,-0.0319,5.6963,6.5583,-0.0447,-0.2236,-0.0514
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,ElasticNet,200,50,5,-0.0289,5.6115,6.4302,-0.0445,-0.1763,-0.0611
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,SVR,200,50,5,-0.0444,5.5599,6.4869,-0.0668,-0.1971,-0.0496
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,KNN,200,50,5,-0.0915,5.7511,6.7812,-0.1246,-0.3082,-0.1315
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,RF,200,50,5,-0.0051,5.4452,6.4457,-0.0072,-0.182,0.0056
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,ET,200,50,5,-0.0304,5.4786,6.4181,-0.0471,-0.1719,-0.0579
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,GB,200,50,5,-0.0036,5.4681,6.5391,-0.0049,-0.2165,0.0049
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,XGB,200,50,5,0.0192,5.3739,6.4339,0.0263,-0.1776,0.0188
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,MLP,200,50,5,0.0054,5.4334,6.5083,0.0071,-0.205,0.0018
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,LGBM,200,50,5,0.0072,5.5553,6.5609,0.0091,-0.2246,0.0097
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,CatBoost,200,50,5,-0.0122,5.45,6.4147,-0.0179,-0.1706,-0.0352
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,Ridge,200,50,10,-0.0697,5.5931,6.5771,-0.109,-0.2307,-0.0944
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,Lasso,200,50,10,-0.07,5.6516,6.6403,-0.1039,-0.2544,-0.0956
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,200,50,10,-0.0684,5.5523,6.5253,-0.1123,-0.2113,-0.0982
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,SVR,200,50,10,-0.089,5.7178,6.6587,-0.1315,-0.2614,-0.1348
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,KNN,200,50,10,-0.1572,6.056,7.0167,-0.2125,-0.4007,-0.2074
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,RF,200,50,10,-0.0865,5.4384,6.6244,-0.1341,-0.2484,-0.1368
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,ET,200,50,10,-0.1589,5.6879,6.8633,-0.2384,-0.3401,-0.2139
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,GB,200,50,10,-0.2108,5.9184,7.493,-0.2476,-0.5973,-0.2314
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,XGB,200,50,10,-0.1364,5.5413,6.9394,-0.184,-0.37,-0.1747
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,MLP,200,50,10,-0.0623,5.6203,6.6503,-0.0898,-0.2582,-0.0829
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,LGBM,200,50,10,-0.0989,5.6806,7.0546,-0.1204,-0.4159,-0.0955
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,CatBoost,200,50,10,-0.0827,5.4596,6.6091,-0.1285,-0.2427,-0.1616
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,Ridge,200,50,10,-0.0421,5.423,6.3562,-0.0758,-0.1494,-0.1152
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,Lasso,200,50,10,-0.0817,5.8533,6.7749,-0.1151,-0.3058,-0.1067
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,ElasticNet,200,50,10,-0.0265,5.2447,6.1802,-0.0618,-0.0866,-0.1074
1,latency,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,SVR,200,50,10,-0.0699,5.4742,6.4948,-0.1125,-0.2001,-0.0975
