fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,latency,CRADK,phq_8,PHQ8,full,StandardScaler,Ridge,48,13,5,0.1129,5.3717,6.76,0.1751,-0.0369,-0.0386
1,latency,CRADK,phq_8,PHQ8,full,StandardScaler,Lasso,48,13,5,0.112,5.2462,6.6239,0.1963,0.0044,-0.0938
1,latency,CRADK,phq_8,PHQ8,full,StandardScaler,ElasticNet,48,13,5,0.1083,5.2764,6.6261,0.1947,0.0038,-0.0745
1,latency,CRADK,phq_8,PHQ8,full,StandardScaler,SVR,48,13,5,-0.1399,6.5796,7.8994,-0.2208,-0.4159,-0.3172
1,latency,CRADK,phq_8,PHQ8,full,StandardScaler,KNN,48,13,5,-0.2861,6.8923,8.5247,-0.3875,-0.6489,-0.5173
1,latency,CRADK,phq_8,PHQ8,full,StandardScaler,RF,48,13,5,-0.1072,5.9663,7.2344,-0.2142,-0.1875,-0.309
1,latency,CRADK,phq_8,PHQ8,full,StandardScaler,ET,48,13,5,-0.0447,5.7215,7.0147,-0.1032,-0.1165,-0.1545
1,latency,CRADK,phq_8,PHQ8,full,StandardScaler,GB,48,13,5,-0.1503,7.2086,8.0521,-0.182,-0.4712,-0.3255
1,latency,CRADK,phq_8,PHQ8,full,StandardScaler,XGB,48,13,5,-0.156,6.9907,7.8475,-0.2153,-0.3974,-0.1903
1,latency,CRADK,phq_8,PHQ8,full,StandardScaler,MLP,48,13,5,0.1247,5.4703,6.5486,0.2181,0.0269,0.2483
1,latency,CRADK,phq_8,PHQ8,full,StandardScaler,LGBM,48,13,5,-0.0541,6.1894,7.2312,-0.0863,-0.1865,-0.2583
1,latency,CRADK,phq_8,PHQ8,full,StandardScaler,CatBoost,48,13,5,-0.0655,6.1457,7.2285,-0.1102,-0.1856,-0.2317
1,latency,CRADK,phq_8,PHQ8,full,MinMaxScaler,Ridge,48,13,10,-0.2054,5.9613,7.5418,-0.4378,-0.2906,-0.3807
1,latency,CRADK,phq_8,PHQ8,full,MinMaxScaler,Lasso,48,13,10,-0.1987,5.9926,7.5201,-0.4292,-0.2832,-0.4386
1,latency,CRADK,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,48,13,10,-0.16,5.8214,7.3534,-0.3762,-0.2269,-0.3531
1,latency,CRADK,phq_8,PHQ8,full,MinMaxScaler,SVR,48,13,10,-0.1944,6.7831,7.977,-0.2863,-0.4439,-0.3614
1,latency,CRADK,phq_8,PHQ8,full,MinMaxScaler,KNN,48,13,10,-0.2753,6.9538,8.371,-0.374,-0.59,-0.3472
1,latency,CRADK,phq_8,PHQ8,full,MinMaxScaler,RF,48,13,10,-0.1561,6.3973,7.6411,-0.2415,-0.3248,-0.2041
1,latency,CRADK,phq_8,PHQ8,full,MinMaxScaler,ET,48,13,10,-0.1566,6.2923,7.6875,-0.2445,-0.341,-0.2759
1,latency,CRADK,phq_8,PHQ8,full,MinMaxScaler,GB,48,13,10,-0.0763,6.6202,7.8822,-0.0933,-0.4097,-0.1545
1,latency,CRADK,phq_8,PHQ8,full,MinMaxScaler,XGB,48,13,10,-0.0477,6.335,7.5039,-0.0626,-0.2777,-0.1683
1,latency,CRADK,phq_8,PHQ8,full,MinMaxScaler,MLP,48,13,10,-0.2149,6.2244,7.6384,-0.4027,-0.3239,-0.411
1,latency,CRADK,phq_8,PHQ8,full,MinMaxScaler,LGBM,48,13,10,-0.2927,7.1091,8.2989,-0.4026,-0.5627,-0.3218
1,latency,CRADK,phq_8,PHQ8,full,MinMaxScaler,CatBoost,48,13,10,-0.1474,6.6401,7.8853,-0.1957,-0.4109,-0.3614
1,latency,CRADK,phq_8,PHQ8,full,RobustScaler,Ridge,48,13,10,0.0667,5.2467,6.5782,0.1611,0.0181,-0.0607
1,latency,CRADK,phq_8,PHQ8,full,RobustScaler,Lasso,48,13,10,0.0764,5.0513,6.5043,0.2274,0.0401,-0.0745
1,latency,CRADK,phq_8,PHQ8,full,RobustScaler,ElasticNet,48,13,10,0.0779,5.059,6.5037,0.227,0.0402,-0.0938
1,latency,CRADK,phq_8,PHQ8,full,RobustScaler,SVR,48,13,10,0.0586,5.7006,6.7545,0.1283,-0.0352,-0.0386
1,latency,CRADK,phq_8,PHQ8,full,RobustScaler,KNN,48,13,10,0.0854,6.4103,7.6057,0.1124,-0.3126,-0.0442
1,latency,CRADK,phq_8,PHQ8,full,RobustScaler,RF,48,13,10,-0.019,5.9179,7.01,-0.0342,-0.115,-0.1131
1,latency,CRADK,phq_8,PHQ8,full,RobustScaler,ET,48,13,10,-0.048,5.9062,7.1187,-0.0943,-0.1499,-0.2897
1,latency,CRADK,phq_8,PHQ8,full,RobustScaler,GB,48,13,10,0.046,6.404,7.4509,0.0551,-0.2597,0.011
1,latency,CRADK,phq_8,PHQ8,full,RobustScaler,XGB,48,13,10,0.0176,6.5548,7.3048,0.0227,-0.2108,-0.1848
1,latency,CRADK,phq_8,PHQ8,full,RobustScaler,MLP,48,13,10,0.0794,6.5382,7.2708,0.0951,-0.1995,-0.0248
1,latency,CRADK,phq_8,PHQ8,full,RobustScaler,LGBM,48,13,10,-0.0255,6.2199,7.1738,-0.0392,-0.1677,-0.116
1,latency,CRADK,phq_8,PHQ8,full,RobustScaler,CatBoost,48,13,10,-0.0388,6.0668,7.1262,-0.065,-0.1523,-0.149
2,latency,CRADK,phq_8,PHQ8,full,StandardScaler,Ridge,49,12,10,-0.2886,5.6545,7.0255,-0.5153,-0.6095,-0.655
2,latency,CRADK,phq_8,PHQ8,full,StandardScaler,Lasso,49,12,10,-0.2127,5.4005,6.6383,-0.4958,-0.437,-0.683
2,latency,CRADK,phq_8,PHQ8,full,StandardScaler,ElasticNet,49,12,10,-0.2781,5.7031,7.014,-0.4798,-0.6042,-0.606
2,latency,CRADK,phq_8,PHQ8,full,StandardScaler,SVR,49,12,10,-0.0633,5.8092,7.1494,-0.0958,-0.6668,-0.1961
2,latency,CRADK,phq_8,PHQ8,full,StandardScaler,KNN,49,12,10,-0.3257,6.4259,7.7845,-0.4634,-0.976,-0.62
2,latency,CRADK,phq_8,PHQ8,full,StandardScaler,RF,49,12,10,-0.2349,5.8913,7.2477,-0.4493,-0.7129,-0.5219
2,latency,CRADK,phq_8,PHQ8,full,StandardScaler,ET,49,12,10,-0.281,6.0737,7.6099,-0.4324,-0.8884,-0.5079
2,latency,CRADK,phq_8,PHQ8,full,StandardScaler,GB,49,12,10,0.005,5.3901,6.6519,0.0097,-0.4429,-0.035
2,latency,CRADK,phq_8,PHQ8,full,StandardScaler,XGB,49,12,10,-0.117,6.0987,7.2917,-0.1809,-0.7338,-0.1541
