fold,phase,condition,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,latency,CR,full,StandardScaler,Ridge,50,13,5,-0.2085,5.7784,7.3072,-0.2665,-0.7064,-0.1986
1,latency,CR,full,StandardScaler,Lasso,50,13,5,-0.2865,7.0235,8.8497,-0.3203,-1.5029,-0.2207
1,latency,CR,full,StandardScaler,ElasticNet,50,13,5,-0.285,6.9902,8.8036,-0.3189,-1.4769,-0.2207
1,latency,CR,full,StandardScaler,SVR,50,13,5,-0.0401,6.8672,7.5963,-0.0417,-0.8442,-0.0745
1,latency,CR,full,StandardScaler,KNN,50,13,5,-0.0721,5.8242,6.9779,-0.0834,-0.5561,-0.105
1,latency,CR,full,StandardScaler,RF,50,13,5,-0.2996,6.7981,7.8923,-0.3227,-0.9907,-0.3228
1,latency,CR,full,StandardScaler,ET,50,13,5,-0.3264,6.6831,7.8719,-0.3552,-0.9804,-0.3007
1,latency,CR,full,StandardScaler,GB,50,13,5,-0.2536,7.2074,8.2778,-0.2575,-1.1899,-0.2124
1,latency,CR,full,StandardScaler,XGB,50,13,5,-0.2235,7.6328,8.4323,-0.2307,-1.2724,-0.1683
1,latency,CR,full,StandardScaler,MLP,50,13,5,0.0438,5.7888,6.6801,0.0491,-0.4261,-0.0938
1,latency,CR,full,StandardScaler,LGBM,50,13,5,-0.2249,6.2828,7.6674,-0.2501,-0.8789,-0.249
1,latency,CR,full,StandardScaler,CatBoost,50,13,5,-0.2764,6.7043,7.9064,-0.2967,-0.9978,-0.2124
1,latency,CR,full,MinMaxScaler,Ridge,50,13,5,-0.0934,5.677,7.0173,-0.125,-0.5738,-0.0441
1,latency,CR,full,MinMaxScaler,Lasso,50,13,5,-0.1402,5.6313,7.0692,-0.1866,-0.5971,-0.1186
1,latency,CR,full,MinMaxScaler,ElasticNet,50,13,5,-0.0867,5.898,7.2634,-0.1088,-0.6861,-0.0441
1,latency,CR,full,MinMaxScaler,SVR,50,13,5,0.1976,6.3856,7.0899,0.2196,-0.6065,0.1131
1,latency,CR,full,MinMaxScaler,KNN,50,13,5,0.1116,6.2051,6.8774,0.1332,-0.5116,0.0745
1,latency,CR,full,MinMaxScaler,RF,50,13,5,0.2273,4.9977,6.1067,0.2517,-0.1918,0.3035
1,latency,CR,full,MinMaxScaler,ET,50,13,5,0.1782,5.6123,6.4026,0.2068,-0.3101,0.1821
1,latency,CR,full,MinMaxScaler,GB,50,13,5,0.1834,5.5143,6.7092,0.2012,-0.4386,0.2317
1,latency,CR,full,MinMaxScaler,XGB,50,13,5,0.3477,5.1127,6.2242,0.3788,-0.2381,0.331
1,latency,CR,full,MinMaxScaler,MLP,50,13,5,-0.0166,6.0839,7.2554,-0.0198,-0.6824,-0.0469
1,latency,CR,full,MinMaxScaler,LGBM,50,13,5,0.2007,5.4272,6.3646,0.2287,-0.2946,0.2254
1,latency,CR,full,MinMaxScaler,CatBoost,50,13,5,0.2263,5.4122,6.4743,0.2478,-0.3396,0.2179
1,latency,CR,full,RobustScaler,Ridge,50,13,5,-0.2991,6.1277,7.6662,-0.3831,-0.8782,-0.3117
1,latency,CR,full,RobustScaler,Lasso,50,13,5,-0.1605,5.0836,6.5719,-0.2916,-0.3803,-0.2372
1,latency,CR,full,RobustScaler,ElasticNet,50,13,5,-0.1722,5.0933,6.5826,-0.3264,-0.3848,-0.2455
1,latency,CR,full,RobustScaler,SVR,50,13,5,-0.236,8.1604,9.0635,-0.2532,-1.6254,-0.2897
1,latency,CR,full,RobustScaler,KNN,50,13,5,-0.2704,8.6923,9.5573,-0.3035,-1.9192,-0.2288
1,latency,CR,full,RobustScaler,RF,50,13,5,-0.2923,6.7438,7.8654,-0.3286,-0.9772,-0.2952
1,latency,CR,full,RobustScaler,ET,50,13,5,-0.3428,7.1444,8.2769,-0.39,-1.1894,-0.3117
1,latency,CR,full,RobustScaler,GB,50,13,5,-0.1639,7.038,7.8672,-0.1766,-0.978,0.0166
1,latency,CR,full,RobustScaler,XGB,50,13,5,-0.246,8.0115,8.8063,-0.2604,-1.4785,-0.1214
1,latency,CR,full,RobustScaler,MLP,50,13,5,-0.2975,7.5538,8.4821,-0.3104,-1.2994,-0.3228
1,latency,CR,full,RobustScaler,LGBM,50,13,5,-0.2467,6.8873,8.051,-0.2725,-1.0715,-0.2583
1,latency,CR,full,RobustScaler,CatBoost,50,13,5,-0.3612,7.6477,8.7329,-0.3948,-1.4373,-0.3559
2,latency,CR,full,StandardScaler,Ridge,50,13,5,-0.1197,4.4622,5.5508,-0.1223,-0.8571,-0.2597
2,latency,CR,full,StandardScaler,Lasso,50,13,5,-0.1147,4.7377,5.9062,-0.1149,-1.1025,-0.2597
2,latency,CR,full,StandardScaler,ElasticNet,50,13,5,-0.1132,3.9331,4.8607,-0.1371,-0.424,-0.2403
2,latency,CR,full,StandardScaler,SVR,50,13,5,-0.0725,5.5693,6.7897,-0.0755,-1.7785,-0.1354
2,latency,CR,full,StandardScaler,KNN,50,13,5,-0.0668,5.7692,6.4995,-0.0677,-1.546,-0.1437
2,latency,CR,full,StandardScaler,RF,50,13,5,-0.0478,4.7523,6.048,-0.0509,-1.2046,0.0331
2,latency,CR,full,StandardScaler,ET,50,13,5,-0.1156,4.8369,6.172,-0.1173,-1.296,-0.0442
2,latency,CR,full,StandardScaler,GB,50,13,5,-0.1104,6.3946,7.672,-0.1296,-2.5475,-0.1326
2,latency,CR,full,StandardScaler,XGB,50,13,5,0.0087,5.3981,6.7441,0.0096,-1.7413,0.1409
2,latency,CR,full,StandardScaler,MLP,50,13,5,-0.2189,5.5475,6.9741,-0.2226,-1.9314,-0.2735
2,latency,CR,full,StandardScaler,LGBM,50,13,5,-0.0839,4.2737,5.6146,-0.0881,-0.9,-0.018
2,latency,CR,full,StandardScaler,CatBoost,50,13,5,-0.0341,5.7197,6.9276,-0.0387,-1.8925,0.047
2,latency,CR,full,MinMaxScaler,Ridge,50,13,5,-0.1608,4.2887,5.3461,-0.1716,-0.7226,-0.2403
2,latency,CR,full,MinMaxScaler,Lasso,50,13,5,-0.1682,4.4525,5.459,-0.1763,-0.7961,-0.2541
2,latency,CR,full,MinMaxScaler,ElasticNet,50,13,5,-0.1545,4.4946,5.6225,-0.1582,-0.9053,-0.2265
2,latency,CR,full,MinMaxScaler,SVR,50,13,5,-0.0927,5.1729,6.3326,-0.0932,-1.417,-0.2597
2,latency,CR,full,MinMaxScaler,KNN,50,13,5,-0.1542,4.9846,5.9619,-0.1547,-1.1423,-0.1328
2,latency,CR,full,MinMaxScaler,RF,50,13,5,-0.1292,4.3515,5.4257,-0.1437,-0.7742,-0.0331
2,latency,CR,full,MinMaxScaler,ET,50,13,5,-0.3177,4.8208,6.0777,-0.3306,-1.2263,-0.2845
2,latency,CR,full,MinMaxScaler,GB,50,13,5,-0.1136,4.7193,5.9948,-0.1176,-1.166,-0.1022
2,latency,CR,full,MinMaxScaler,XGB,50,13,5,-0.0984,4.8128,5.7651,-0.1019,-1.0032,-0.1492
2,latency,CR,full,MinMaxScaler,MLP,50,13,5,-0.1635,4.9613,6.0071,-0.164,-1.1749,-0.2735
2,latency,CR,full,MinMaxScaler,LGBM,50,13,5,-0.1529,4.3616,5.4735,-0.162,-0.8057,-0.1028
2,latency,CR,full,MinMaxScaler,CatBoost,50,13,5,-0.1258,4.3857,5.5435,-0.1308,-0.8522,0.0055
2,latency,CR,full,RobustScaler,Ridge,50,13,5,-0.1145,4.2996,5.49,-0.1175,-0.8166,-0.2099
2,latency,CR,full,RobustScaler,Lasso,50,13,5,-0.136,4.6589,5.8749,-0.1366,-1.0802,-0.2265
2,latency,CR,full,RobustScaler,ElasticNet,50,13,5,-0.0829,3.8467,4.7782,-0.1013,-0.376,-0.1961
2,latency,CR,full,RobustScaler,SVR,50,13,5,-0.0916,5.2143,6.1432,-0.0922,-1.2745,-0.2072
2,latency,CR,full,RobustScaler,KNN,50,13,5,-0.1269,4.4176,5.3361,-0.134,-0.7162,-0.1701
2,latency,CR,full,RobustScaler,RF,50,13,5,-0.1298,4.3496,5.4245,-0.1444,-0.7735,-0.0331
2,latency,CR,full,RobustScaler,ET,50,13,5,-0.3177,4.8208,6.0777,-0.3306,-1.2263,-0.2845
2,latency,CR,full,RobustScaler,GB,50,13,5,-0.1136,4.7193,5.9948,-0.1176,-1.166,-0.1022
2,latency,CR,full,RobustScaler,XGB,50,13,5,-0.0953,4.8069,5.758,-0.0986,-0.9982,-0.1492
2,latency,CR,full,RobustScaler,MLP,50,13,5,-0.2368,5.9888,7.2967,-0.2498,-2.209,-0.3315
2,latency,CR,full,RobustScaler,LGBM,50,13,5,-0.1972,4.5155,5.5518,-0.2143,-0.8577,-0.151
2,latency,CR,full,RobustScaler,CatBoost,50,13,5,-0.1258,4.3857,5.5435,-0.1308,-0.8522,0.0055
3,latency,CR,full,StandardScaler,Ridge,50,13,10,0.024,6.9498,7.6526,0.0304,-0.3662,-0.036
3,latency,CR,full,StandardScaler,Lasso,50,13,10,0.0116,7.21,7.8902,0.0139,-0.4524,-0.036
3,latency,CR,full,StandardScaler,ElasticNet,50,13,10,0.0094,7.1804,7.8974,0.0114,-0.4551,-0.036
3,latency,CR,full,StandardScaler,SVR,50,13,10,-0.0949,6.1446,7.2277,-0.1735,-0.2187,-0.1494
3,latency,CR,full,StandardScaler,KNN,50,13,10,0.0024,6.1319,6.9657,0.0043,-0.132,-0.0818
3,latency,CR,full,StandardScaler,RF,50,13,10,-0.1166,6.8891,7.5715,-0.1644,-0.3374,-0.1604
3,latency,CR,full,StandardScaler,ET,50,13,10,-0.0287,6.4054,7.1703,-0.0473,-0.1994,0.0138
3,latency,CR,full,StandardScaler,GB,50,13,10,-0.2026,7.4923,8.3231,-0.2422,-0.6161,-0.2185
3,latency,CR,full,StandardScaler,XGB,50,13,10,-0.1358,7.4294,8.379,-0.1483,-0.6379,-0.1687
3,latency,CR,full,StandardScaler,MLP,50,13,10,-0.145,9.4118,11.6241,-0.1603,-2.1523,-0.2932
3,latency,CR,full,StandardScaler,LGBM,50,13,10,-0.2485,7.3923,8.015,-0.3405,-0.4987,-0.4792
3,latency,CR,full,StandardScaler,CatBoost,50,13,10,-0.1778,7.3457,8.0104,-0.2198,-0.497,-0.1632
3,latency,CR,full,MinMaxScaler,Ridge,50,13,10,-0.0175,7.0056,7.7386,-0.0228,-0.3971,-0.1245
3,latency,CR,full,MinMaxScaler,Lasso,50,13,10,-0.0157,7.1233,7.8503,-0.0197,-0.4378,-0.1245
3,latency,CR,full,MinMaxScaler,ElasticNet,50,13,10,-0.0003,6.9467,7.6422,-0.0004,-0.3625,-0.1245
3,latency,CR,full,MinMaxScaler,SVR,50,13,10,-0.0003,6.8058,7.493,-0.0004,-0.3098,-0.0913
3,latency,CR,full,MinMaxScaler,KNN,50,13,10,0.053,5.6769,6.7898,0.1318,-0.0755,0.3491
3,latency,CR,full,MinMaxScaler,RF,50,13,10,-0.1308,6.6115,7.3684,-0.2427,-0.2666,-0.1826
3,latency,CR,full,MinMaxScaler,ET,50,13,10,-0.0956,6.2304,7.2556,-0.1936,-0.2282,-0.1521
3,latency,CR,full,MinMaxScaler,GB,50,13,10,-0.2718,6.966,7.9592,-0.3954,-0.4779,-0.3043
3,latency,CR,full,MinMaxScaler,XGB,50,13,10,-0.1383,6.5242,7.5666,-0.2073,-0.3357,-0.1743
3,latency,CR,full,MinMaxScaler,MLP,50,13,10,-0.1122,7.3402,8.0472,-0.1401,-0.5108,-0.119
3,latency,CR,full,MinMaxScaler,LGBM,50,13,10,-0.297,7.4444,8.1166,-0.4299,-0.537,-0.518
3,latency,CR,full,MinMaxScaler,CatBoost,50,13,10,-0.1681,6.706,7.6509,-0.2618,-0.3656,-0.332
3,latency,CR,full,RobustScaler,Ridge,50,13,5,0.149,6.0556,6.8426,0.2952,-0.0923,0.2683
3,latency,CR,full,RobustScaler,Lasso,50,13,5,0.1692,5.8818,6.6971,0.3462,-0.0464,0.3596
3,latency,CR,full,RobustScaler,ElasticNet,50,13,5,0.1291,6.1988,6.9804,0.2485,-0.1368,0.2102
3,latency,CR,full,RobustScaler,SVR,50,13,5,0.109,5.7183,6.4984,0.2183,0.0148,0.2988
3,latency,CR,full,RobustScaler,KNN,50,13,5,0.2475,5.3626,6.0279,0.5706,0.1523,0.5394
3,latency,CR,full,RobustScaler,RF,50,13,5,0.2158,5.5949,6.2361,0.4144,0.0927,0.3735
3,latency,CR,full,RobustScaler,ET,50,13,5,-0.0256,6.3785,7.0998,-0.0424,-0.176,-0.0747
3,latency,CR,full,RobustScaler,GB,50,13,5,0.1529,5.6489,6.927,0.1823,-0.1194,0.2324
3,latency,CR,full,RobustScaler,XGB,50,13,5,0.1326,5.7394,6.6488,0.1833,-0.0313,0.26
3,latency,CR,full,RobustScaler,MLP,50,13,5,0.0725,6.8271,7.6778,0.097,-0.3753,0.213
3,latency,CR,full,RobustScaler,LGBM,50,13,5,0.1796,5.6262,6.2805,0.4982,0.0798,0.4213
3,latency,CR,full,RobustScaler,CatBoost,50,13,5,0.1928,5.424,6.1427,0.3971,0.1197,0.3679
4,latency,CR,full,StandardScaler,Ridge,51,12,10,-0.405,5.4391,7.5152,-0.4208,-1.4234,-0.2998
4,latency,CR,full,StandardScaler,Lasso,51,12,10,-0.4073,5.6335,7.6394,-0.4251,-1.5042,-0.3704
4,latency,CR,full,StandardScaler,ElasticNet,51,12,10,-0.3918,5.0201,6.9488,-0.4242,-1.0718,-0.2575
4,latency,CR,full,StandardScaler,SVR,51,12,10,-0.1762,4.9999,6.3893,-0.2334,-0.7516,-0.3386
4,latency,CR,full,StandardScaler,KNN,51,12,10,-0.3372,5.6167,7.221,-0.4536,-1.2374,-0.5301
4,latency,CR,full,StandardScaler,RF,51,12,10,-0.0707,4.3617,5.8681,-0.0839,-0.4775,-0.0741
4,latency,CR,full,StandardScaler,ET,51,12,10,-0.1223,4.8675,6.2287,-0.144,-0.6647,-0.1658
4,latency,CR,full,StandardScaler,GB,51,12,10,0.0648,4.0741,5.9573,0.0696,-0.5228,0.1164
4,latency,CR,full,StandardScaler,XGB,51,12,10,-0.008,4.5044,6.2523,-0.0083,-0.6773,-0.0176
4,latency,CR,full,StandardScaler,MLP,51,12,10,-0.5461,7.5461,10.7369,-0.5893,-3.9465,-0.5115
4,latency,CR,full,StandardScaler,LGBM,51,12,10,-0.0941,5.4555,6.5342,-0.1119,-0.832,-0.2509
4,latency,CR,full,StandardScaler,CatBoost,51,12,10,0.0091,4.4846,6.0965,0.0107,-0.5948,-0.0529
4,latency,CR,full,MinMaxScaler,Ridge,51,12,5,-0.2156,4.6253,6.5096,-0.2313,-0.8183,-0.2116
4,latency,CR,full,MinMaxScaler,Lasso,51,12,5,-0.2612,4.7836,6.6664,-0.281,-0.9069,-0.254
4,latency,CR,full,MinMaxScaler,ElasticNet,51,12,5,-0.2197,4.7598,6.7857,-0.2278,-0.9757,-0.1482
4,latency,CR,full,MinMaxScaler,SVR,51,12,5,-0.0941,4.8006,6.6344,-0.11,-0.8886,0.0071
4,latency,CR,full,MinMaxScaler,KNN,51,12,5,-0.1926,5.4167,6.9101,-0.2176,-1.0489,-0.2
4,latency,CR,full,MinMaxScaler,RF,51,12,5,-0.0702,4.3067,5.6804,-0.0893,-0.3845,0.0423
4,latency,CR,full,MinMaxScaler,ET,51,12,5,-0.1002,4.5669,5.6516,-0.1486,-0.3705,-0.0882
4,latency,CR,full,MinMaxScaler,GB,51,12,5,-0.0963,4.6572,6.64,-0.1008,-0.8918,-0.0106
4,latency,CR,full,MinMaxScaler,XGB,51,12,5,0.044,4.3656,6.1251,0.0461,-0.6098,0.0917
4,latency,CR,full,MinMaxScaler,MLP,51,12,5,-0.4221,5.4211,7.4025,-0.4434,-1.3512,-0.2822
4,latency,CR,full,MinMaxScaler,LGBM,51,12,5,-0.045,5.2173,6.3339,-0.0529,-0.7214,-0.2368
4,latency,CR,full,MinMaxScaler,CatBoost,51,12,5,0.0555,4.3433,5.7707,0.0627,-0.4289,0.0564
4,latency,CR,full,RobustScaler,Ridge,51,12,15,-0.1828,4.5423,6.6457,-0.1894,-0.895,-0.1482
4,latency,CR,full,RobustScaler,Lasso,51,12,15,-0.033,4.1515,5.3276,-0.0537,-0.2179,-0.0106
4,latency,CR,full,RobustScaler,ElasticNet,51,12,15,-0.2082,4.4637,6.2066,-0.2368,-0.6529,-0.1446
4,latency,CR,full,RobustScaler,SVR,51,12,15,-0.0589,4.7095,6.1835,-0.0717,-0.6406,-0.0529
