fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,latency,SHAM,phq_8,PHQ8,full,StandardScaler,Ridge,50,13,5,0.0486,5.4396,6.7181,0.128,-0.017,0.1105
1,latency,SHAM,phq_8,PHQ8,full,StandardScaler,Lasso,50,13,5,0.0537,5.4543,6.7443,0.1298,-0.0249,0.1105
1,latency,SHAM,phq_8,PHQ8,full,StandardScaler,ElasticNet,50,13,5,0.0545,5.4352,6.7286,0.1358,-0.0202,0.1105
1,latency,SHAM,phq_8,PHQ8,full,StandardScaler,SVR,50,13,5,0.0489,5.9463,7.3246,0.069,-0.2089,0.011
1,latency,SHAM,phq_8,PHQ8,full,StandardScaler,KNN,50,13,5,-0.0392,6.2,7.5527,-0.0613,-0.2854,-0.0415
1,latency,SHAM,phq_8,PHQ8,full,StandardScaler,RF,50,13,5,0.0243,5.6534,6.8953,0.0473,-0.0713,0.0884
1,latency,SHAM,phq_8,PHQ8,full,StandardScaler,ET,50,13,5,-0.0026,5.8054,7.0158,-0.0051,-0.1091,-0.0884
1,latency,SHAM,phq_8,PHQ8,full,StandardScaler,GB,50,13,5,0.0266,6.0226,7.123,0.04,-0.1433,-0.0497
1,latency,SHAM,phq_8,PHQ8,full,StandardScaler,XGB,50,13,5,0.0568,5.6724,6.8774,0.1003,-0.0658,0.2818
1,latency,SHAM,phq_8,PHQ8,full,StandardScaler,MLP,50,13,5,0.1204,5.6876,6.7589,0.2067,-0.0294,0.0884
1,latency,SHAM,phq_8,PHQ8,full,StandardScaler,LGBM,50,13,5,0.0187,5.6329,6.8522,0.0361,-0.058,0.0918
1,latency,SHAM,phq_8,PHQ8,full,StandardScaler,CatBoost,50,13,5,0.0911,5.5372,6.6035,0.1897,0.0174,0.3702
1,latency,SHAM,phq_8,PHQ8,full,MinMaxScaler,Ridge,50,13,10,-0.0382,6.1499,7.3293,-0.0563,-0.2105,0.0055
1,latency,SHAM,phq_8,PHQ8,full,MinMaxScaler,Lasso,50,13,10,-0.0428,6.1792,7.3369,-0.0649,-0.213,0.0
1,latency,SHAM,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,50,13,10,-0.0383,6.2076,7.3722,-0.0552,-0.2247,0.0276
1,latency,SHAM,phq_8,PHQ8,full,MinMaxScaler,SVR,50,13,10,0.0454,5.961,7.093,0.0667,-0.1337,0.0552
1,latency,SHAM,phq_8,PHQ8,full,MinMaxScaler,KNN,50,13,10,0.1368,5.8205,7.385,0.1932,-0.2289,0.2493
1,latency,SHAM,phq_8,PHQ8,full,MinMaxScaler,RF,50,13,10,0.2164,5.2716,6.2829,0.3528,0.1105,0.3646
1,latency,SHAM,phq_8,PHQ8,full,MinMaxScaler,ET,50,13,10,0.1266,5.3154,6.5895,0.2268,0.0216,0.3425
1,latency,SHAM,phq_8,PHQ8,full,MinMaxScaler,GB,50,13,10,0.2048,5.3202,6.5623,0.2817,0.0296,0.3149
1,latency,SHAM,phq_8,PHQ8,full,MinMaxScaler,XGB,50,13,10,0.1133,5.6138,6.9411,0.1751,-0.0856,0.232
1,latency,SHAM,phq_8,PHQ8,full,MinMaxScaler,MLP,50,13,10,-0.0107,6.6379,7.7409,-0.0129,-0.3502,0.0663
1,latency,SHAM,phq_8,PHQ8,full,MinMaxScaler,LGBM,50,13,10,0.0387,5.7088,6.9958,0.0582,-0.1028,0.0227
1,latency,SHAM,phq_8,PHQ8,full,MinMaxScaler,CatBoost,50,13,10,0.1559,5.564,6.5987,0.2435,0.0188,0.0994
1,latency,SHAM,phq_8,PHQ8,full,RobustScaler,Ridge,50,13,5,0.0136,5.3675,6.6674,0.0654,-0.0017,-0.0497
1,latency,SHAM,phq_8,PHQ8,full,RobustScaler,Lasso,50,13,5,0.0547,5.1086,6.5676,0.2184,0.0281,0.2155
1,latency,SHAM,phq_8,PHQ8,full,RobustScaler,ElasticNet,50,13,5,0.0137,5.3653,6.7185,0.0459,-0.0171,-0.0884
1,latency,SHAM,phq_8,PHQ8,full,RobustScaler,SVR,50,13,5,-0.2665,6.6846,8.2129,-0.3583,-0.5199,-0.1989
