fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,negative_training,ADK,phq_8,PHQ8,full,StandardScaler,Ridge,48,13,10,-0.1245,5.8572,7.1425,-0.3222,-0.7813,-0.5014
1,negative_training,ADK,phq_8,PHQ8,full,StandardScaler,Lasso,48,13,10,-0.1401,7.0373,8.4085,-0.2228,-1.4687,-0.5097
1,negative_training,ADK,phq_8,PHQ8,full,StandardScaler,ElasticNet,48,13,10,-0.1372,6.2996,7.5353,-0.289,-0.9826,-0.5097
1,negative_training,ADK,phq_8,PHQ8,full,StandardScaler,SVR,48,13,10,-0.229,6.5243,8.1892,-0.477,-1.3417,-0.5956
1,negative_training,ADK,phq_8,PHQ8,full,StandardScaler,KNN,48,13,10,-0.0455,5.2051,6.6545,-0.1002,-0.5462,-0.2278
1,negative_training,ADK,phq_8,PHQ8,full,StandardScaler,RF,48,13,10,-0.0226,5.2738,7.0151,-0.0382,-0.7183,-0.036
1,negative_training,ADK,phq_8,PHQ8,full,StandardScaler,ET,48,13,10,-0.0829,5.58,7.1146,-0.1905,-0.7674,-0.2299
1,negative_training,ADK,phq_8,PHQ8,full,StandardScaler,GB,48,13,10,-0.0085,5.5073,7.2337,-0.0117,-0.8271,-0.1274
1,negative_training,ADK,phq_8,PHQ8,full,StandardScaler,XGB,48,13,10,0.0359,4.7712,6.4505,0.0523,-0.4529,-0.1247
1,negative_training,ADK,phq_8,PHQ8,full,StandardScaler,MLP,48,13,10,-0.0717,7.2141,8.725,-0.1022,-1.6581,-0.2659
1,negative_training,ADK,phq_8,PHQ8,full,StandardScaler,LGBM,48,13,10,0.101,4.854,6.1835,0.1909,-0.3351,0.0499
1,negative_training,ADK,phq_8,PHQ8,full,StandardScaler,CatBoost,48,13,10,-0.0775,5.7417,7.3864,-0.1411,-0.905,-0.2355
1,negative_training,ADK,phq_8,PHQ8,full,MinMaxScaler,Ridge,48,13,5,-0.1152,5.7901,7.1753,-0.2651,-0.7977,-0.3158
1,negative_training,ADK,phq_8,PHQ8,full,MinMaxScaler,Lasso,48,13,5,-0.1177,5.8282,7.2189,-0.2694,-0.8196,-0.3158
1,negative_training,ADK,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,48,13,5,-0.1056,5.6032,6.9538,-0.253,-0.6885,-0.3546
1,negative_training,ADK,phq_8,PHQ8,full,MinMaxScaler,SVR,48,13,5,-0.0759,5.2013,6.4776,-0.1733,-0.4651,-0.3823
1,negative_training,ADK,phq_8,PHQ8,full,MinMaxScaler,KNN,48,13,5,0.0459,5.0,6.6568,0.0814,-0.5473,0.3097
1,negative_training,ADK,phq_8,PHQ8,full,MinMaxScaler,RF,48,13,5,0.0957,5.2059,6.5634,0.1903,-0.5042,0.1247
