fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,Ridge,193,49,10,-0.0489,5.4321,6.3078,-0.0629,-0.2895,-0.0208
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,Lasso,193,49,10,-0.0482,5.3856,6.2602,-0.0635,-0.2701,-0.0321
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,ElasticNet,193,49,10,-0.0466,5.3859,6.2551,-0.0615,-0.2681,-0.0206
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,SVR,193,49,10,-0.0505,5.3607,6.1071,-0.0749,-0.2087,-0.0567
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,KNN,193,49,10,-0.1064,5.5669,6.4854,-0.136,-0.3632,-0.1299
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,RF,193,49,10,-0.0881,5.4405,6.3374,-0.1189,-0.3016,-0.1056
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,ET,193,49,10,-0.0678,5.4461,6.3417,-0.0886,-0.3034,-0.0268
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,GB,193,49,10,-0.0072,5.4533,6.3343,-0.0087,-0.3003,-0.0406
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,XGB,193,49,10,-0.0462,5.5857,6.5049,-0.0543,-0.3713,-0.113
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,MLP,193,49,10,0.1058,5.2149,6.0942,0.1217,-0.2037,0.0917
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,LGBM,193,49,10,0.0179,5.3346,6.4275,0.0203,-0.3389,0.0148
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,CatBoost,193,49,10,-0.0317,5.1784,6.1768,-0.0426,-0.2365,-0.0069
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,Ridge,193,49,10,0.0104,5.126,5.8923,0.016,-0.1252,0.0124
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,Lasso,193,49,10,0.0078,5.1641,5.9448,0.0115,-0.1454,-0.0147
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,193,49,10,0.0089,5.0891,5.8488,0.0145,-0.1087,0.0134
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,SVR,193,49,10,-0.034,5.4352,6.2506,-0.045,-0.2662,-0.0533
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,KNN,193,49,10,-0.1485,5.932,6.6747,-0.1883,-0.4439,-0.1592
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,RF,193,49,10,-0.0707,5.4475,6.2176,-0.1012,-0.2529,-0.0942
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,ET,193,49,10,-0.0288,5.4501,6.2145,-0.0384,-0.2516,-0.0451
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,GB,193,49,10,-0.1161,5.9557,6.8405,-0.1344,-0.5165,-0.1355
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,XGB,193,49,10,-0.1204,6.0806,7.0407,-0.1381,-0.6066,-0.1401
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,MLP,193,49,10,-0.0442,5.1653,5.871,-0.0894,-0.1171,-0.0991
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,LGBM,193,49,10,-0.0441,5.8176,6.6597,-0.0508,-0.4374,-0.0622
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,CatBoost,193,49,10,-0.0461,5.3365,6.2245,-0.0619,-0.2557,-0.0539
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,Ridge,193,49,5,-0.0791,5.5331,6.503,-0.097,-0.3706,-0.0351
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,Lasso,193,49,5,-0.08,5.5414,6.5148,-0.0977,-0.3755,-0.0492
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,ElasticNet,193,49,5,-0.0783,5.5171,6.4827,-0.0968,-0.362,-0.0425
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,SVR,193,49,5,-0.0537,5.3214,6.1149,-0.0797,-0.2118,-0.0439
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,KNN,193,49,5,-0.0276,5.2971,6.2627,-0.0351,-0.2712,-0.0471
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,RF,193,49,5,-0.0182,5.1515,6.1458,-0.0243,-0.2241,0.0207
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,ET,193,49,5,-0.0583,5.3426,6.3755,-0.0734,-0.3173,-0.0574
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,GB,193,49,5,0.0875,5.0013,6.0525,0.104,-0.1872,0.0962
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,XGB,193,49,5,0.035,5.0874,6.1337,0.0434,-0.2193,0.0721
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,MLP,193,49,5,0.0596,5.1113,6.0474,0.0739,-0.1852,0.0511
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,LGBM,193,49,5,0.0328,5.0376,6.2199,0.039,-0.2538,0.106
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,CatBoost,193,49,5,0.0344,4.9993,5.9679,0.0466,-0.1543,0.1086
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,Ridge,193,49,10,0.0663,4.6776,5.9812,0.0759,-0.2578,0.1255
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,Lasso,193,49,10,0.0314,4.6504,5.9439,0.038,-0.2422,0.0809
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,ElasticNet,193,49,10,0.053,4.6426,5.9381,0.0625,-0.2397,0.0965
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,SVR,193,49,10,-0.0394,4.7002,5.782,-0.0832,-0.1754,-0.0259
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,KNN,193,49,10,-0.1628,5.0975,6.2617,-0.2453,-0.3786,-0.2276
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,RF,193,49,10,-0.072,4.7839,6.1215,-0.1035,-0.3175,-0.0835
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,ET,193,49,10,-0.0439,4.6251,5.9053,-0.068,-0.2261,-0.0929
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,GB,193,49,10,0.0501,5.0045,6.0425,0.0608,-0.2837,0.0695
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,XGB,193,49,10,0.0117,5.2067,6.358,0.0139,-0.4213,0.0284
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,MLP,193,49,10,-0.0161,5.5185,6.7921,-0.0169,-0.622,-0.0882
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,LGBM,193,49,10,-0.0789,5.1813,6.5758,-0.0946,-0.5203,-0.0611
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,CatBoost,193,49,10,-0.0686,4.8028,6.1883,-0.0936,-0.3464,-0.0674
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,Ridge,193,49,5,0.0285,4.5356,5.7506,0.0387,-0.1627,0.0827
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,Lasso,193,49,5,0.0376,4.6226,5.8764,0.0465,-0.2141,0.0877
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,193,49,5,0.0227,4.5053,5.6787,0.0333,-0.1338,0.0651
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,SVR,193,49,5,0.0181,4.5431,5.6146,0.0314,-0.1084,0.0406
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,KNN,193,49,5,-0.131,5.059,6.2798,-0.1766,-0.3865,-0.1866
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,RF,193,49,5,-0.018,4.7101,5.8449,-0.0261,-0.2011,-0.012
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,ET,193,49,5,-0.1071,5.0306,6.3183,-0.1384,-0.4036,-0.1407
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,GB,193,49,5,0.0529,5.0044,6.0183,0.0633,-0.2734,0.0421
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,XGB,193,49,5,0.0812,4.8677,5.8926,0.0998,-0.2208,0.0583
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,MLP,193,49,5,0.0476,4.4335,5.6443,0.0669,-0.1201,0.1148
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,LGBM,193,49,5,-0.0622,5.0227,6.4452,-0.0707,-0.4605,-0.0246
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,CatBoost,193,49,5,-0.029,4.7851,5.9965,-0.0398,-0.2643,-0.0422
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,Ridge,193,49,5,0.015,4.6134,5.7292,0.0214,-0.1541,0.0373
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,Lasso,193,49,5,-0.0007,4.6039,5.7375,-0.001,-0.1574,0.0019
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,ElasticNet,193,49,5,0.0036,4.5979,5.7264,0.0053,-0.1529,0.0064
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,SVR,193,49,5,-0.0599,4.741,5.811,-0.1282,-0.1872,-0.0806
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,KNN,193,49,5,-0.1875,5.0567,6.3826,-0.2828,-0.4323,-0.1949
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,RF,193,49,5,-0.1086,4.7809,6.1499,-0.1564,-0.3297,-0.1394
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,ET,193,49,5,-0.1557,4.9819,6.2633,-0.2517,-0.3793,-0.1861
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,GB,193,49,5,-0.0431,4.7575,6.0449,-0.0614,-0.2847,-0.034
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,XGB,193,49,5,-0.0787,4.912,6.2093,-0.112,-0.3556,-0.0817
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,MLP,193,49,5,0.0606,4.7914,6.0734,0.0681,-0.2969,0.1187
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,LGBM,193,49,5,-0.0587,4.8165,6.4628,-0.0708,-0.4685,-0.0776
2,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,CatBoost,193,49,5,-0.0796,4.8354,6.1726,-0.1128,-0.3396,-0.0984
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,Ridge,194,48,5,-0.1638,4.8944,6.6837,-0.2046,-0.4737,-0.0492
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,Lasso,194,48,5,-0.1668,4.9762,6.74,-0.2043,-0.4987,-0.0691
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,ElasticNet,194,48,5,-0.168,4.9824,6.7619,-0.2045,-0.5084,-0.071
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,SVR,194,48,5,0.0055,4.4538,5.6401,0.0124,-0.0494,0.0315
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,KNN,194,48,5,-0.0311,4.7173,6.0798,-0.0442,-0.2194,-0.0041
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,RF,194,48,5,-0.14,5.3331,6.5675,-0.1766,-0.4229,-0.2108
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,ET,194,48,5,-0.2696,5.9097,7.3158,-0.3018,-0.7657,-0.3059
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,GB,194,48,5,-0.2194,5.5581,6.9601,-0.2695,-0.5981,-0.305
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,XGB,194,48,5,-0.2353,5.5237,7.0858,-0.2974,-0.6564,-0.2424
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,MLP,194,48,5,-0.2111,5.6011,9.4439,-0.2169,-1.9423,-0.0882
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,LGBM,194,48,5,-0.1599,5.2347,6.8348,-0.1907,-0.5411,-0.118
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,CatBoost,194,48,5,-0.16,5.0708,6.5529,-0.212,-0.4166,-0.185
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,Ridge,194,48,10,-0.1443,4.8459,6.6711,-0.177,-0.4682,0.0414
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,Lasso,194,48,10,-0.1373,4.8688,6.6678,-0.1673,-0.4667,0.034
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,194,48,10,-0.1356,4.7857,6.4946,-0.1784,-0.3915,0.0352
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,SVR,194,48,10,0.061,5.2182,6.384,0.0666,-0.3445,0.0551
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,KNN,194,48,10,0.1864,4.3363,5.5894,0.2294,-0.0306,0.1733
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,RF,194,48,10,-0.0199,4.7983,6.0658,-0.0272,-0.2138,-0.0182
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,ET,194,48,10,-0.167,5.4952,6.7026,-0.2042,-0.4821,-0.2147
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,GB,194,48,10,0.0094,4.8632,6.3575,0.0108,-0.3334,0.0405
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,XGB,194,48,10,-0.0083,5.0788,6.6136,-0.0091,-0.443,0.0481
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,MLP,194,48,10,-0.1284,4.7302,6.3789,-0.1787,-0.3424,0.0551
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,LGBM,194,48,10,-0.0219,5.2437,6.6094,-0.0242,-0.4411,-0.0199
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,CatBoost,194,48,10,0.0003,5.2581,6.6134,0.0004,-0.4429,-0.0179
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,Ridge,194,48,5,-0.17,4.915,6.9031,-0.1978,-0.5721,-0.0345
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,Lasso,194,48,5,-0.1479,4.7931,6.506,-0.1968,-0.3964,-0.0193
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,ElasticNet,194,48,5,-0.1592,4.8495,6.6933,-0.1968,-0.478,-0.0193
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,SVR,194,48,5,0.0462,4.5209,5.5682,0.0923,-0.0228,-0.0046
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,KNN,194,48,5,-0.0177,4.7292,5.9569,-0.0262,-0.1706,-0.0386
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,RF,194,48,5,-0.1605,5.5538,6.8134,-0.1889,-0.5315,-0.1923
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,ET,194,48,5,-0.1943,5.9453,7.1891,-0.2138,-0.705,-0.2396
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,GB,194,48,5,-0.0746,5.2415,6.5314,-0.0892,-0.4073,-0.102
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,XGB,194,48,5,-0.1585,5.0675,6.4758,-0.2153,-0.3835,-0.1264
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,MLP,194,48,5,-0.1321,4.8494,6.4413,-0.1755,-0.3688,-0.0001
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,LGBM,194,48,5,-0.1008,5.0228,6.3381,-0.135,-0.3253,-0.1604
3,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,CatBoost,194,48,5,-0.0796,4.7862,6.0121,-0.1363,-0.1924,-0.1516
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,Ridge,194,48,10,0.0224,6.0104,6.9367,0.0376,-0.0908,0.0392
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,Lasso,194,48,10,0.0203,6.0212,6.9356,0.0344,-0.0904,0.0375
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,ElasticNet,194,48,10,0.0209,6.0181,6.9351,0.0354,-0.0903,0.0365
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,SVR,194,48,10,0.0442,5.9348,6.6897,0.1006,-0.0145,0.0977
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,KNN,194,48,10,0.0753,5.8819,6.7494,0.1295,-0.0326,0.1169
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,RF,194,48,10,0.0059,6.1473,6.9392,0.0109,-0.0916,-0.0212
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,ET,194,48,10,-0.0146,6.1094,7.0042,-0.0267,-0.1121,-0.0395
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,GB,194,48,10,0.0002,6.2801,6.9847,0.0003,-0.1059,-0.0279
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,XGB,194,48,10,0.0447,6.136,6.9277,0.0685,-0.0879,0.0656
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,MLP,194,48,10,-0.0593,6.3827,7.6016,-0.0802,-0.3099,-0.1185
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,LGBM,194,48,10,-0.0099,6.3607,7.2191,-0.0142,-0.1814,-0.0053
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,CatBoost,194,48,10,0.0489,6.0284,6.7668,0.0915,-0.038,0.0788
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,Ridge,194,48,5,-0.0152,6.1534,7.078,-0.0253,-0.1357,0.0374
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,Lasso,194,48,5,-0.0142,6.1401,7.0331,-0.0249,-0.1213,0.036
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,194,48,5,-0.0119,6.1246,6.9871,-0.0219,-0.1067,0.038
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,SVR,194,48,5,0.0739,6.0461,6.9283,0.109,-0.0881,0.1245
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,KNN,194,48,5,0.0499,5.9282,6.9701,0.0744,-0.1013,0.071
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,RF,194,48,5,0.0362,5.978,6.754,0.076,-0.0341,0.0588
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,ET,194,48,5,0.008,6.04,6.92,0.0144,-0.0855,0.005
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,GB,194,48,5,0.0362,5.9635,6.8922,0.0603,-0.0768,0.0635
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,XGB,194,48,5,0.0674,5.9226,6.8122,0.1105,-0.0519,0.1269
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,MLP,194,48,5,-0.016,6.0826,6.9698,-0.0316,-0.1012,0.0317
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,LGBM,194,48,5,0.0381,6.0276,6.9941,0.0582,-0.1089,0.0704
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,CatBoost,194,48,5,0.0402,5.9863,6.7754,0.0779,-0.0406,0.0472
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,Ridge,194,48,10,0.0719,5.9028,6.6882,0.1357,-0.014,0.1014
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,Lasso,194,48,10,0.0697,5.9094,6.6933,0.1321,-0.0155,0.0986
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,ElasticNet,194,48,10,0.0694,5.9098,6.6944,0.1315,-0.0159,0.091
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,SVR,194,48,10,0.0334,5.9581,6.7155,0.0769,-0.0223,0.0813
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,KNN,194,48,10,0.0318,5.9851,7.0105,0.0497,-0.1141,0.0314
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,RF,194,48,10,0.0493,6.0423,6.8136,0.0867,-0.0524,0.0571
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,ET,194,48,10,0.0182,6.0976,6.9496,0.0323,-0.0948,0.014
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,GB,194,48,10,-0.0003,6.2684,6.9738,-0.0006,-0.1024,-0.0139
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,XGB,194,48,10,0.0259,6.2591,6.9792,0.0405,-0.1042,0.0509
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,MLP,194,48,10,0.0354,6.0209,7.034,0.0554,-0.1216,-0.028
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,LGBM,194,48,10,0.0027,6.2025,7.0964,0.0041,-0.1416,-0.057
4,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,RobustScaler,CatBoost,194,48,10,0.0254,6.0761,6.8381,0.0484,-0.06,0.0473
5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,Ridge,194,48,5,-0.0209,5.4163,6.5504,-0.036,-0.1878,-0.0385
5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,Lasso,194,48,5,-0.02,5.4024,6.5275,-0.0353,-0.1795,-0.0319
5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,ElasticNet,194,48,5,-0.0198,5.3995,6.5228,-0.0351,-0.1778,-0.0334
