fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,negative_training,CRADK,phq_8,PHQ8,full,StandardScaler,Ridge,48,12,5,0.26,5.1965,6.1165,0.2846,-0.0532,-0.007
1,negative_training,CRADK,phq_8,PHQ8,full,StandardScaler,Lasso,48,12,5,0.2593,5.1921,6.1104,0.2844,-0.0511,-0.007
1,negative_training,CRADK,phq_8,PHQ8,full,StandardScaler,ElasticNet,48,12,5,0.2575,5.1969,6.1128,0.2828,-0.052,-0.007
1,negative_training,CRADK,phq_8,PHQ8,full,StandardScaler,SVR,48,12,5,0.1231,5.0163,6.0393,0.1796,-0.0268,-0.0877
1,negative_training,CRADK,phq_8,PHQ8,full,StandardScaler,KNN,48,12,5,0.0529,5.5833,6.5922,0.0684,-0.2234,-0.0386
1,negative_training,CRADK,phq_8,PHQ8,full,StandardScaler,RF,48,12,5,0.2247,4.5046,5.5566,0.362,0.1308,0.0351
1,negative_training,CRADK,phq_8,PHQ8,full,StandardScaler,ET,48,12,5,0.1843,4.8562,5.756,0.2782,0.0673,0.0035
1,negative_training,CRADK,phq_8,PHQ8,full,StandardScaler,GB,48,12,5,0.4561,4.4804,5.2862,0.4941,0.2133,0.4597
1,negative_training,CRADK,phq_8,PHQ8,full,StandardScaler,XGB,48,12,5,0.2693,5.2579,5.9742,0.3029,-0.0048,0.3123
1,negative_training,CRADK,phq_8,PHQ8,full,StandardScaler,MLP,48,12,5,0.1803,5.6166,6.7458,0.1878,-0.2811,-0.0702
1,negative_training,CRADK,phq_8,PHQ8,full,StandardScaler,LGBM,48,12,5,0.0969,4.8557,6.0173,0.1658,-0.0193,0.037
1,negative_training,CRADK,phq_8,PHQ8,full,StandardScaler,CatBoost,48,12,5,0.3586,4.4639,5.3558,0.4448,0.1925,0.1825
1,negative_training,CRADK,phq_8,PHQ8,full,MinMaxScaler,Ridge,48,12,10,0.1751,5.4244,6.2617,0.2054,-0.1038,0.0211
1,negative_training,CRADK,phq_8,PHQ8,full,MinMaxScaler,Lasso,48,12,10,0.2149,5.4659,6.4224,0.2344,-0.1612,-0.0386
1,negative_training,CRADK,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,48,12,10,0.193,5.4798,6.3781,0.2156,-0.1452,-0.007
1,negative_training,CRADK,phq_8,PHQ8,full,MinMaxScaler,SVR,48,12,10,0.1056,5.5787,6.4912,0.1249,-0.1862,-0.0842
1,negative_training,CRADK,phq_8,PHQ8,full,MinMaxScaler,KNN,48,12,10,0.1926,4.8241,5.8204,0.2706,0.0463,0.1054
1,negative_training,CRADK,phq_8,PHQ8,full,MinMaxScaler,RF,48,12,10,0.2804,4.6163,5.5112,0.4053,0.1449,0.2035
1,negative_training,CRADK,phq_8,PHQ8,full,MinMaxScaler,ET,48,12,10,0.2195,4.9458,5.8236,0.2961,0.0452,0.0772
1,negative_training,CRADK,phq_8,PHQ8,full,MinMaxScaler,GB,48,12,10,0.4053,4.7568,5.465,0.5158,0.1592,0.1228
1,negative_training,CRADK,phq_8,PHQ8,full,MinMaxScaler,XGB,48,12,10,0.2805,4.9206,5.9717,0.3756,-0.0039,0.1228
1,negative_training,CRADK,phq_8,PHQ8,full,MinMaxScaler,MLP,48,12,10,0.2367,5.5856,6.4388,0.2532,-0.1672,0.0456
1,negative_training,CRADK,phq_8,PHQ8,full,MinMaxScaler,LGBM,48,12,10,0.1888,4.8152,5.6729,0.3216,0.094,0.1951
1,negative_training,CRADK,phq_8,PHQ8,full,MinMaxScaler,CatBoost,48,12,10,0.224,4.619,5.7197,0.3408,0.079,0.2105
1,negative_training,CRADK,phq_8,PHQ8,full,RobustScaler,Ridge,48,12,10,0.1215,5.917,6.9022,0.1292,-0.3412,-0.0702
1,negative_training,CRADK,phq_8,PHQ8,full,RobustScaler,Lasso,48,12,10,0.1179,5.793,6.8188,0.128,-0.309,-0.0667
1,negative_training,CRADK,phq_8,PHQ8,full,RobustScaler,ElasticNet,48,12,10,0.1149,5.793,6.8198,0.1249,-0.3094,-0.1228
1,negative_training,CRADK,phq_8,PHQ8,full,RobustScaler,SVR,48,12,10,0.2461,5.2035,5.9663,0.2883,-0.0021,0.1193
1,negative_training,CRADK,phq_8,PHQ8,full,RobustScaler,KNN,48,12,10,0.1767,5.1333,5.9794,0.2502,-0.0065,-0.0334
1,negative_training,CRADK,phq_8,PHQ8,full,RobustScaler,RF,48,12,10,0.2418,4.1992,5.4664,0.4377,0.1587,0.3357
1,negative_training,CRADK,phq_8,PHQ8,full,RobustScaler,ET,48,12,10,0.2672,4.5608,5.4654,0.4047,0.1591,0.0861
1,negative_training,CRADK,phq_8,PHQ8,full,RobustScaler,GB,48,12,10,0.404,4.3533,5.4051,0.4653,0.1775,0.3439
1,negative_training,CRADK,phq_8,PHQ8,full,RobustScaler,XGB,48,12,10,0.3427,4.4194,5.5299,0.4271,0.1391,0.2456
1,negative_training,CRADK,phq_8,PHQ8,full,RobustScaler,MLP,48,12,10,0.1867,6.0239,6.9142,0.1924,-0.3458,-0.0386
1,negative_training,CRADK,phq_8,PHQ8,full,RobustScaler,LGBM,48,12,10,0.014,4.8988,6.102,0.0301,-0.0483,-0.2
1,negative_training,CRADK,phq_8,PHQ8,full,RobustScaler,CatBoost,48,12,10,0.25,4.0792,5.398,0.4872,0.1797,0.5263
2,negative_training,CRADK,phq_8,PHQ8,full,StandardScaler,Ridge,48,12,5,0.0501,6.5313,7.7087,0.0515,-1.0258,0.0806
2,negative_training,CRADK,phq_8,PHQ8,full,StandardScaler,Lasso,48,12,5,0.0505,6.5622,7.7552,0.052,-1.0504,0.0806
2,negative_training,CRADK,phq_8,PHQ8,full,StandardScaler,ElasticNet,48,12,5,0.0494,6.3849,7.4991,0.0507,-0.9171,0.0876
2,negative_training,CRADK,phq_8,PHQ8,full,StandardScaler,SVR,48,12,5,0.078,4.9156,6.5449,0.0815,-0.4603,0.2942
2,negative_training,CRADK,phq_8,PHQ8,full,StandardScaler,KNN,48,12,5,0.2084,4.5,5.4657,0.2507,-0.0184,0.2074
