fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,negative_training,CR,phq_8,PHQ8,full,StandardScaler,Ridge,48,12,5,0.0633,3.8658,4.9158,0.0994,-0.0651,0.1158
1,negative_training,CR,phq_8,PHQ8,full,StandardScaler,Lasso,48,12,5,0.162,3.6438,4.7276,0.2295,0.0149,0.1719
1,negative_training,CR,phq_8,PHQ8,full,StandardScaler,ElasticNet,48,12,5,0.0604,3.8531,4.8728,0.1019,-0.0466,0.1158
1,negative_training,CR,phq_8,PHQ8,full,StandardScaler,SVR,48,12,5,0.2123,3.538,4.6784,0.3446,0.0353,0.4105
1,negative_training,CR,phq_8,PHQ8,full,StandardScaler,KNN,48,12,5,0.2887,4.037,4.8368,0.3673,-0.0312,0.4851
1,negative_training,CR,phq_8,PHQ8,full,StandardScaler,RF,48,12,5,0.3574,3.5961,4.7705,0.4007,-0.0031,0.4175
1,negative_training,CR,phq_8,PHQ8,full,StandardScaler,ET,48,12,5,0.0658,4.2017,5.7924,0.0715,-0.4789,0.2491
1,negative_training,CR,phq_8,PHQ8,full,StandardScaler,GB,48,12,5,0.2599,4.6173,5.9358,0.2622,-0.553,0.3825
1,negative_training,CR,phq_8,PHQ8,full,StandardScaler,XGB,48,12,5,0.3035,4.219,5.4298,0.3187,-0.2995,0.3754
1,negative_training,CR,phq_8,PHQ8,full,StandardScaler,MLP,48,12,5,0.2531,3.4012,4.5992,0.3639,0.0676,0.4561
1,negative_training,CR,phq_8,PHQ8,full,StandardScaler,LGBM,48,12,5,0.3644,3.4569,4.498,0.4517,0.1082,0.5816
1,negative_training,CR,phq_8,PHQ8,full,StandardScaler,CatBoost,48,12,5,0.2623,4.1771,5.2994,0.2933,-0.2378,0.4
1,negative_training,CR,phq_8,PHQ8,full,MinMaxScaler,Ridge,48,12,5,0.0088,3.7327,4.7436,0.2069,0.0082,0.1719
1,negative_training,CR,phq_8,PHQ8,full,MinMaxScaler,Lasso,48,12,5,0.0085,3.7327,4.7443,0.2021,0.0079,0.0912
1,negative_training,CR,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,48,12,5,0.0085,3.7315,4.7444,0.207,0.0079,0.1719
1,negative_training,CR,phq_8,PHQ8,full,MinMaxScaler,SVR,48,12,5,0.0063,3.7449,4.7617,0.2078,0.0006,0.1719
1,negative_training,CR,phq_8,PHQ8,full,MinMaxScaler,KNN,48,12,5,0.1774,4.0833,5.0631,0.2153,-0.1299,0.1111
1,negative_training,CR,phq_8,PHQ8,full,MinMaxScaler,RF,48,12,5,0.1908,4.3805,5.2651,0.2171,-0.2219,0.2456
1,negative_training,CR,phq_8,PHQ8,full,MinMaxScaler,ET,48,12,5,0.2446,4.8494,5.6164,0.2679,-0.3903,0.2211
