fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,Ridge,48,13,5,0.0467,5.4094,6.3055,0.0654,-0.3854,0.0332
1,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,Lasso,48,13,5,0.0651,5.0087,5.7774,0.1316,-0.1631,0.0526
1,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,ElasticNet,48,13,5,0.0439,5.5991,6.4673,0.0582,-0.4574,0.0055
1,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,SVR,48,13,5,0.0966,5.7627,6.301,0.1342,-0.3834,-0.0554
1,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,KNN,48,13,5,0.1682,5.0085,5.882,0.2106,-0.2056,0.0471
1,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,RF,48,13,5,0.0171,5.272,6.067,0.0281,-0.2826,-0.0416
1,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,ET,48,13,5,-0.061,5.2962,6.2513,-0.1,-0.3617,-0.1136
1,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,GB,48,13,5,-0.1729,5.5834,6.7285,-0.2014,-0.5775,-0.2244
1,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,XGB,48,13,5,-0.0133,5.2964,6.4394,-0.0162,-0.4449,0.0582
1,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,MLP,48,13,5,-0.2077,7.799,8.9562,-0.2448,-1.7951,-0.2382
1,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,LGBM,48,13,5,0.0337,5.5607,6.2919,0.0456,-0.3794,0.0418
1,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,CatBoost,48,13,5,-0.0063,5.3215,6.0941,-0.0107,-0.2941,0.0055
1,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,Ridge,48,13,15,0.0241,5.324,6.2574,0.035,-0.3644,-0.0166
1,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,Lasso,48,13,15,0.0565,5.2669,6.0367,0.0866,-0.2698,0.0222
1,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,48,13,15,0.0165,5.1092,6.0079,0.0306,-0.2578,0.0443
1,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,SVR,48,13,15,-0.2266,7.1614,8.5804,-0.2961,-1.5654,-0.3712
1,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,KNN,48,13,15,-0.0518,5.5726,6.5401,-0.0709,-0.4904,-0.0776
1,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,RF,48,13,15,-0.32,5.5795,6.8295,-0.4706,-0.6253,-0.4238
1,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,ET,48,13,15,-0.369,5.8362,7.2759,-0.4746,-0.8447,-0.5707
1,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,GB,48,13,15,-0.2146,6.2676,7.3394,-0.2405,-0.877,-0.2632
1,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,XGB,48,13,15,-0.3491,6.7294,7.9386,-0.3896,-1.196,-0.2549
1,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,MLP,48,13,15,-0.1492,6.0675,7.2452,-0.2207,-0.8291,-0.2909
1,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,LGBM,48,13,15,-0.062,5.8766,6.8268,-0.079,-0.624,-0.072
1,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,CatBoost,48,13,15,-0.2918,5.5354,6.8254,-0.4559,-0.6233,-0.4238
1,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,Ridge,48,13,5,-0.0444,5.0572,6.2814,-0.0856,-0.3749,-0.1884
1,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,Lasso,48,13,5,-0.0384,4.7658,5.929,-0.2036,-0.2249,-0.4903
1,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,ElasticNet,48,13,5,-0.0197,5.1495,6.2378,-0.0358,-0.3558,0.0554
1,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,SVR,48,13,5,-0.4007,6.1138,7.2968,-0.4742,-0.8553,-0.5229
1,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,KNN,48,13,5,-0.2569,5.8681,7.0341,-0.3039,-0.7241,-0.2847
1,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,RF,48,13,5,-0.235,5.4915,6.659,-0.3689,-0.5451,-0.4128
1,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,ET,48,13,5,-0.4213,6.0636,7.3932,-0.5215,-0.9047,-0.5762
1,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,GB,48,13,5,-0.1654,5.0439,6.5776,-0.2896,-0.5076,-0.2382
1,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,XGB,48,13,5,0.2534,4.6891,5.8617,0.3486,-0.1973,0.5346
1,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,MLP,48,13,5,-0.2203,6.0794,7.3562,-0.2973,-0.8856,-0.3574
1,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,LGBM,48,13,5,-0.0181,5.9152,6.7216,-0.0242,-0.5743,-0.0279
1,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,CatBoost,48,13,5,-0.1244,5.6677,6.6413,-0.1756,-0.5369,-0.2382
2,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,Ridge,49,12,5,0.3238,5.3502,6.2208,0.5773,0.1005,0.5704
2,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,Lasso,49,12,5,0.2396,5.4646,6.3506,0.5767,0.0625,0.4718
2,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,ElasticNet,49,12,5,0.2606,5.3724,6.2755,0.591,0.0846,0.5352
2,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,SVR,49,12,5,0.13,6.1563,6.7879,0.388,-0.071,0.3099
2,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,KNN,49,12,5,0.1961,6.1111,7.5633,0.2902,-0.3297,0.2478
2,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,RF,49,12,5,0.159,5.8697,6.8829,0.2225,-0.1012,0.1197
2,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,ET,49,12,5,0.3247,5.4192,6.248,0.4533,0.0926,0.4648
2,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,GB,49,12,5,0.1465,6.6175,7.6107,0.1648,-0.3464,0.162
2,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,XGB,49,12,5,0.2235,5.9718,6.9681,0.251,-0.1286,0.1127
2,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,MLP,49,12,5,0.5199,5.6591,7.0274,0.5996,-0.1479,0.5775
2,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,LGBM,49,12,5,0.1034,6.3033,7.1082,0.1451,-0.1745,0.1164
2,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,CatBoost,49,12,5,0.2659,5.7382,6.7288,0.3004,-0.0524,0.2254
2,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,Ridge,49,12,5,0.3744,5.4925,6.2728,0.5807,0.0854,0.5352
2,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,Lasso,49,12,5,0.3261,5.4555,6.27,0.5909,0.0862,0.4859
2,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,49,12,5,0.3569,5.4604,6.2449,0.5853,0.0935,0.5564
2,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,SVR,49,12,5,0.2629,6.0992,6.9661,0.4351,-0.128,0.3592
2,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,KNN,49,12,5,0.3625,5.3056,6.1618,0.6207,0.1174,0.5997
2,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,RF,49,12,5,0.1523,6.0587,6.9605,0.2083,-0.1262,0.1408
2,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,ET,49,12,5,0.3317,5.4117,6.0479,0.5459,0.1498,0.5916
2,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,GB,49,12,5,-0.03,6.9707,8.0855,-0.0329,-0.5196,-0.1127
2,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,XGB,49,12,5,0.0227,6.5988,7.384,0.0282,-0.2674,0.1056
2,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,MLP,49,12,5,0.4269,5.587,6.5059,0.5875,0.0161,0.5493
2,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,LGBM,49,12,5,0.1778,5.8952,6.8242,0.2471,-0.0825,0.1741
2,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,CatBoost,49,12,5,0.1786,5.9903,6.8515,0.2285,-0.0912,0.2324
2,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,Ridge,49,12,10,0.2095,5.8424,6.5039,0.3935,0.0168,0.4789
2,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,Lasso,49,12,10,0.1371,5.9067,6.596,0.3858,-0.0113,0.3521
2,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,ElasticNet,49,12,10,0.1261,6.0469,6.6324,0.2934,-0.0225,0.3099
2,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,SVR,49,12,10,0.1431,6.4796,7.2811,0.2282,-0.2323,0.1549
2,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,KNN,49,12,10,0.3029,5.6,6.5732,0.4097,-0.0043,0.3781
2,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,RF,49,12,10,0.2141,5.713,6.6233,0.2872,-0.0197,0.2606
2,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,ET,49,12,10,0.3112,5.6229,6.3605,0.3909,0.0596,0.2887
2,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,GB,49,12,10,0.0399,6.7503,7.6959,0.0451,-0.3767,-0.1056
2,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,XGB,49,12,10,-0.1437,7.4234,8.311,-0.1659,-0.6056,-0.2535
2,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,MLP,49,12,10,0.3867,6.3136,8.1322,0.4189,-0.5372,0.3662
2,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,LGBM,49,12,10,0.1563,5.9387,6.9809,0.2169,-0.1328,0.0704
2,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,CatBoost,49,12,10,0.2069,5.8639,7.116,0.2294,-0.1771,0.0916
3,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,Ridge,49,12,10,0.0325,6.3739,7.6065,0.0431,-0.1755,0.1541
3,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,Lasso,49,12,10,0.0396,6.3665,7.6101,0.0517,-0.1766,0.1541
3,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,ElasticNet,49,12,10,0.0309,6.3698,7.5757,0.0418,-0.1659,0.1156
3,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,SVR,49,12,10,-0.0041,6.4025,7.5077,-0.0064,-0.1451,-0.028
3,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,KNN,49,12,10,-0.05,6.5714,7.4024,-0.1173,-0.1132,-0.0965
3,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,RF,49,12,10,0.2613,5.5884,6.4831,0.3893,0.1461,0.4238
3,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,ET,49,12,10,0.2109,5.8558,6.7944,0.2887,0.0621,0.2767
3,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,GB,49,12,10,0.3678,5.5455,6.5056,0.4187,0.1402,0.4343
3,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,XGB,49,12,10,0.3579,5.225,6.4029,0.4284,0.1671,0.3958
3,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,MLP,49,12,10,-0.058,6.6139,7.7045,-0.0957,-0.2059,0.0245
3,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,LGBM,49,12,10,0.1502,6.1662,6.91,0.2412,0.0299,0.2872
3,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,CatBoost,49,12,10,0.2867,5.5471,6.451,0.3974,0.1546,0.3398
3,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,Ridge,49,12,5,-0.094,6.705,7.7378,-0.166,-0.2164,-0.042
3,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,Lasso,49,12,5,-0.0943,6.6717,7.6828,-0.1751,-0.1991,-0.1296
3,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,49,12,5,-0.0701,6.5909,7.5205,-0.1487,-0.149,-0.021
3,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,SVR,49,12,5,-0.0668,6.5683,7.9031,-0.1013,-0.2689,-0.3082
3,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,KNN,49,12,5,0.0829,6.1111,7.2286,0.1285,-0.0616,0.0911
3,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,RF,49,12,5,-0.0204,6.461,7.5451,-0.0351,-0.1566,-0.0455
3,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,ET,49,12,5,-0.1299,7.0246,7.8527,-0.2446,-0.2528,-0.2557
3,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,GB,49,12,5,0.0024,6.4469,8.0541,0.0029,-0.3179,-0.0315
3,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,XGB,49,12,5,0.0877,6.0509,7.7678,0.1186,-0.2258,0.035
3,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,MLP,49,12,5,-0.0719,6.7778,7.6736,-0.1203,-0.1963,-0.056
3,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,LGBM,49,12,5,-0.0404,6.6098,7.5562,-0.0802,-0.16,0.03
3,negative_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,CatBoost,49,12,5,0.0042,6.2298,7.3261,0.0078,-0.0904,0.0595
3,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,Ridge,49,12,5,0.0105,6.4161,7.3839,0.017,-0.1077,0.1961
3,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,Lasso,49,12,5,-0.0133,6.5103,7.5826,-0.0196,-0.1681,0.1226
3,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,ElasticNet,49,12,5,0.0026,6.4592,7.4978,0.0039,-0.1421,0.1646
3,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,SVR,49,12,5,0.2023,5.7521,6.4697,0.4248,0.1496,0.5219
3,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,KNN,49,12,5,0.364,5.45,6.2682,0.4593,0.2018,0.5088
3,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,RF,49,12,5,0.3434,5.1904,6.118,0.5247,0.2396,0.3643
3,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,ET,49,12,5,0.2294,5.6796,6.5883,0.3505,0.1182,0.3783
3,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,GB,49,12,5,0.5173,4.692,5.7778,0.5713,0.3218,0.5569
3,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,XGB,49,12,5,0.4553,4.9739,6.0829,0.5111,0.2483,0.4343
3,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,MLP,49,12,5,0.0733,6.4615,7.136,0.1245,-0.0345,0.0911
3,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,LGBM,49,12,5,0.2971,5.6797,6.3287,0.4614,0.1863,0.4246
3,negative_training,SHAM,phq_8,PHQ8,full,RobustScaler,CatBoost,49,12,5,0.5039,4.4139,5.5555,0.6224,0.373,0.5954
4,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,Ridge,49,12,10,-0.3556,5.7014,6.8256,-0.3633,-1.3798,-0.2032
4,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,Lasso,49,12,10,-0.302,5.1193,5.9883,-0.3357,-0.8318,-0.1086
4,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,ElasticNet,49,12,10,-0.291,4.9703,5.7949,-0.3402,-0.7154,-0.1086
4,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,SVR,49,12,10,-0.165,5.223,5.9042,-0.1803,-0.7807,-0.0666
4,negative_training,SHAM,phq_8,PHQ8,full,StandardScaler,KNN,49,12,10,-0.3614,6.3452,7.1667,-0.3641,-1.6237,-0.3047
