fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,positive_training,ADK,phq_8,PHQ8,full,StandardScaler,Ridge,46,12,5,0.3362,4.5239,4.9587,0.4007,0.0653,0.4351
1,positive_training,ADK,phq_8,PHQ8,full,StandardScaler,Lasso,46,12,5,0.3359,4.5264,4.9521,0.4027,0.0678,0.4351
1,positive_training,ADK,phq_8,PHQ8,full,StandardScaler,ElasticNet,46,12,5,0.3362,4.5271,4.9492,0.4039,0.0688,0.4351
1,positive_training,ADK,phq_8,PHQ8,full,StandardScaler,SVR,46,12,5,0.2409,5.4752,6.4026,0.2816,-0.5583,0.2175
1,positive_training,ADK,phq_8,PHQ8,full,StandardScaler,KNN,46,12,5,0.3599,4.6333,5.2466,0.4304,-0.0464,0.4349
1,positive_training,ADK,phq_8,PHQ8,full,StandardScaler,RF,46,12,5,0.0969,5.0961,5.6803,0.1359,-0.2266,0.2632
1,positive_training,ADK,phq_8,PHQ8,full,StandardScaler,ET,46,12,5,-0.1176,6.0977,6.7026,-0.1443,-0.7078,-0.007
1,positive_training,ADK,phq_8,PHQ8,full,StandardScaler,GB,46,12,5,-0.1187,6.019,6.8837,-0.1529,-0.8013,-0.0246
1,positive_training,ADK,phq_8,PHQ8,full,StandardScaler,XGB,46,12,5,0.0317,5.5134,5.9645,0.0364,-0.3524,0.0526
1,positive_training,ADK,phq_8,PHQ8,full,StandardScaler,MLP,46,12,5,0.1094,5.9195,6.4007,0.1169,-0.5574,0.186
1,positive_training,ADK,phq_8,PHQ8,full,StandardScaler,LGBM,46,12,5,0.3081,4.3066,4.9729,0.3687,0.0599,0.3894
1,positive_training,ADK,phq_8,PHQ8,full,StandardScaler,CatBoost,46,12,5,-0.1226,5.6969,6.4012,-0.1638,-0.5577,0.0246
1,positive_training,ADK,phq_8,PHQ8,full,MinMaxScaler,Ridge,46,12,5,0.3493,4.083,4.6498,0.6203,0.1781,0.6842
1,positive_training,ADK,phq_8,PHQ8,full,MinMaxScaler,Lasso,46,12,5,0.3593,4.1364,4.6305,0.5908,0.1849,0.6772
1,positive_training,ADK,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,46,12,5,0.377,4.0374,4.6197,0.5958,0.1887,0.6842
1,positive_training,ADK,phq_8,PHQ8,full,MinMaxScaler,SVR,46,12,5,0.1797,5.3965,6.4804,0.2919,-0.5965,0.1649
1,positive_training,ADK,phq_8,PHQ8,full,MinMaxScaler,KNN,46,12,5,0.4238,3.8667,4.7188,0.6225,0.1535,0.625
1,positive_training,ADK,phq_8,PHQ8,full,MinMaxScaler,RF,46,12,5,0.0759,5.1317,6.4518,0.1279,-0.5824,0.1404
1,positive_training,ADK,phq_8,PHQ8,full,MinMaxScaler,ET,46,12,5,0.1249,4.5621,5.9733,0.2264,-0.3564,0.1634
1,positive_training,ADK,phq_8,PHQ8,full,MinMaxScaler,GB,46,12,5,-0.1035,6.9812,8.6119,-0.1544,-1.8193,-0.1544
1,positive_training,ADK,phq_8,PHQ8,full,MinMaxScaler,XGB,46,12,5,-0.0529,6.9382,8.379,-0.0699,-1.6689,-0.0456
1,positive_training,ADK,phq_8,PHQ8,full,MinMaxScaler,MLP,46,12,5,0.4283,3.8712,4.455,0.6185,0.2455,0.6316
