fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,Ridge,188,48,10,0.0214,5.2984,6.2028,0.0336,-0.1616,0.0462
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,Lasso,188,48,10,0.0252,5.2186,6.12,0.0432,-0.1308,0.0558
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,ElasticNet,188,48,10,0.0235,5.2312,6.1407,0.0395,-0.1384,0.0663
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,SVR,188,48,10,0.0209,5.2004,6.0641,0.0418,-0.1102,0.107
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,KNN,188,48,10,0.0818,5.2431,6.1112,0.1108,-0.1275,0.1388
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,RF,188,48,10,-0.0036,5.4936,6.3662,-0.005,-0.2236,0.0452
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,ET,188,48,10,-0.0016,5.3098,6.2867,-0.0023,-0.1932,0.0339
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,GB,188,48,10,0.0016,5.567,6.5697,0.0021,-0.303,0.052
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,XGB,188,48,10,-0.0094,5.6454,6.5667,-0.012,-0.3019,0.0584
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,MLP,188,48,10,-0.0003,5.4382,6.4007,-0.0004,-0.2369,0.036
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,LGBM,188,48,10,-0.0239,5.7887,6.8119,-0.0276,-0.4009,-0.0178
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full,StandardScaler,CatBoost,188,48,10,-0.0103,5.5249,6.5827,-0.0128,-0.3082,0.0583
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,Ridge,188,48,10,0.02,5.0948,5.9764,0.0476,-0.0783,0.058
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,Lasso,188,48,10,0.0146,5.0822,5.9581,0.0371,-0.0717,0.0427
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,188,48,10,0.0139,5.0262,5.9389,0.0422,-0.0648,0.0661
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,SVR,188,48,10,0.0463,5.23,6.1916,0.0808,-0.1574,0.1259
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full,MinMaxScaler,KNN,188,48,10,0.1057,5.2014,6.7094,0.1127,-0.3591,0.1905
