fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,positive_training,CRADK,phq_8,PHQ8,full,StandardScaler,Ridge,45,12,5,-0.0904,6.8618,8.3541,-0.1372,-0.8656,-0.0667
1,positive_training,CRADK,phq_8,PHQ8,full,StandardScaler,Lasso,45,12,5,-0.0753,6.7022,8.2905,-0.112,-0.8373,-0.0807
1,positive_training,CRADK,phq_8,PHQ8,full,StandardScaler,ElasticNet,45,12,5,-0.111,6.9125,8.2715,-0.1774,-0.8289,-0.0667
1,positive_training,CRADK,phq_8,PHQ8,full,StandardScaler,SVR,45,12,5,-0.0773,6.2731,7.4021,-0.1601,-0.4646,-0.1895
1,positive_training,CRADK,phq_8,PHQ8,full,StandardScaler,KNN,45,12,5,-0.119,6.9,8.9881,-0.1644,-1.1595,-0.1228
1,positive_training,CRADK,phq_8,PHQ8,full,StandardScaler,RF,45,12,5,-0.1081,6.3188,7.6827,-0.1906,-0.5778,-0.1649
1,positive_training,CRADK,phq_8,PHQ8,full,StandardScaler,ET,45,12,5,-0.1024,6.7838,8.5239,-0.1604,-0.9422,-0.1053
1,positive_training,CRADK,phq_8,PHQ8,full,StandardScaler,GB,45,12,5,-0.0706,5.8895,7.3306,-0.1188,-0.4365,-0.0035
1,positive_training,CRADK,phq_8,PHQ8,full,StandardScaler,XGB,45,12,5,-0.1071,6.2606,7.6293,-0.1413,-0.5559,-0.0931
1,positive_training,CRADK,phq_8,PHQ8,full,StandardScaler,MLP,45,12,5,-0.1829,7.6176,10.1997,-0.2263,-1.7809,-0.1228
1,positive_training,CRADK,phq_8,PHQ8,full,StandardScaler,LGBM,45,12,5,-0.137,6.4868,7.7983,-0.252,-0.6256,-0.2893
1,positive_training,CRADK,phq_8,PHQ8,full,StandardScaler,CatBoost,45,12,5,-0.1679,6.3309,7.9088,-0.2438,-0.672,-0.1544
1,positive_training,CRADK,phq_8,PHQ8,full,MinMaxScaler,Ridge,45,12,10,-0.0664,7.0035,8.8845,-0.0971,-1.11,-0.007
1,positive_training,CRADK,phq_8,PHQ8,full,MinMaxScaler,Lasso,45,12,10,-0.0589,7.018,8.9414,-0.0857,-1.1371,-0.007
1,positive_training,CRADK,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,45,12,10,-0.0761,6.9051,8.6419,-0.1145,-0.9963,-0.007
1,positive_training,CRADK,phq_8,PHQ8,full,MinMaxScaler,SVR,45,12,10,-0.0949,7.5565,9.6345,-0.1472,-1.4812,-0.0281
1,positive_training,CRADK,phq_8,PHQ8,full,MinMaxScaler,KNN,45,12,10,-0.0325,5.8929,7.6493,-0.051,-0.5641,-0.0491
1,positive_training,CRADK,phq_8,PHQ8,full,MinMaxScaler,RF,45,12,10,-0.2535,6.6558,8.3924,-0.3561,-0.8827,-0.2316
1,positive_training,CRADK,phq_8,PHQ8,full,MinMaxScaler,ET,45,12,10,-0.2309,7.0367,8.9019,-0.319,-1.1183,-0.2211
1,positive_training,CRADK,phq_8,PHQ8,full,MinMaxScaler,GB,45,12,10,-0.176,7.4511,9.2036,-0.2213,-1.2643,-0.2702
1,positive_training,CRADK,phq_8,PHQ8,full,MinMaxScaler,XGB,45,12,10,-0.3421,7.0243,9.2888,-0.3976,-1.3064,-0.3263
