fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,positive_training,CR,phq_8,PHQ8,full,StandardScaler,Ridge,48,12,5,-0.003,3.786,4.7952,-0.1968,-0.0135,-0.1719
1,positive_training,CR,phq_8,PHQ8,full,StandardScaler,Lasso,48,12,5,0.0,3.8056,4.7987,,-0.015,
1,positive_training,CR,phq_8,PHQ8,full,StandardScaler,ElasticNet,48,12,5,0.0,3.8056,4.7987,,-0.015,
1,positive_training,CR,phq_8,PHQ8,full,StandardScaler,SVR,48,12,5,-0.0903,3.9019,5.1396,-0.2036,-0.1643,-0.2281
1,positive_training,CR,phq_8,PHQ8,full,StandardScaler,KNN,48,12,5,-0.1603,4.6019,5.6482,-0.22,-0.4062,-0.3168
1,positive_training,CR,phq_8,PHQ8,full,StandardScaler,RF,48,12,5,-0.0259,4.3067,5.3371,-0.0336,-0.2555,0.0386
1,positive_training,CR,phq_8,PHQ8,full,StandardScaler,ET,48,12,5,-0.1051,5.125,6.1896,-0.1184,-0.6886,-0.1158
1,positive_training,CR,phq_8,PHQ8,full,StandardScaler,GB,48,12,5,-0.1647,6.0602,7.1146,-0.1688,-1.2311,-0.2105
1,positive_training,CR,phq_8,PHQ8,full,StandardScaler,XGB,48,12,5,-0.096,5.4934,6.4204,-0.1012,-0.8169,-0.1831
1,positive_training,CR,phq_8,PHQ8,full,StandardScaler,MLP,48,12,5,-0.1174,4.0604,5.3197,-0.2084,-0.2474,-0.214
1,positive_training,CR,phq_8,PHQ8,full,StandardScaler,LGBM,48,12,5,-0.0446,4.305,5.5262,-0.0561,-0.346,0.1415
1,positive_training,CR,phq_8,PHQ8,full,StandardScaler,CatBoost,48,12,5,-0.1445,4.7562,5.7686,-0.1753,-0.4668,-0.1789
1,positive_training,CR,phq_8,PHQ8,full,MinMaxScaler,Ridge,48,12,5,-0.0003,3.8037,4.7983,-0.1899,-0.0148,-0.2982
1,positive_training,CR,phq_8,PHQ8,full,MinMaxScaler,Lasso,48,12,5,0.0,3.8056,4.7987,,-0.015,
1,positive_training,CR,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,48,12,5,0.0,3.8056,4.7987,,-0.015,
1,positive_training,CR,phq_8,PHQ8,full,MinMaxScaler,SVR,48,12,5,-0.0733,3.8401,5.07,-0.2068,-0.133,-0.2982
1,positive_training,CR,phq_8,PHQ8,full,MinMaxScaler,KNN,48,12,5,0.0298,5.0556,5.823,0.0343,-0.4945,0.059
1,positive_training,CR,phq_8,PHQ8,full,MinMaxScaler,RF,48,12,5,-0.0538,4.672,5.4779,-0.0673,-0.3227,-0.0667
1,positive_training,CR,phq_8,PHQ8,full,MinMaxScaler,ET,48,12,5,-0.0846,5.1242,6.1564,-0.0981,-0.6706,-0.0316
1,positive_training,CR,phq_8,PHQ8,full,MinMaxScaler,GB,48,12,5,-0.2995,6.513,7.2017,-0.3129,-1.286,-0.4095
1,positive_training,CR,phq_8,PHQ8,full,MinMaxScaler,XGB,48,12,5,-0.3055,5.7388,6.6258,-0.3261,-0.935,-0.2947
1,positive_training,CR,phq_8,PHQ8,full,MinMaxScaler,MLP,48,12,5,-0.0017,3.7814,4.7897,-0.1699,-0.0112,-0.2456
1,positive_training,CR,phq_8,PHQ8,full,MinMaxScaler,LGBM,48,12,5,-0.0733,4.4929,5.673,-0.0895,-0.4185,0.1855
