fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,Ridge,48,13,20,-0.0447,8.1392,9.4563,-0.0495,-2.1159,-0.2715
1,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,Lasso,48,13,20,-0.0356,8.1367,9.464,-0.0395,-2.121,-0.2327
1,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,ElasticNet,48,13,20,-0.039,7.9839,9.2962,-0.0432,-2.0113,-0.2327
1,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,SVR,48,13,20,-0.0901,6.0081,6.9877,-0.1241,-0.7014,-0.1108
1,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,KNN,48,13,20,-0.0949,6.4615,7.2459,-0.1367,-0.8295,-0.2458
1,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,RF,48,13,20,-0.2707,6.1378,7.1144,-0.4157,-0.7637,-0.4128
1,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,ET,48,13,20,-0.1069,6.3477,7.3421,-0.1547,-0.8784,-0.2521
1,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,GB,48,13,20,-0.1706,7.4055,8.2568,-0.2391,-1.3756,-0.2521
1,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,XGB,48,13,20,-0.1553,7.222,8.1537,-0.2085,-1.3166,-0.1385
1,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,MLP,48,13,20,-0.1743,7.4844,9.7967,-0.2083,-2.3443,-0.3047
1,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,LGBM,48,13,20,-0.3813,6.6676,7.7656,-0.5496,-1.1013,-0.632
1,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,CatBoost,48,13,20,-0.2013,6.2971,7.4137,-0.296,-0.9152,-0.3186
1,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,Ridge,48,13,10,-0.0364,7.1248,8.4486,-0.0415,-1.4872,-0.1551
1,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,Lasso,48,13,10,-0.041,7.1158,8.482,-0.0469,-1.5069,-0.1801
1,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,48,13,10,-0.0248,6.9458,8.1039,-0.0284,-1.2884,-0.1551
1,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,SVR,48,13,10,-0.1075,6.8449,8.1072,-0.1246,-1.2903,-0.2299
1,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,KNN,48,13,10,-0.2063,6.5538,7.4085,-0.2473,-0.9125,-0.2953
1,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,RF,48,13,10,-0.1614,5.9677,6.8761,-0.2295,-0.6475,-0.2826
1,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,ET,48,13,10,-0.0334,6.2723,7.2444,-0.0425,-0.8287,-0.2188
1,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,GB,48,13,10,-0.1319,7.4929,8.5516,-0.1576,-1.5482,-0.3047
1,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,XGB,48,13,10,-0.2112,7.4448,8.5053,-0.2505,-1.5207,-0.1995
1,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,MLP,48,13,10,0.0122,5.7027,6.591,0.0161,-0.5137,-0.0942
1,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,LGBM,48,13,10,-0.14,5.9873,7.0532,-0.1896,-0.7335,-0.2014
1,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,CatBoost,48,13,10,-0.1951,5.948,7.1659,-0.256,-0.7893,-0.3989
1,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,Ridge,48,13,15,-0.1022,6.7223,8.0205,-0.1141,-1.2416,-0.2659
1,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,Lasso,48,13,15,-0.0349,8.0427,9.3344,-0.0387,-2.0361,-0.1718
1,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,ElasticNet,48,13,15,-0.0464,7.7951,9.1015,-0.051,-1.8865,-0.3047
1,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,SVR,48,13,15,-0.2551,6.8068,7.9671,-0.2768,-1.2118,-0.3241
1,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,KNN,48,13,15,-0.2693,6.7912,7.5835,-0.3421,-1.004,-0.4417
1,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,RF,48,13,15,-0.2491,6.0366,7.0486,-0.3697,-0.7312,-0.4432
1,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,ET,48,13,15,-0.1258,6.4808,7.3998,-0.1732,-0.908,-0.2521
1,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,GB,48,13,15,-0.1394,6.7622,8.0804,-0.167,-1.2751,-0.1302
1,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,XGB,48,13,15,-0.1853,7.3512,8.0851,-0.2196,-1.2778,-0.2022
1,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,MLP,48,13,15,-0.0556,7.9632,9.5234,-0.0691,-2.1603,-0.2438
1,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,LGBM,48,13,15,-0.1983,6.0758,7.1641,-0.2895,-0.7884,-0.3592
1,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,CatBoost,48,13,15,-0.252,6.2566,7.2509,-0.3421,-0.832,-0.3019
2,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,Ridge,49,12,5,-0.1344,6.6716,7.562,-0.2592,-0.3292,-0.2535
2,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,Lasso,49,12,5,-0.0819,6.3784,7.191,-0.2608,-0.202,-0.2535
2,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,ElasticNet,49,12,5,-0.1342,6.5784,7.4089,-0.3691,-0.2759,-0.3028
2,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,SVR,49,12,5,-0.0139,6.4381,7.1748,-0.0311,-0.1966,-0.1197
2,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,KNN,49,12,5,-0.1057,6.4667,7.6123,-0.1443,-0.3469,-0.1851
2,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,RF,49,12,5,-0.2117,6.5169,7.8405,-0.3488,-0.4289,-0.3521
2,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,ET,49,12,5,-0.069,6.1082,7.2621,-0.1216,-0.2259,-0.2676
2,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,GB,49,12,5,-0.014,6.3862,7.4972,-0.0215,-0.3065,-0.1479
2,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,XGB,49,12,5,-0.0108,6.2135,7.5118,-0.0144,-0.3116,-0.1408
2,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,MLP,49,12,5,-0.1743,6.6726,8.1386,-0.206,-0.5396,-0.1901
2,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,LGBM,49,12,5,-0.1655,7.243,8.2952,-0.2124,-0.5995,0.0072
2,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,CatBoost,49,12,5,-0.0451,6.2779,7.5223,-0.0649,-0.3153,-0.162
2,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,Ridge,49,12,10,0.0078,6.3005,7.3942,0.0131,-0.2709,0.0845
2,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,Lasso,49,12,10,0.0382,6.7907,7.735,0.0532,-0.3907,0.0282
2,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,49,12,10,-0.017,6.2121,7.0975,-0.0443,-0.1709,0.007
2,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,SVR,49,12,10,-0.0186,6.5829,7.5405,-0.0375,-0.3217,0.0845
2,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,KNN,49,12,10,0.0185,5.7619,6.9603,0.0323,-0.1261,0.1241
2,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,RF,49,12,10,-0.1384,6.6591,7.8324,-0.202,-0.426,-0.2042
2,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,ET,49,12,10,-0.0459,6.2883,7.418,-0.0708,-0.2791,-0.0423
2,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,GB,49,12,10,0.086,6.5787,7.5033,0.0949,-0.3087,0.0916
2,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,XGB,49,12,10,0.091,6.5631,7.6874,0.0985,-0.3736,0.0563
2,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,MLP,49,12,10,-0.1563,6.6151,7.5451,-0.3349,-0.3233,-0.1901
2,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,LGBM,49,12,10,-0.1819,7.4778,8.6052,-0.2316,-0.7212,-0.1943
2,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,CatBoost,49,12,10,-0.016,6.3105,7.6393,-0.0209,-0.3565,-0.0986
2,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,Ridge,49,12,5,-0.1491,6.7255,7.5538,-0.339,-0.3263,-0.3028
2,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,Lasso,49,12,5,-0.1188,6.6857,7.5524,-0.2245,-0.3258,-0.2113
2,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,ElasticNet,49,12,5,-0.1424,6.579,7.3923,-0.548,-0.2702,-0.4789
2,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,SVR,49,12,5,-0.0761,6.7143,7.3703,-0.2299,-0.2627,-0.1901
2,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,KNN,49,12,5,-0.1516,6.369,7.5068,-0.2436,-0.3099,-0.3816
2,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,RF,49,12,5,-0.2393,6.6013,7.9591,-0.3713,-0.4725,-0.3873
2,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,ET,49,12,5,-0.0641,6.0874,7.2469,-0.1151,-0.2208,-0.2465
2,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,GB,49,12,5,0.0436,6.2537,7.3534,0.06,-0.2569,-0.1761
2,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,XGB,49,12,5,0.0528,6.1069,7.2894,0.0714,-0.2351,-0.0775
2,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,MLP,49,12,5,-0.0866,6.3462,7.6091,-0.1191,-0.3458,-0.1761
2,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,LGBM,49,12,5,-0.1942,7.2126,8.2376,-0.2599,-0.5773,-0.363
2,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,CatBoost,49,12,5,-0.0713,6.3328,7.576,-0.104,-0.3342,-0.1197
3,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,Ridge,49,12,10,-0.0113,7.3475,7.9887,-0.0202,-0.2966,-0.3678
3,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,Lasso,49,12,10,0.0099,6.5562,7.3341,0.0252,-0.0928,-0.1891
3,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,ElasticNet,49,12,10,-0.0308,6.7008,7.5322,-0.0808,-0.1526,-0.2522
3,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,SVR,49,12,10,-0.1005,7.5962,8.7352,-0.1598,-0.5502,-0.0806
3,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,KNN,49,12,10,0.0391,6.95,8.6601,0.0593,-0.5236,0.1494
3,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,RF,49,12,10,-0.0446,6.6025,7.9405,-0.1043,-0.281,-0.0876
3,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,ET,49,12,10,0.0387,6.8571,7.9466,0.0825,-0.2829,0.0175
3,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,GB,49,12,10,-0.1045,6.9922,8.78,-0.1408,-0.5661,-0.1331
3,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,XGB,49,12,10,-0.0303,7.1458,8.5427,-0.0446,-0.4826,-0.0595
3,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,MLP,49,12,10,-0.0769,8.0204,9.0737,-0.1475,-0.6727,-0.2067
3,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,LGBM,49,12,10,-0.1258,7.07,8.1118,-0.2786,-0.3368,-0.2412
3,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,CatBoost,49,12,10,-0.0674,7.2403,8.6358,-0.1198,-0.5151,-0.1506
3,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,Ridge,49,12,20,-0.1067,7.055,7.8059,-0.2217,-0.2379,-0.2977
3,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,Lasso,49,12,20,-0.0451,6.5261,7.5572,-0.1058,-0.1603,-0.2277
3,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,49,12,20,-0.0703,6.7249,7.4478,-0.2312,-0.1269,-0.4273
3,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,SVR,49,12,20,-0.1007,7.1204,8.0868,-0.2002,-0.3286,-0.2557
3,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,KNN,49,12,20,-0.0037,6.6019,8.2494,-0.0066,-0.3826,-0.0561
3,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,RF,49,12,20,0.0066,6.4606,7.6061,0.0182,-0.1753,-0.0841
3,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,ET,49,12,20,-0.0461,6.7267,7.9965,-0.0882,-0.2991,-0.2032
3,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,GB,49,12,20,-0.0276,6.9222,8.0946,-0.0432,-0.3312,-0.0245
3,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,XGB,49,12,20,-0.0163,7.0366,8.0815,-0.0297,-0.3268,-0.1366
3,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,MLP,49,12,20,-0.1167,7.1795,7.9336,-0.2073,-0.2787,-0.2067
3,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,LGBM,49,12,20,-0.1269,7.0414,8.0337,-0.2413,-0.3112,-0.2277
3,positive_training,SHAM,phq_8,PHQ8,full,MinMaxScaler,CatBoost,49,12,20,0.0371,6.4179,7.6504,0.0741,-0.1891,0.035
3,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,Ridge,49,12,5,-0.073,6.5745,7.4924,-0.1967,-0.1405,-0.1506
3,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,Lasso,49,12,5,-0.072,6.5777,7.4776,-0.205,-0.1359,-0.1506
3,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,ElasticNet,49,12,5,-0.0764,6.613,7.6114,-0.1654,-0.177,-0.0841
3,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,SVR,49,12,5,-0.137,6.5122,7.6595,-0.3551,-0.1919,-0.3117
3,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,KNN,49,12,5,-0.1456,7.119,8.5831,-0.2617,-0.4967,-0.1877
3,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,RF,49,12,5,0.0411,6.2767,7.629,0.0724,-0.1824,0.0876
3,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,ET,49,12,5,0.028,6.4121,7.6725,0.0534,-0.196,0.0841
3,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,GB,49,12,5,-0.129,6.9241,8.4489,-0.1734,-0.4502,-0.0771
3,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,XGB,49,12,5,-0.0124,6.9212,8.1529,-0.0171,-0.3504,0.1646
3,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,MLP,49,12,5,-0.3731,8.1824,9.3645,-0.5782,-0.7816,-0.5464
3,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,LGBM,49,12,5,-0.1185,7.2328,8.1252,-0.1894,-0.3412,-0.1129
3,positive_training,SHAM,phq_8,PHQ8,full,RobustScaler,CatBoost,49,12,5,0.0334,6.4695,7.6235,0.0573,-0.1807,0.1086
4,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,Ridge,49,12,10,-0.3742,5.8383,7.4426,-0.3744,-1.8296,-0.1786
4,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,Lasso,49,12,10,-0.3659,6.0266,8.1094,-0.3725,-2.3593,-0.2032
4,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,ElasticNet,49,12,10,-0.3672,5.954,7.8912,-0.3709,-2.1809,-0.1856
4,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,SVR,49,12,10,-0.0782,4.5011,5.9457,-0.0799,-0.8058,0.007
4,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,KNN,49,12,10,-0.2172,5.0463,6.2809,-0.2259,-1.0152,-0.1786
4,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,RF,49,12,10,-0.1736,4.4404,5.6614,-0.1936,-0.6373,-0.0737
4,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,ET,49,12,10,-0.169,4.6271,5.7338,-0.184,-0.6794,-0.0911
4,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,GB,49,12,10,-0.0023,4.4885,5.5643,-0.0024,-0.5816,-0.0105
4,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,XGB,49,12,10,-0.1486,4.7915,6.0421,-0.1583,-0.8648,-0.2067
4,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,MLP,49,12,10,-0.3799,7.0572,9.3274,-0.4105,-3.4442,-0.3292
4,positive_training,SHAM,phq_8,PHQ8,full,StandardScaler,LGBM,49,12,10,-0.1667,4.1951,5.7325,-0.1821,-0.6786,-0.0841
