scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
StandardScaler,GB,0.06971999999999999,0.07097515058103084,5.21014,0.32151768691628774,6.31544,0.08798,0.08933874859208629,-0.18984,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full
RobustScaler,LGBM,0.06038,0.10492262387111752,5.245959999999999,0.37226525220600487,6.28952,0.08612,0.14130253713221147,-0.18036,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full
StandardScaler,LGBM,0.058219999999999994,0.07437524453741312,5.361179999999999,0.15334750405533157,6.40308,0.07074,0.09117323072042582,-0.223,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full
StandardScaler,XGB,0.05610000000000002,0.07049964538917909,5.22642,0.22141958359639272,6.280939999999999,0.0718,0.09305141052128119,-0.17522,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full
MinMaxScaler,LGBM,0.04936000000000001,0.135517537610451,5.3484,0.5323608832361747,6.4108,0.05994000000000001,0.1729155661009153,-0.22402000000000002,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full
MinMaxScaler,XGB,0.043,0.08941289056953701,5.28796,0.41987954582237025,6.3097,0.05576,0.11906820734352222,-0.18374,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full
StandardScaler,CatBoost,0.042620000000000005,0.06205938285223275,5.20178,0.32199993322980663,6.2584,0.06422,0.09110961529937442,-0.16741999999999999,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full
RobustScaler,XGB,0.04204,0.11724526856125154,5.2759,0.6224125681571671,6.3582,0.07053999999999998,0.15961612700476102,-0.20858,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full
MinMaxScaler,CatBoost,0.041499999999999995,0.06909511560161108,5.15198,0.336678209868117,6.18054,0.06373999999999999,0.10629474587203265,-0.137,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full
RobustScaler,GB,0.040279999999999996,0.10373040537855811,5.2560400000000005,0.5921604790932947,6.31484,0.06785999999999999,0.14023684608547068,-0.19002000000000002,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,full
