scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
RobustScaler,Lasso,0.032279999999999996,0.21447386087819653,5.7229,0.9712048007500786,7.077619999999999,0.0959,0.27893112052978236,-0.6361000000000001,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
RobustScaler,ElasticNet,0.020560000000000002,0.2171927093619857,5.75204,0.8314060307695632,7.038199999999999,0.030359999999999988,0.23139543642863833,-0.60648,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
StandardScaler,SVR,0.006479999999999997,0.3760919661465796,5.3529,1.8542165286179497,6.454239999999999,-0.008340000000000014,0.46265621469942453,-0.35838000000000003,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
StandardScaler,LGBM,-0.0020799999999999985,0.23545000955616885,5.5304,0.8821441180442116,6.638599999999999,0.005700000000000005,0.2897235492672282,-0.46208,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
MinMaxScaler,MLP,-0.003779999999999989,0.32106264497758064,5.57524,1.4451391794564288,6.805459999999999,0.05072,0.41080288095387063,-0.58558,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
RobustScaler,Ridge,-0.004500000000000004,0.19236817564243833,7.5037400000000005,4.134165061774869,10.93254,0.06296000000000002,0.3251094938632214,-3.6876400000000005,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
RobustScaler,LGBM,-0.008139999999999998,0.30379472181063316,5.650779999999999,1.3419780817882236,6.778440000000001,0.004199999999999993,0.3523748217452547,-0.5301,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
StandardScaler,Ridge,-0.01432,0.30003444302279697,5.28452,1.084539373190296,6.53424,0.015260000000000006,0.37030321764737606,-0.41281999999999996,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
MinMaxScaler,LGBM,-0.017440000000000004,0.2933185520897033,5.7613199999999996,1.3153177095287663,6.66062,0.0003799999999999998,0.3540219583585177,-0.46812000000000004,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
StandardScaler,Lasso,-0.02458000000000001,0.3021659097251045,5.4286,1.1504686023529713,6.718520000000001,0.024880000000000013,0.38663717746745463,-0.49278000000000005,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
RobustScaler,CatBoost,-0.031319999999999994,0.2843816221206989,5.6945,1.363428760515195,6.882419999999999,-0.027459999999999995,0.3209869592366643,-0.57472,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
StandardScaler,KNN,-0.040900000000000006,0.18276387772204877,5.53874,1.080440564306987,6.8024000000000004,-0.04680000000000001,0.2117243136722847,-0.48938,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
RobustScaler,XGB,-0.043680000000000004,0.32011300660860376,5.94534,1.693258565015987,7.17936,-0.054479999999999994,0.35795147296805474,-0.70468,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
RobustScaler,GB,-0.0453,0.2727591886628203,5.593439999999999,1.1400796410777627,6.8369,-0.0635,0.3159718895724745,-0.5644600000000001,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
StandardScaler,ElasticNet,-0.048900000000000006,0.2721027287625025,5.349500000000001,1.1421366205493984,6.531879999999999,0.011199999999999998,0.36584412664412147,-0.41997999999999996,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
RobustScaler,SVR,-0.0649,0.33817126578111273,5.3871,1.666075850614251,6.467700000000001,-0.12494000000000001,0.4238676184848284,-0.34058,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
MinMaxScaler,XGB,-0.06810000000000001,0.35650075034984147,6.12788,1.8113169965525089,7.23492,-0.07203999999999999,0.4003983491474459,-0.73262,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
MinMaxScaler,RF,-0.06824,0.2929331800940276,5.52554,1.229799647503609,6.656359999999999,-0.03898,0.3739319282971167,-0.4798,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
MinMaxScaler,Lasso,-0.06942,0.2597191791146738,5.60074,1.1457676217278963,6.85656,-0.026739999999999996,0.3358591639363142,-0.5546,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
MinMaxScaler,GB,-0.07493999999999999,0.28331779506412935,5.85806,1.4093568277764152,7.056519999999999,-0.08634,0.33145083044095697,-0.6525000000000001,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
MinMaxScaler,SVR,-0.07827999999999999,0.2787946053997459,5.83312,1.4206680917793575,7.09534,-0.08828,0.3445199007314382,-0.73034,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
MinMaxScaler,Ridge,-0.08080000000000001,0.2590085326779796,5.619120000000001,1.1774550467002978,6.932159999999999,-0.04056,0.33420761960194745,-0.58764,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
MinMaxScaler,ElasticNet,-0.0859,0.25799698641650837,5.54992,1.1594623956817227,6.78916,-0.04418000000000001,0.3413039876708152,-0.5166999999999999,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
StandardScaler,ET,-0.08630000000000002,0.31894660995219876,5.78026,1.611782495561979,6.99286,-0.07032,0.36629913595311686,-0.6129,5,emotion_induction_1,CRADK,phq_8,PHQ8,full
