scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
RobustScaler,XGB,-0.09468,0.1352709392293851,6.09566,0.6417118925187534,7.18188,-0.11356,0.1656827933130052,-0.7908799999999999,5,emotion_induction_1,CR,phq_8,PHQ8,full
StandardScaler,MLP,-0.10419999999999999,0.28361242920577373,6.381600000000001,0.9361300203497378,7.69624,-0.16546000000000002,0.35602972207387407,-1.03102,5,emotion_induction_1,CR,phq_8,PHQ8,full
StandardScaler,GB,-0.12908000000000003,0.20626542851384477,5.9103,1.2022630015932454,7.19194,-0.17836000000000002,0.2512989116570145,-0.7475599999999999,5,emotion_induction_1,CR,phq_8,PHQ8,full
MinMaxScaler,XGB,-0.13099999999999998,0.23080451685354858,6.059659999999999,1.1150026650192366,7.016240000000001,-0.16033999999999998,0.27240221731843517,-0.6969399999999999,5,emotion_induction_1,CR,phq_8,PHQ8,full
StandardScaler,XGB,-0.13557999999999998,0.1559027806038109,5.927439999999999,1.0341629915056911,7.117580000000001,-0.17522,0.18531348304966913,-0.712,5,emotion_induction_1,CR,phq_8,PHQ8,full
MinMaxScaler,RF,-0.13624,0.2242229872247714,5.541079999999999,0.8785754048458221,6.5254199999999996,-0.17668,0.28125941228694906,-0.46364,5,emotion_induction_1,CR,phq_8,PHQ8,full
MinMaxScaler,LGBM,-0.14906,0.1817648288311025,5.5033199999999995,0.9421682715948356,6.5839799999999995,-0.21852,0.2733496972743888,-0.47203999999999996,5,emotion_induction_1,CR,phq_8,PHQ8,full
MinMaxScaler,GB,-0.15124,0.19739687940795822,5.910500000000001,0.7466841400485213,6.8608400000000005,-0.17124,0.22389930325930002,-0.6202799999999999,5,emotion_induction_1,CR,phq_8,PHQ8,full
RobustScaler,GB,-0.15638000000000002,0.11729404076934173,6.03292,0.6770125715228634,7.182519999999999,-0.20124,0.15660588430834904,-0.79094,5,emotion_induction_1,CR,phq_8,PHQ8,full
MinMaxScaler,CatBoost,-0.1749,0.19169244899056403,5.79638,0.9619589814539912,6.784259999999999,-0.22237999999999997,0.23307210686823937,-0.5607399999999999,5,emotion_induction_1,CR,phq_8,PHQ8,full
StandardScaler,KNN,-0.17809999999999998,0.1492753328584465,5.935639999999999,0.9676763549865213,7.088800000000001,-0.23696000000000006,0.19653445753862095,-0.6697400000000001,5,emotion_induction_1,CR,phq_8,PHQ8,full
MinMaxScaler,ET,-0.18056,0.17405624952870838,5.687480000000001,0.754221291797043,6.7789,-0.23418,0.22236270370725394,-0.55664,5,emotion_induction_1,CR,phq_8,PHQ8,full
StandardScaler,RF,-0.18203999999999998,0.13510674668572253,5.61796,0.6382888319561921,6.641719999999999,-0.27271999999999996,0.20389463455422263,-0.5062800000000001,5,emotion_induction_1,CR,phq_8,PHQ8,full
MinMaxScaler,Lasso,-0.185,0.24816416945240102,5.911040000000001,0.9200111646061695,6.84464,-0.24928000000000003,0.3321050918007732,-0.57996,5,emotion_induction_1,CR,phq_8,PHQ8,full
