scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
RobustScaler,GB,0.11256,0.13845271033822343,5.37416,0.9790389844127757,6.4157399999999996,0.14412,0.18390986107329862,-0.2549,5,emotion_induction_1,SHAM,phq_8,PHQ8,full
StandardScaler,XGB,0.08765999999999999,0.24216159480809504,5.44272,0.778403932415555,6.38286,0.12766000000000002,0.2789006238788289,-0.31063999999999997,5,emotion_induction_1,SHAM,phq_8,PHQ8,full
MinMaxScaler,GB,0.08684,0.2390533057709096,5.422980000000001,1.3712327143851253,6.42628,0.1071,0.309297478166247,-0.25076000000000004,5,emotion_induction_1,SHAM,phq_8,PHQ8,full
RobustScaler,MLP,0.06226,0.32486769306904,180236142004.89948,403020265511.85956,330312512588.1634,0.10102,0.4561933329192789,-1.2292649439131645e+22,5,emotion_induction_1,SHAM,phq_8,PHQ8,full
RobustScaler,CatBoost,0.05941999999999999,0.1537815886249066,5.29828,1.0425097611053815,6.29956,0.08858000000000002,0.19740627396311397,-0.21768,5,emotion_induction_1,SHAM,phq_8,PHQ8,full
RobustScaler,ET,0.05398000000000001,0.21178578092024972,5.13786,0.9298148541510829,6.16404,0.08548,0.29754847000110757,-0.17243999999999998,5,emotion_induction_1,SHAM,phq_8,PHQ8,full
RobustScaler,XGB,0.04556000000000001,0.22551896372589159,5.49108,0.7886619884335747,6.595699999999999,0.08034,0.26814180576702323,-0.38492,5,emotion_induction_1,SHAM,phq_8,PHQ8,full
StandardScaler,RF,0.02662000000000001,0.13929627417845747,5.182620000000001,0.6051359037439442,6.1433599999999995,0.03234,0.19822016295019032,-0.16784000000000002,5,emotion_induction_1,SHAM,phq_8,PHQ8,full
RobustScaler,RF,0.022740000000000003,0.13820985131313904,5.27204,0.876681294998359,6.2243200000000005,0.034519999999999995,0.20459481176217545,-0.18702000000000002,5,emotion_induction_1,SHAM,phq_8,PHQ8,full
MinMaxScaler,XGB,0.02186,0.2683170754909199,5.6666799999999995,1.4749129320064962,6.670399999999999,0.01446,0.37060946156297736,-0.37004,5,emotion_induction_1,SHAM,phq_8,PHQ8,full
StandardScaler,GB,0.012980000000000002,0.1055151742641787,5.5435,0.6428969046433491,6.59092,0.024600000000000004,0.12645920290749899,-0.36036,5,emotion_induction_1,SHAM,phq_8,PHQ8,full
RobustScaler,SVR,0.011340000000000012,0.25228106944437984,5.27922,0.8362880436787314,6.30558,0.03572,0.3394003049497746,-0.23680000000000004,5,emotion_induction_1,SHAM,phq_8,PHQ8,full
StandardScaler,CatBoost,0.008140000000000003,0.09051440769291927,5.3822600000000005,0.699163949299447,6.36566,0.015359999999999995,0.11174389468780833,-0.24866000000000002,5,emotion_induction_1,SHAM,phq_8,PHQ8,full
MinMaxScaler,CatBoost,0.0011999999999999984,0.06977743188166213,5.439220000000001,1.0046130434152243,6.305619999999999,-0.004900000000000002,0.10568758205200837,-0.20873999999999998,5,emotion_induction_1,SHAM,phq_8,PHQ8,full
StandardScaler,ET,-0.006639999999999996,0.16707713188823897,5.32046,0.5984092771673915,6.25332,-0.0038999999999999924,0.22869457798557444,-0.21744000000000002,5,emotion_induction_1,SHAM,phq_8,PHQ8,full
