scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,features
StandardScaler,ElasticNet,0.26752000000000004,0.21813789675340686,5.07534,1.0061147762556717,6.04824,0.36324,0.32378421518041917,-0.0392,5,latency,ADK,full
StandardScaler,Ridge,0.24302,0.22630264470394507,5.15278,0.9414829270889619,6.18436,0.33243999999999996,0.3435506702074673,-0.09268000000000001,5,latency,ADK,full
StandardScaler,Lasso,0.23571999999999999,0.19618597554361525,5.15004,1.0260372425014603,6.09114,0.36824,0.30851596879254084,-0.0526,5,latency,ADK,full
RobustScaler,XGB,0.2286,0.13279585836915245,5.3033,1.1520032899258579,6.417879999999999,0.28006000000000003,0.13327958583369023,-0.18125999999999998,5,latency,ADK,full
MinMaxScaler,ElasticNet,0.22311999999999999,0.19522577186427,5.25786,1.1799292872880136,6.111800000000001,0.2629,0.30416387852603405,-0.05714,5,latency,ADK,full
MinMaxScaler,GB,0.21108,0.080521810709894,5.48718,0.6549924976669579,6.61012,0.25968,0.102538709763679,-0.23832,5,latency,ADK,full
RobustScaler,ElasticNet,0.20714000000000002,0.21218509137071817,5.240500000000001,1.120770567511478,6.165519999999999,0.28164,0.2702133656945933,-0.07276,5,latency,ADK,full
RobustScaler,CatBoost,0.20084,0.13866756289774473,5.142200000000001,1.0655457029147082,6.01388,0.28552,0.1964013671031849,-0.022060000000000003,5,latency,ADK,full
RobustScaler,RF,0.19852000000000003,0.17386703827925523,5.10372,1.2029064705952832,5.96194,0.29356,0.23722393007451845,-0.02532000000000001,5,latency,ADK,full
RobustScaler,Lasso,0.19538,0.16006977228696243,5.27598,1.0249456531933776,6.2923,0.384025,0.25415633476268107,-0.11132,5,latency,ADK,full
StandardScaler,GB,0.19496,0.24608204526133146,5.5043999999999995,1.580611421254446,6.64026,0.23802000000000004,0.28896039867082135,-0.26159999999999994,5,latency,ADK,full
StandardScaler,CatBoost,0.19268000000000002,0.2355204598331109,5.2177999999999995,1.6150050975151748,6.1155,0.24312,0.32358768054423825,-0.04665999999999999,5,latency,ADK,full
MinMaxScaler,Ridge,0.1924,0.18376472730097035,5.3596,1.0619761179047296,6.22948,0.25258,0.2691296193286796,-0.10432000000000001,5,latency,ADK,full
MinMaxScaler,MLP,0.18776,0.17800340727075986,5.6218200000000005,1.080196693662779,6.610939999999999,0.2407,0.2379817955222626,-0.24621999999999997,5,latency,ADK,full
StandardScaler,RF,0.1859,0.24940685636124763,5.163460000000001,1.5665655182596094,5.95184,0.25234,0.3455933564176256,0.0018799999999999817,5,latency,ADK,full
StandardScaler,XGB,0.18392,0.23916704831560726,5.5202,1.7948896177759792,6.61774,0.23988,0.3035483437609238,-0.24406,5,latency,ADK,full
RobustScaler,LGBM,0.18343999999999996,0.1624572651499464,5.0781,1.1862974163336948,5.96648,0.26083999999999996,0.20187607089499243,-0.005159999999999995,5,latency,ADK,full
RobustScaler,Ridge,0.17343999999999998,0.1838088082764262,5.34906,0.9597818569862634,6.3431,0.23401999999999998,0.24260430128091298,-0.13779999999999998,5,latency,ADK,full
RobustScaler,GB,0.1728,0.1007870775446932,5.597059999999999,0.9536587167325635,6.732660000000001,0.2434,0.14972449699364498,-0.3082,5,latency,ADK,full
StandardScaler,SVR,0.17120000000000002,0.19431110364567433,5.33482,1.191898066950358,6.385260000000001,0.20694000000000004,0.26605186148568855,-0.1479,5,latency,ADK,full
MinMaxScaler,RF,0.17088,0.17534753206133244,5.224200000000001,1.1623302865364906,6.11508,0.25802,0.23219342583286032,-0.07266,5,latency,ADK,full
MinMaxScaler,Lasso,0.16609999999999997,0.10780969344173091,5.35586,0.9802040466147851,6.26108,0.29875,0.14786878192054828,-0.11006,5,latency,ADK,full
MinMaxScaler,CatBoost,0.16140000000000002,0.14052652774476426,5.419840000000001,1.1550061398105202,6.354259999999999,0.22318000000000002,0.18557719956934363,-0.14131999999999997,5,latency,ADK,full
MinMaxScaler,XGB,0.15286000000000002,0.12065567951820584,5.80104,1.0826308156523163,7.019239999999999,0.18186,0.1376788037426241,-0.40858,5,latency,ADK,full
StandardScaler,MLP,0.15156,0.26552159610848985,6.07962,1.7911345613883956,7.46776,0.15918000000000002,0.2766869295792629,-0.54802,5,latency,ADK,full
RobustScaler,SVR,0.14656,0.13619002533225405,5.65348,0.930001812901459,6.5594399999999995,0.20393999999999995,0.20402770155054925,-0.2226,5,latency,ADK,full
StandardScaler,LGBM,0.13863999999999996,0.21924504099294925,5.17466,1.397636035597251,6.16728,0.18130000000000004,0.29496292987424705,-0.06664,5,latency,ADK,full
MinMaxScaler,LGBM,0.13532000000000002,0.15716495156363583,5.37744,1.2348125153236824,6.25824,0.1983,0.22975509787597748,-0.10624,5,latency,ADK,full
RobustScaler,KNN,0.13458,0.12490174938726839,5.58336,1.015985291724245,6.44978,0.17338,0.14242640906798149,-0.19596,5,latency,ADK,full
StandardScaler,KNN,0.13446,0.1585744241673291,5.48782,0.8551231823544488,6.53814,0.20082,0.2135444497054419,-0.26827999999999996,5,latency,ADK,full
RobustScaler,MLP,0.12875999999999999,0.23453075064903536,5.941940000000001,1.223820180010119,7.2136,0.14056,0.2656192444082318,-0.44421999999999995,5,latency,ADK,full
StandardScaler,ET,0.12105999999999997,0.2433714712122191,5.444419999999999,1.512582935577418,6.427239999999999,0.16822000000000004,0.29888165216352774,-0.20346000000000003,5,latency,ADK,full
RobustScaler,ET,0.10906,0.20567104317331594,5.45382,1.3754944881750713,6.474639999999999,0.16346,0.2652639591048886,-0.21054,5,latency,ADK,full
MinMaxScaler,ET,0.09630000000000001,0.16604737275849923,5.480020000000001,1.1660227665015808,6.497400000000001,0.14168,0.20937234058012533,-0.21674,5,latency,ADK,full
MinMaxScaler,SVR,0.08535999999999999,0.19626305816429132,5.63562,1.0137616840263792,6.68386,0.121,0.25459556162667096,-0.25788,5,latency,ADK,full
MinMaxScaler,KNN,0.08072000000000001,0.08644690277852642,5.6689,0.9854760905268077,6.803460000000001,0.13302,0.14160556839333688,-0.32242000000000004,5,latency,ADK,full
