scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
RobustScaler,LGBM,0.13368,0.14795604752763572,5.138,0.4251188363269737,6.10486,0.16704,0.1873844390551147,-0.10568000000000002,5,latency,ALL_CONDITIONS,phq_8,PHQ8,full
MinMaxScaler,SVR,0.11986000000000001,0.12962819137826462,5.079400000000001,0.42289196019787384,6.02312,0.15344,0.16832365549737802,-0.07271999999999999,5,latency,ALL_CONDITIONS,phq_8,PHQ8,full
StandardScaler,XGB,0.10995999999999999,0.0793131325821897,5.16022,0.3926461282121601,6.17186,0.14076,0.10474002577811407,-0.12722,5,latency,ALL_CONDITIONS,phq_8,PHQ8,full
StandardScaler,LGBM,0.10630000000000002,0.0948618732684528,5.26226,0.3473540024240403,6.2326999999999995,0.13024,0.11719664244337376,-0.14766,5,latency,ALL_CONDITIONS,phq_8,PHQ8,full
RobustScaler,XGB,0.09834000000000001,0.13881119551390658,5.0667599999999995,0.40780206963672955,6.1691400000000005,0.12725999999999998,0.18976234610691342,-0.12886,5,latency,ALL_CONDITIONS,phq_8,PHQ8,full
RobustScaler,CatBoost,0.09564,0.11601481801907892,5.03998,0.4374299681091818,6.03228,0.14228000000000002,0.17956034361740345,-0.0803,5,latency,ALL_CONDITIONS,phq_8,PHQ8,full
StandardScaler,KNN,0.09424,0.11621403959935306,5.0591,0.44715189253764775,6.04786,0.1386,0.16775051415718523,-0.08321999999999999,5,latency,ALL_CONDITIONS,phq_8,PHQ8,full
StandardScaler,SVR,0.09296000000000001,0.08814364979963106,4.96872,0.3948580086562764,5.88536,0.15638,0.14277374408482815,-0.02384,5,latency,ALL_CONDITIONS,phq_8,PHQ8,full
StandardScaler,ET,0.09268000000000001,0.08516100633505923,5.08792,0.3118986806640903,6.0185200000000005,0.13122,0.11777022968475523,-0.07084,5,latency,ALL_CONDITIONS,phq_8,PHQ8,full
StandardScaler,GB,0.09187999999999999,0.07701407014305893,5.23148,0.369753670705241,6.2755,0.11532,0.10022318594018052,-0.16462000000000002,5,latency,ALL_CONDITIONS,phq_8,PHQ8,full
StandardScaler,MLP,0.08674,0.0915010546387308,5.461240000000001,0.6853966063528476,6.85826,0.10539999999999998,0.1210669649408954,-0.42102000000000006,5,latency,ALL_CONDITIONS,phq_8,PHQ8,full
StandardScaler,CatBoost,0.08499999999999999,0.08610438432507372,5.164580000000001,0.42971655425408034,6.113460000000001,0.12568,0.1327137408108143,-0.10854,5,latency,ALL_CONDITIONS,phq_8,PHQ8,full
