scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
MinMaxScaler,XGB,0.013519999999999999,0.1294086434516644,5.79332,0.7558093522840268,6.88806,0.0004599999999999993,0.13782272309020743,-0.55326,5,latency,CRADK,phq_8,PHQ8,full
MinMaxScaler,GB,-0.0065400000000000015,0.1626228089783226,5.972519999999999,0.9513022742535624,7.01892,-0.025239999999999995,0.17785576459592195,-0.6078399999999999,5,latency,CRADK,phq_8,PHQ8,full
MinMaxScaler,ET,-0.06726000000000001,0.1156204263960309,5.964060000000001,0.8563970241657781,6.97462,-0.09996000000000001,0.14350286756716746,-0.58816,5,latency,CRADK,phq_8,PHQ8,full
RobustScaler,GB,-0.07442,0.18345904720127595,5.9975,0.36189136491494267,7.13484,-0.05948,0.22209462397815935,-0.7142000000000001,5,latency,CRADK,phq_8,PHQ8,full
RobustScaler,LGBM,-0.07801999999999999,0.15680898252332356,5.6472,0.872128330579852,6.533919999999999,-0.10135999999999998,0.1968472326450133,-0.39166,5,latency,CRADK,phq_8,PHQ8,full
MinMaxScaler,LGBM,-0.10352000000000001,0.2312002638406799,5.913819999999999,1.007955468758417,6.851839999999998,-0.1511,0.2938014805953163,-0.51564,5,latency,CRADK,phq_8,PHQ8,full
MinMaxScaler,CatBoost,-0.10888000000000002,0.18696478812867412,5.8563600000000005,1.0906309999261894,6.879220000000001,-0.15036,0.21521565463506598,-0.53336,5,latency,CRADK,phq_8,PHQ8,full
RobustScaler,XGB,-0.11078000000000002,0.1721654349746197,6.0708400000000005,0.36514407156627915,7.07796,-0.12656,0.19152732964253427,-0.6925000000000001,5,latency,CRADK,phq_8,PHQ8,full
RobustScaler,Lasso,-0.1115,0.11854448532091233,5.37492,0.6322167207532557,6.43172,-0.15926,0.2248423736754262,-0.3799,5,latency,CRADK,phq_8,PHQ8,full
RobustScaler,Ridge,-0.11352,0.1256775516948035,5.54096,0.6382738934031378,6.56592,-0.15594000000000002,0.23222789022854254,-0.43235999999999997,5,latency,CRADK,phq_8,PHQ8,full
StandardScaler,Lasso,-0.11614,0.142488922376443,5.4074599999999995,0.303337440814681,6.53214,-0.1873,0.25095447794370995,-0.43884,5,latency,CRADK,phq_8,PHQ8,full
MinMaxScaler,KNN,-0.11623999999999998,0.190867881006732,6.0574200000000005,0.9539181867434967,7.240139999999999,-0.1851,0.2510019322634788,-0.7096200000000001,5,latency,CRADK,phq_8,PHQ8,full
RobustScaler,SVR,-0.12050000000000001,0.14399526033866533,5.91286,0.5443040078852993,6.91708,-0.18372000000000002,0.23538087645346212,-0.6308,5,latency,CRADK,phq_8,PHQ8,full
RobustScaler,ElasticNet,-0.12612,0.13570656579546914,5.487080000000001,0.6106633622545238,6.53978,-0.1513,0.23625840725781588,-0.42566,5,latency,CRADK,phq_8,PHQ8,full
StandardScaler,Ridge,-0.12774000000000002,0.15880208751776534,5.5354399999999995,0.3973777648535459,6.70964,-0.17858000000000002,0.24959648835670742,-0.5108,5,latency,CRADK,phq_8,PHQ8,full
StandardScaler,ElasticNet,-0.12854000000000002,0.15503382856654221,5.523999999999999,0.4041783640918944,6.66892,-0.17088,0.24525229254789854,-0.49639999999999995,5,latency,CRADK,phq_8,PHQ8,full
RobustScaler,MLP,-0.13186,0.20464779011755782,6.1608,0.40714994780792996,7.1967799999999995,-0.18168,0.2616096653413249,-0.7684,5,latency,CRADK,phq_8,PHQ8,full
StandardScaler,GB,-0.13196,0.14338731812820826,6.33616,0.6888628985509381,7.5247399999999995,-0.14316,0.1483190749701467,-0.9734400000000001,5,latency,CRADK,phq_8,PHQ8,full
