scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,features
MinMaxScaler,SVR,0.10859999999999999,0.26508508068165587,5.49194,1.0650983513272374,6.47962,0.13308,0.31708811393680464,-0.5694800000000001,5,latency,CR,full
MinMaxScaler,XGB,0.06852,0.20208880968524706,5.30682,0.8395497317014641,6.425880000000001,0.07,0.23946191764036304,-0.4586799999999999,5,latency,CR,full
MinMaxScaler,KNN,0.05704,0.26378538246081795,5.33524,0.6875639592067052,6.32868,0.11576000000000002,0.35711575574314836,-0.4943199999999999,5,latency,CR,full
RobustScaler,Lasso,0.03896000000000001,0.21936299368854356,4.95108,0.6342933051830201,6.0388399999999995,0.0619,0.3183839034875978,-0.31926,5,latency,CR,full
RobustScaler,KNN,0.028339999999999997,0.22802322907984615,5.604979999999999,1.7844613730759205,6.4771600000000005,0.11606000000000001,0.36308655717335503,-0.5548599999999999,5,latency,CR,full
MinMaxScaler,CatBoost,0.023659999999999997,0.16776499336870013,5.35198,1.0127358870900152,6.36462,0.022500000000000003,0.21582511438662555,-0.41416,5,latency,CR,full
MinMaxScaler,RF,0.014219999999999997,0.17295922062729122,5.154819999999999,0.9532908013822436,6.11342,0.016139999999999998,0.24618080347581936,-0.31414,5,latency,CR,full
RobustScaler,LGBM,0.010960000000000003,0.2533273238322309,5.34848,0.9573146593466534,6.30908,0.11454,0.4075182854793144,-0.46369999999999995,5,latency,CR,full
RobustScaler,XGB,0.00958,0.20886028104931773,5.69442,1.3786592932991097,6.624159999999999,0.02914,0.24469121970352758,-0.59374,5,latency,CR,full
MinMaxScaler,ElasticNet,0.009300000000000008,0.2902508225655872,5.38506,1.0244535753268667,6.5030600000000005,0.03314,0.3605742614219712,-0.5299200000000001,5,latency,CR,full
MinMaxScaler,Ridge,0.007340000000000002,0.2981930716834313,5.28242,1.0911396688783703,6.369019999999999,0.021320000000000006,0.36361437952864295,-0.44814,5,latency,CR,full
MinMaxScaler,LGBM,0.003979999999999995,0.2512332123744789,5.499639999999999,1.158278862364327,6.376180000000001,0.02522,0.3731490010706179,-0.4382,5,latency,CR,full
RobustScaler,ElasticNet,0.0016600000000000059,0.23120973811671516,4.91148,0.8698275645206929,6.035900000000001,0.008979999999999988,0.3341596729110202,-0.27892,5,latency,CR,full
RobustScaler,SVR,0.0008399999999999963,0.19924114283952502,5.7788200000000005,1.3793100982012705,6.77582,0.025480000000000003,0.23904348349202076,-0.69614,5,latency,CR,full
RobustScaler,GB,-0.004259999999999991,0.13076831802848884,5.5542,1.0494067848074935,6.628240000000001,0.0035199999999999954,0.1473436357634764,-0.56796,5,latency,CR,full
RobustScaler,RF,-0.008400000000000008,0.21822594941940338,5.23876,1.0222527930996324,6.192159999999999,0.062419999999999996,0.33736585778646894,-0.38580000000000003,5,latency,CR,full
MinMaxScaler,Lasso,-0.009719999999999996,0.3178024968435585,5.35182,1.0826217931484663,6.45454,0.0001400000000000068,0.38293104209504875,-0.49304,5,latency,CR,full
RobustScaler,Ridge,-0.01873999999999998,0.26529966641516906,5.1988,0.849913869165576,6.46836,0.010920000000000018,0.348192255801303,-0.50918,5,latency,CR,full
MinMaxScaler,ET,-0.027339999999999996,0.2165482117220089,5.30874,0.6576546685001179,6.27444,-0.017180000000000008,0.29775231653171064,-0.41766,5,latency,CR,full
RobustScaler,CatBoost,-0.028360000000000003,0.22127830440420498,5.4562,1.354995690030046,6.38496,0.023820000000000015,0.3055930660208114,-0.48073999999999995,5,latency,CR,full
MinMaxScaler,GB,-0.029860000000000005,0.19198460354934715,5.5841,0.9684470119732935,6.755280000000001,-0.04201999999999999,0.2514909779693896,-0.61788,5,latency,CR,full
MinMaxScaler,MLP,-0.03515999999999999,0.3541447062995577,5.691660000000001,1.067646197483043,6.76788,-0.019540000000000023,0.41532358228253785,-0.6837799999999999,5,latency,CR,full
StandardScaler,SVR,-0.03584,0.14345245902388706,5.94672,0.7013808644381453,6.96702,-0.06078,0.17466678848596262,-0.7670399999999999,5,latency,CR,full
StandardScaler,CatBoost,-0.04344,0.20522198468975006,5.9656,1.1020171414274826,7.014799999999999,-0.04124,0.24693031000668994,-0.79662,5,latency,CR,full
StandardScaler,KNN,-0.04398,0.21101746847121453,5.6758,0.4032156928989743,6.683840000000001,-0.038160000000000006,0.30732781032636797,-0.6705800000000001,5,latency,CR,full
StandardScaler,Ridge,-0.04510000000000001,0.3339898875714653,5.51258,0.9460983733206605,6.71664,-0.041140000000000024,0.3822355595702734,-0.635,5,latency,CR,full
StandardScaler,XGB,-0.05030000000000001,0.1297628028365602,6.23456,1.3300880433264557,7.37466,-0.05187999999999998,0.13776215735825278,-0.9315,5,latency,CR,full
StandardScaler,ElasticNet,-0.05765999999999999,0.3440097207928869,5.61198,1.4129052894656455,6.838760000000001,-0.06006,0.3891418289004666,-0.65748,5,latency,CR,full
StandardScaler,Lasso,-0.05989999999999999,0.3502616521973252,5.92424,1.1377554825181024,7.22424,-0.056479999999999995,0.38692485316919095,-0.8936599999999999,5,latency,CR,full
StandardScaler,RF,-0.061739999999999996,0.18884908789824748,5.62224,1.1652072253466332,6.6531,-0.05450000000000001,0.2490089255428407,-0.58642,5,latency,CR,full
StandardScaler,LGBM,-0.06397999999999997,0.23326558254487523,5.67956,1.2036091923876286,6.685600000000001,-0.06204000000000002,0.32027832895779884,-0.58864,5,latency,CR,full
StandardScaler,GB,-0.06858,0.17569863972154137,6.2688,1.343423069996939,7.38546,-0.0718,0.2006936097637391,-1.01398,5,latency,CR,full
StandardScaler,ET,-0.07676,0.19363977638904667,5.68452,0.8523227921392224,6.730320000000001,-0.0704,0.24255827134938113,-0.6332599999999999,5,latency,CR,full
StandardScaler,MLP,-0.08386000000000002,0.365254353841265,6.80806,1.664318669305851,8.49934,-0.08946000000000001,0.39092912784800266,-1.7148600000000003,5,latency,CR,full
RobustScaler,ET,-0.12079999999999998,0.19834158666300925,5.66556,1.1230683652387328,6.685300000000001,-0.11896,0.24059099733780567,-0.6089200000000001,5,latency,CR,full
RobustScaler,MLP,-0.14076,0.26458303611531864,6.44758,0.8043505218497717,7.762300000000001,-0.13662000000000002,0.2850454911062443,-1.28738,5,latency,CR,full
