scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
MinMaxScaler,GB,0.25701999999999997,0.07314073420468242,4.969740000000001,0.8636001812181374,6.04368,0.28958,0.06505203301972967,-0.13256,5,latency,SHAM,phq_8,PHQ8,full
MinMaxScaler,LGBM,0.22086,0.18304800736418853,4.6286000000000005,0.9647977586002155,5.776439999999999,0.25542000000000004,0.20172701108180827,-0.015199999999999997,5,latency,SHAM,phq_8,PHQ8,full
MinMaxScaler,RF,0.21884,0.09588515526399277,4.82272,0.7228882257998122,5.6915,0.27942,0.11392741987774498,0.009940000000000001,5,latency,SHAM,phq_8,PHQ8,full
MinMaxScaler,XGB,0.20996,0.10142397645527412,5.137100000000001,1.061074839490599,6.31308,0.23336,0.0943040455123745,-0.22918,5,latency,SHAM,phq_8,PHQ8,full
MinMaxScaler,CatBoost,0.2003,0.05975165269680832,4.8768,0.8987040196861257,5.83972,0.24838,0.05980089464213725,-0.03684,5,latency,SHAM,phq_8,PHQ8,full
MinMaxScaler,Ridge,0.16066,0.23708454821012692,5.091240000000001,0.8102843315775023,6.168100000000001,0.17282,0.25001455357638686,-0.15804,5,latency,SHAM,phq_8,PHQ8,full
MinMaxScaler,ET,0.16052,0.050199970119513014,4.81934,0.7709412124150585,5.857339999999999,0.21627999999999997,0.058432970145286985,-0.041120000000000004,5,latency,SHAM,phq_8,PHQ8,full
MinMaxScaler,ElasticNet,0.15436,0.23639795472888506,5.226159999999999,0.7408444222642159,6.38968,0.16751999999999997,0.2603530045918426,-0.25999999999999995,5,latency,SHAM,phq_8,PHQ8,full
StandardScaler,Ridge,0.14526,0.20427057546303629,5.623,0.7129299439636405,7.030239999999999,0.19104,0.2503151273894569,-0.6461,5,latency,SHAM,phq_8,PHQ8,full
MinMaxScaler,Lasso,0.145,0.21804429595841301,4.94454,1.0205180218888836,6.0498,0.15299999999999997,0.2293777343161275,-0.11225999999999998,5,latency,SHAM,phq_8,PHQ8,full
StandardScaler,ElasticNet,0.13934,0.20686093879705755,5.5392600000000005,0.7703660740193583,6.96036,0.18466,0.25596718149012776,-0.6341600000000001,5,latency,SHAM,phq_8,PHQ8,full
RobustScaler,Lasso,0.1278,0.21447293535548956,5.363660000000001,0.8574628231008037,6.69186,0.16518000000000002,0.24640216516905852,-0.38976,5,latency,SHAM,phq_8,PHQ8,full
RobustScaler,Ridge,0.11938,0.21649625169965414,5.4586,0.7801750989361302,6.843179999999999,0.1421,0.2408345386359689,-0.46304,5,latency,SHAM,phq_8,PHQ8,full
RobustScaler,ElasticNet,0.11938,0.21996031914870465,5.39534,0.8085174290019976,6.69064,0.12962,0.2521967822950959,-0.38712,5,latency,SHAM,phq_8,PHQ8,full
MinMaxScaler,MLP,0.11307999999999999,0.1575433971958203,5.2824,0.9552561593625033,6.327540000000001,0.12982,0.17815994779972294,-0.22884000000000002,5,latency,SHAM,phq_8,PHQ8,full
RobustScaler,LGBM,0.11280000000000001,0.2579240682836714,4.97984,0.9451897444428817,5.90826,0.12810000000000002,0.34254046476292405,-0.07073999999999998,5,latency,SHAM,phq_8,PHQ8,full
StandardScaler,CatBoost,0.10878000000000002,0.1486037247177876,5.169700000000001,0.5305076436772616,6.226,0.14158,0.16596724676875255,-0.2263,5,latency,SHAM,phq_8,PHQ8,full
StandardScaler,Lasso,0.10644,0.19956266684928822,5.49348,0.7486239656863783,6.85984,0.16499999999999998,0.27046875050548813,-0.6096,5,latency,SHAM,phq_8,PHQ8,full
MinMaxScaler,SVR,0.10498,0.1980291821929283,5.2126399999999995,0.7815849813040165,6.57176,0.11860000000000001,0.2091487150331075,-0.37770000000000004,5,latency,SHAM,phq_8,PHQ8,full
RobustScaler,CatBoost,0.10068000000000002,0.1774149148183433,4.9868999999999994,0.6938378304762579,6.14538,0.10316,0.21960103141834283,-0.1685,5,latency,SHAM,phq_8,PHQ8,full
RobustScaler,RF,0.10002,0.16775582553223004,4.91784,0.7703027086801656,5.98874,0.11303999999999999,0.21531884032754772,-0.0974,5,latency,SHAM,phq_8,PHQ8,full
MinMaxScaler,KNN,0.08374000000000001,0.05715534095777927,5.09882,0.7042447529091002,6.327919999999999,0.11699999999999999,0.08228681546882223,-0.2486,5,latency,SHAM,phq_8,PHQ8,full
RobustScaler,GB,0.078,0.2948776271608275,5.237419999999999,1.1247901568737166,6.53202,0.06368000000000001,0.3365639716309516,-0.3147,5,latency,SHAM,phq_8,PHQ8,full
RobustScaler,XGB,0.07144,0.2789000591609833,5.31748,1.1424402772136497,6.69282,0.061439999999999995,0.3108492608966604,-0.37438000000000005,5,latency,SHAM,phq_8,PHQ8,full
RobustScaler,ET,0.05653999999999999,0.2282253666882803,5.1147800000000005,0.9089134980843887,6.33232,0.039619999999999995,0.3168373667988042,-0.22932000000000002,5,latency,SHAM,phq_8,PHQ8,full
StandardScaler,GB,0.050539999999999995,0.053055423850912733,5.757340000000001,0.5756751627437126,6.9030000000000005,0.05620000000000001,0.0549441989658599,-0.5146599999999999,5,latency,SHAM,phq_8,PHQ8,full
StandardScaler,LGBM,0.05038,0.17047984338331615,5.136979999999999,0.7315330730732552,6.12344,0.06367999999999999,0.21850105720568036,-0.15452,5,latency,SHAM,phq_8,PHQ8,full
