scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
MinMaxScaler,GB,0.02042,0.08648645558698773,5.4104,0.5216844304749758,6.490839999999999,0.03062,0.10556356852626762,-0.26295999999999997,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full
MinMaxScaler,XGB,0.01954,0.08637857373214725,5.4597,0.526222585984296,6.56476,0.03262,0.1072431676145385,-0.29584,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full
MinMaxScaler,SVR,0.017499999999999998,0.050316051116914964,5.33596,0.5401137222844835,6.31968,0.01968,0.07320513643181058,-0.18969999999999998,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full
RobustScaler,MLP,0.011740000000000002,0.08136029744291745,5.2174,0.49575725410729,6.39954,0.014879999999999999,0.10679116068289547,-0.22138,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full
MinMaxScaler,CatBoost,-0.00948,0.03277509725386029,5.391979999999999,0.44251925607819587,6.451100000000001,-0.008360000000000001,0.05355682029396443,-0.24522,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full
RobustScaler,GB,-0.0102,0.06119468931206368,5.38184,0.5931273202272843,6.513119999999999,-0.014640000000000004,0.07440986493738581,-0.26474000000000003,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full
RobustScaler,SVR,-0.0158,0.051231094073814196,5.207580000000001,0.5807185953626762,6.1568,-0.024840000000000004,0.10179065772456723,-0.12812,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full
MinMaxScaler,KNN,-0.016199999999999992,0.1383517798945861,5.39786,0.6930291249291044,6.47984,-0.022400000000000003,0.17669619407333026,-0.25492,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full
MinMaxScaler,RF,-0.01702,0.0378874253545949,5.294020000000001,0.5330892955218666,6.299300000000001,-0.019340000000000003,0.06304671284055974,-0.18258,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full
StandardScaler,SVR,-0.018480000000000003,0.042141986189547356,5.225700000000001,0.6321606915966858,6.22234,-0.02534,0.08101597373357923,-0.15264,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full
MinMaxScaler,LGBM,-0.02228,0.03780399449793633,5.5403,0.41009086188307087,6.71596,-0.02286,0.049135913546000144,-0.35097999999999996,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,full
