scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
StandardScaler,GB,0.05993999999999999,0.2789645461344506,5.7023399999999995,1.3197508715662971,6.983500000000001,0.06744,0.30081705071355247,-0.5057400000000001,5,negative_training,CRADK,phq_8,PHQ8,full
RobustScaler,XGB,0.04248,0.26942556857135885,5.25032,1.1711180521194264,6.60274,0.037520000000000005,0.33709541230933415,-0.3327,5,negative_training,CRADK,phq_8,PHQ8,full
MinMaxScaler,XGB,0.036460000000000006,0.25403980593599895,5.7420599999999995,0.9731201225953557,6.96926,0.04362,0.3012533850432224,-0.48762,5,negative_training,CRADK,phq_8,PHQ8,full
StandardScaler,CatBoost,0.023519999999999992,0.2808520108526909,5.445,1.1851185236085042,6.585420000000001,0.004759999999999981,0.3644301071536214,-0.33772,5,negative_training,CRADK,phq_8,PHQ8,full
RobustScaler,GB,0.01047999999999999,0.3134937431592535,5.6395,1.271436626419107,6.969680000000001,0.008059999999999989,0.36855538661102216,-0.50544,5,negative_training,CRADK,phq_8,PHQ8,full
StandardScaler,XGB,0.00968,0.20274496787836682,5.75418,0.7985831027513668,7.006,0.0017599999999999949,0.2403221026039844,-0.51714,5,negative_training,CRADK,phq_8,PHQ8,full
StandardScaler,ElasticNet,-0.006900000000000006,0.3506370630723455,6.676,1.4998701460459833,8.013079999999999,-0.028339999999999987,0.4163338720306096,-1.0443200000000001,5,negative_training,CRADK,phq_8,PHQ8,full
MinMaxScaler,CatBoost,-0.015399999999999997,0.22639806757125822,5.61508,0.911760432898906,6.7666200000000005,-0.016400000000000005,0.29544363252573236,-0.41064,5,negative_training,CRADK,phq_8,PHQ8,full
RobustScaler,CatBoost,-0.022120000000000004,0.25084034165181646,5.28296,1.2274403398943674,6.533939999999999,-0.024359999999999993,0.39526253047816207,-0.31274,5,negative_training,CRADK,phq_8,PHQ8,full
MinMaxScaler,GB,-0.025480000000000003,0.3250988495827077,6.00986,1.3358211643030662,7.370480000000001,-0.007219999999999993,0.37698937916073977,-0.6848,5,negative_training,CRADK,phq_8,PHQ8,full
StandardScaler,Ridge,-0.026240000000000006,0.36979843563757814,6.9769000000000005,1.6932079892913336,8.368939999999998,-0.02599999999999999,0.4103850143462843,-1.2176000000000002,5,negative_training,CRADK,phq_8,PHQ8,full
RobustScaler,MLP,-0.029099999999999994,0.17922944791523518,7.352380000000001,1.7826734830024258,9.297740000000001,-0.029020000000000008,0.1993204630739152,-1.7662,5,negative_training,CRADK,phq_8,PHQ8,full
MinMaxScaler,ET,-0.03012,0.23667030231949254,5.53668,0.9089817968474398,6.6370000000000005,-0.06626000000000001,0.33258725622007823,-0.346,5,negative_training,CRADK,phq_8,PHQ8,full
StandardScaler,Lasso,-0.030999999999999993,0.3702409890868379,6.98682,1.6437047444720723,8.39784,-0.025980000000000003,0.40535890516923395,-1.22176,5,negative_training,CRADK,phq_8,PHQ8,full
StandardScaler,ET,-0.037680000000000005,0.20500922418271816,5.400399999999999,0.891287585462739,6.46928,-0.05677999999999998,0.29505970921154245,-0.28852,5,negative_training,CRADK,phq_8,PHQ8,full
RobustScaler,ElasticNet,-0.04488000000000001,0.35326972273321133,6.8408,1.5104095520751977,8.146020000000002,-0.07061999999999999,0.4139022674496964,-1.07922,5,negative_training,CRADK,phq_8,PHQ8,full
