scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
MinMaxScaler,LGBM,0.21314000000000002,0.20296602671383207,4.824520000000001,1.5685826363312838,5.67898,0.25084,0.22445610484012235,-0.08944,5,negative_training,CR,phq_8,PHQ8,full
RobustScaler,Ridge,0.1889,0.3302076997890873,5.146380000000001,1.742745934437949,6.261899999999999,0.21600000000000003,0.34674763878071324,-0.38502000000000003,5,negative_training,CR,phq_8,PHQ8,full
RobustScaler,LGBM,0.18646000000000001,0.2624825289424041,4.72926,1.8164313813078656,5.8129599999999995,0.21739999999999995,0.31426033793655855,-0.14146,5,negative_training,CR,phq_8,PHQ8,full
RobustScaler,ElasticNet,0.18508,0.3168221220180181,5.232480000000001,1.9742144278167966,6.42994,0.21668000000000004,0.3361652822645432,-0.46714,5,negative_training,CR,phq_8,PHQ8,full
RobustScaler,Lasso,0.17684000000000002,0.3137336896158906,5.290920000000001,2.0005909944313958,6.5026399999999995,0.20851999999999998,0.33042084831317775,-0.5013799999999999,5,negative_training,CR,phq_8,PHQ8,full
MinMaxScaler,RF,0.1482,0.12746475983580716,4.963900000000001,1.241173775101617,5.90378,0.1808,0.14596107357785498,-0.18334,5,negative_training,CR,phq_8,PHQ8,full
RobustScaler,KNN,0.14348,0.27374640088958246,4.9216999999999995,1.6626969868259218,6.005240000000001,0.16738000000000003,0.30733043617578787,-0.25476000000000004,5,negative_training,CR,phq_8,PHQ8,full
RobustScaler,RF,0.13432,0.24884380040499302,4.9308,1.5483708405934282,5.922279999999999,0.15444,0.2911621764584129,-0.1999,5,negative_training,CR,phq_8,PHQ8,full
RobustScaler,CatBoost,0.1129,0.251444437202337,5.014799999999999,1.6497232934646948,6.06846,0.12174,0.28746691635734367,-0.24744000000000002,5,negative_training,CR,phq_8,PHQ8,full
RobustScaler,MLP,0.11140000000000001,0.30223572753729827,6.15354,2.516121980946075,7.8473000000000015,0.12138,0.307527644285843,-1.0976400000000002,5,negative_training,CR,phq_8,PHQ8,full
MinMaxScaler,CatBoost,0.11122000000000001,0.0768839840278845,5.0629599999999995,1.2051777495456841,5.963500000000001,0.14088,0.09440819350035251,-0.20082,5,negative_training,CR,phq_8,PHQ8,full
MinMaxScaler,ET,0.10407999999999999,0.18412868326254875,5.081060000000001,1.3191950454728067,6.06506,0.10968,0.21066594883843948,-0.23969999999999994,5,negative_training,CR,phq_8,PHQ8,full
RobustScaler,GB,0.10172,0.27284941268032814,5.24728,1.4669459011838166,6.48522,0.10695999999999999,0.29483895265042576,-0.5082799999999998,5,negative_training,CR,phq_8,PHQ8,full
StandardScaler,GB,0.09616,0.27111053649756955,5.8125800000000005,1.4186632958528251,6.830780000000002,0.09481999999999999,0.2857862872847471,-0.70508,5,negative_training,CR,phq_8,PHQ8,full
RobustScaler,XGB,0.09428,0.24656131488942054,5.22752,1.4820077081445966,6.35598,0.09856,0.2706480980904909,-0.4332599999999999,5,negative_training,CR,phq_8,PHQ8,full
MinMaxScaler,GB,0.08914,0.17175195195397344,5.644979999999999,1.0465327309740482,6.69088,0.11016,0.20974847556061046,-0.5693,5,negative_training,CR,phq_8,PHQ8,full
StandardScaler,XGB,0.08844,0.27153922000329894,5.80982,1.4989627687170888,6.84632,0.08307999999999999,0.28955673364644796,-0.78106,5,negative_training,CR,phq_8,PHQ8,full
MinMaxScaler,Ridge,0.087,0.23971786541682705,5.584239999999999,2.765724394801477,7.13126,0.17146,0.281364786353943,-0.78562,5,negative_training,CR,phq_8,PHQ8,full
StandardScaler,LGBM,0.08592000000000001,0.21785019394069863,5.0481,1.6416651683580301,6.083640000000001,0.10093999999999999,0.27547121991235307,-0.25468,5,negative_training,CR,phq_8,PHQ8,full
MinMaxScaler,Lasso,0.08195999999999999,0.2276600162523055,5.56782,2.7870227047873146,7.1254599999999995,0.17128,0.2771147271438312,-0.77914,5,negative_training,CR,phq_8,PHQ8,full
StandardScaler,RF,0.07387999999999999,0.24939442054705233,5.2101999999999995,1.61029356329832,6.180160000000001,0.10028,0.3089033052591053,-0.31298000000000004,5,negative_training,CR,phq_8,PHQ8,full
MinMaxScaler,ElasticNet,0.07170000000000001,0.22204120113168185,5.52076,2.7250202949702964,7.019119999999999,0.17208,0.2883071573860073,-0.71628,5,negative_training,CR,phq_8,PHQ8,full
MinMaxScaler,KNN,0.06874000000000001,0.18747802004501757,5.219040000000001,1.521416101203086,6.19174,0.08137999999999998,0.22133592568762983,-0.30156,5,negative_training,CR,phq_8,PHQ8,full
StandardScaler,Lasso,0.056720000000000007,0.22709937692560936,5.3763000000000005,1.9523944452901925,6.58216,0.025980000000000003,0.3255526716216594,-0.5291,5,negative_training,CR,phq_8,PHQ8,full
MinMaxScaler,XGB,0.05062,0.14973612456585084,5.56314,1.1609754080082832,6.70604,0.060719999999999996,0.18278998057880524,-0.56954,5,negative_training,CR,phq_8,PHQ8,full
MinMaxScaler,MLP,0.049240000000000006,0.23248383384657093,5.4995199999999995,2.517621631024011,6.93172,0.14818,0.2743558674422692,-0.6738,5,negative_training,CR,phq_8,PHQ8,full
RobustScaler,SVR,0.04744,0.2305426164508419,4.922280000000001,1.8523175637562803,5.99644,0.10796000000000001,0.36747496921559164,-0.27442,5,negative_training,CR,phq_8,PHQ8,full
StandardScaler,Ridge,0.0382,0.21508721486875967,5.36186,1.5972161744735742,6.495019999999999,0.029800000000000004,0.26339879460620164,-0.51334,5,negative_training,CR,phq_8,PHQ8,full
RobustScaler,ET,0.035480000000000005,0.22288405506002443,5.2167,1.6649270990046379,6.421600000000001,0.0315,0.24839419276625613,-0.40187999999999996,5,negative_training,CR,phq_8,PHQ8,full
StandardScaler,ElasticNet,0.03168,0.22687044100102594,5.3504,1.7805005504071036,6.485059999999999,0.022799999999999997,0.2938035227835092,-0.47472000000000003,5,negative_training,CR,phq_8,PHQ8,full
MinMaxScaler,SVR,0.024920000000000005,0.16322423839614017,4.890020000000001,1.5907475623115064,5.78104,0.08022,0.23888567767867544,-0.12686,5,negative_training,CR,phq_8,PHQ8,full
StandardScaler,CatBoost,0.024619999999999993,0.18785021160488483,5.57488,1.3483406531733735,6.49516,0.029300000000000003,0.22251458379171465,-0.4754199999999999,5,negative_training,CR,phq_8,PHQ8,full
StandardScaler,KNN,-0.0008199999999999985,0.17374258833112854,5.417199999999999,1.1401859826361667,6.496720000000001,0.004600000000000004,0.2183079018267548,-0.454,5,negative_training,CR,phq_8,PHQ8,full
StandardScaler,MLP,-0.0022400000000000085,0.25663110294740193,6.5474000000000006,3.084179777509735,8.42456,0.0253,0.324754861395484,-1.7203600000000001,5,negative_training,CR,phq_8,PHQ8,full
StandardScaler,ET,-0.00922,0.2444718429594705,5.435040000000001,1.5317503314835612,6.54116,-0.013299999999999996,0.27401391388029916,-0.46886,5,negative_training,CR,phq_8,PHQ8,full
StandardScaler,SVR,-0.040100000000000004,0.15157877489939017,5.445600000000001,1.524035198084349,6.404120000000001,-0.045419999999999995,0.22708101417775992,-0.4748200000000001,5,negative_training,CR,phq_8,PHQ8,full
StandardScaler,Lasso,0.28925999999999996,0.13203885034337431,12.194659999999999,5.533389809420624,16.2088,0.37112,0.1530060358286561,-0.82426,5,negative_training,CR,ads.1,CES-D,full
