scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
StandardScaler,XGB,0.15462,0.16669406708098522,5.21288,0.5011652541826898,6.37578,0.1739,0.19412743237368593,-0.33364,5,negative_training,SHAM,phq_8,PHQ8,full
StandardScaler,CatBoost,0.11120000000000001,0.16130055796555695,5.31114,0.3627845131755211,6.25634,0.13620000000000002,0.20726670017154225,-0.28346,5,negative_training,SHAM,phq_8,PHQ8,full
StandardScaler,RF,0.08954,0.20628876120622763,5.123399999999999,0.6664618256134401,6.1330599999999995,0.12222,0.2665822799812471,-0.22372,5,negative_training,SHAM,phq_8,PHQ8,full
StandardScaler,ET,0.0842,0.21751856242629042,5.23166,0.5257763954382132,6.1759,0.12065999999999999,0.27948159688967,-0.26324000000000003,5,negative_training,SHAM,phq_8,PHQ8,full
RobustScaler,XGB,0.06032,0.2851716535702663,5.601100000000001,1.188412110759563,6.584740000000001,0.08256,0.3291856208888839,-0.42422000000000004,5,negative_training,SHAM,phq_8,PHQ8,full
StandardScaler,GB,0.04880000000000001,0.23274428027343658,5.72274,0.5068970339230641,6.86322,0.056299999999999996,0.2603129846934263,-0.56932,5,negative_training,SHAM,phq_8,PHQ8,full
RobustScaler,CatBoost,0.03924000000000001,0.31119870340346856,5.35252,0.5722412096310439,6.32498,0.04237999999999997,0.37944341080060934,-0.3439,5,negative_training,SHAM,phq_8,PHQ8,full
RobustScaler,LGBM,0.023299999999999998,0.20071033854786852,5.59696,0.3791919540285633,6.517480000000001,0.05704,0.27942715150822406,-0.4131,5,negative_training,SHAM,phq_8,PHQ8,full
RobustScaler,ET,0.013419999999999993,0.3002731456524209,5.41922,0.558687696302684,6.3412999999999995,0.034440000000000005,0.3823373876565042,-0.3348,5,negative_training,SHAM,phq_8,PHQ8,full
RobustScaler,RF,0.007519999999999999,0.2660022687873169,5.208080000000001,0.4125558592481746,6.22862,0.013320000000000009,0.389832537123314,-0.28734000000000004,5,negative_training,SHAM,phq_8,PHQ8,full
MinMaxScaler,SVR,0.0020400000000000062,0.17810843045740427,5.957420000000001,0.9749594745424037,6.9425,0.015920000000000004,0.2684098209827651,-0.56452,5,negative_training,SHAM,phq_8,PHQ8,full
MinMaxScaler,KNN,0.0011799999999999923,0.23267554018418007,5.55712,0.32859759128758115,6.5296400000000006,0.04730000000000003,0.35219449172296835,-0.41583999999999993,5,negative_training,SHAM,phq_8,PHQ8,full
StandardScaler,SVR,0.0007000000000000048,0.11872965088805744,5.61602,0.7506231391317484,6.374,0.045180000000000005,0.22522693444612701,-0.30239999999999995,5,negative_training,SHAM,phq_8,PHQ8,full
StandardScaler,LGBM,-0.0046999999999999984,0.16365240603180878,5.81884,0.4009361208471992,6.616639999999999,0.006999999999999999,0.2263739936476803,-0.44378,5,negative_training,SHAM,phq_8,PHQ8,full
RobustScaler,GB,-0.008420000000000006,0.31319729724248896,5.5662,0.787653588197248,6.60506,-0.03000000000000001,0.36177195855953237,-0.46558,5,negative_training,SHAM,phq_8,PHQ8,full
MinMaxScaler,MLP,-0.012880000000000003,0.25551654936618096,5.829679999999999,0.6307132922334838,6.79748,-0.0077399999999999995,0.3409600387142165,-0.51692,5,negative_training,SHAM,phq_8,PHQ8,full
StandardScaler,KNN,-0.018280000000000008,0.22368957731642303,5.83058,0.7207252715147431,6.829419999999999,-0.0058599999999999946,0.2631997777354685,-0.54974,5,negative_training,SHAM,phq_8,PHQ8,full
MinMaxScaler,LGBM,-0.019339999999999996,0.11329593108315938,5.61206,0.792393979028109,6.60124,-0.021020000000000004,0.15072853744397574,-0.40264,5,negative_training,SHAM,phq_8,PHQ8,full
MinMaxScaler,GB,-0.02196,0.1278545775480878,5.857760000000001,0.9995740657900243,6.99076,-0.027439999999999992,0.1387110233543102,-0.5364800000000001,5,negative_training,SHAM,phq_8,PHQ8,full
StandardScaler,Lasso,-0.03289999999999999,0.21895919711215603,5.39948,0.5703133191500966,6.40668,0.03333999999999998,0.3626530063297421,-0.33412,5,negative_training,SHAM,phq_8,PHQ8,full
StandardScaler,ElasticNet,-0.03688,0.22417858283074235,5.48846,0.5474836371984096,6.52402,0.015959999999999985,0.36821152616397,-0.38323999999999997,5,negative_training,SHAM,phq_8,PHQ8,full
MinMaxScaler,ET,-0.042120000000000005,0.27054523096887145,5.58626,0.9967431780554108,6.563220000000001,-0.03894,0.3950162059966654,-0.40976,5,negative_training,SHAM,phq_8,PHQ8,full
StandardScaler,Ridge,-0.04576,0.2740216652018595,5.62388,0.44850321849458336,6.8151199999999985,0.004000000000000015,0.3751077178624828,-0.5657599999999999,5,negative_training,SHAM,phq_8,PHQ8,full
MinMaxScaler,XGB,-0.04784000000000001,0.18056530120707023,5.86434,0.8689115593660837,7.057080000000001,-0.04988,0.20564592629079723,-0.61688,5,negative_training,SHAM,phq_8,PHQ8,full
RobustScaler,KNN,-0.04842,0.3542235127712445,5.6558399999999995,0.19809107248939822,6.70482,-0.0316,0.43014753283030693,-0.5520799999999999,5,negative_training,SHAM,phq_8,PHQ8,full
MinMaxScaler,ElasticNet,-0.05302,0.2650259081674846,5.65082,0.6214272338737656,6.80804,-0.030200000000000005,0.3721349150509799,-0.56698,5,negative_training,SHAM,phq_8,PHQ8,full
MinMaxScaler,Ridge,-0.05322,0.2746514736898384,5.7741999999999996,0.5409073811661292,6.971640000000001,-0.029220000000000003,0.36799841983356396,-0.64858,5,negative_training,SHAM,phq_8,PHQ8,full
