scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
MinMaxScaler,GB,0.08238000000000001,0.09184520673393903,5.204680000000001,0.34851158804263627,6.29482,0.10813999999999999,0.11797477696524795,-0.16055999999999998,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
MinMaxScaler,ET,0.06534,0.09327873819901297,5.059159999999999,0.3655872371951733,6.124980000000001,0.09464,0.130779405871108,-0.09806,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
MinMaxScaler,XGB,0.05134000000000001,0.07903191127639518,5.31558,0.36261873503722897,6.40984,0.06943999999999999,0.10791972942886766,-0.20385999999999999,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
StandardScaler,GB,0.05108,0.09641269107332291,5.25108,0.3921529829033565,6.33066,0.07582,0.13852857827899628,-0.17834,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
RobustScaler,GB,0.0508,0.045204369257849396,5.3569,0.2584389386296111,6.369400000000001,0.06892000000000001,0.06454654909443261,-0.18732,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
RobustScaler,ET,0.05028000000000001,0.10973578267821303,5.11622,0.2648467707939818,6.22086,0.06418000000000001,0.15754441278572845,-0.13213999999999998,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
RobustScaler,XGB,0.0453,0.08231072226630015,5.31132,0.31613356670875686,6.35478,0.06177999999999999,0.1149842902313181,-0.18216,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
MinMaxScaler,KNN,0.03971999999999999,0.09694326691421123,5.3439,0.36291594068048305,6.546519999999999,0.05189999999999999,0.12857007816751145,-0.25398000000000004,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
RobustScaler,RF,0.0324,0.07065175157064402,5.20284,0.30617219501450504,6.253359999999999,0.04853999999999999,0.11062175644962433,-0.14362,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
StandardScaler,KNN,0.031720000000000005,0.054521848831454715,5.256939999999999,0.11727605467443043,6.38272,0.04324,0.07270394074601458,-0.19094,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
RobustScaler,CatBoost,0.02818,0.0707409146109944,5.2761,0.2820414597182476,6.327980000000001,0.03713999999999999,0.10729122983729845,-0.17226000000000002,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
StandardScaler,XGB,0.027800000000000002,0.08753799175215296,5.42418,0.3771657354532621,6.456799999999999,0.03798,0.12156749976864704,-0.22448,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
MinMaxScaler,MLP,0.0251,0.07681318246238727,5.1518999999999995,0.3496856373945032,6.25864,0.03702,0.11376656802417835,-0.14342000000000002,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
RobustScaler,ElasticNet,0.0243,0.06279689482769032,5.147060000000001,0.27675785987032087,6.20216,0.021060000000000006,0.12278954760076283,-0.12444000000000002,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
RobustScaler,Lasso,0.02422,0.08262080246523873,5.258039999999999,0.34759408510502576,6.3380600000000005,0.02994,0.1145097943409209,-0.17268,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
RobustScaler,Ridge,0.02028,0.0749400560448149,5.18596,0.27182191412761414,6.25944,0.012380000000000002,0.1257582084796058,-0.14479999999999998,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
MinMaxScaler,Ridge,0.019260000000000003,0.05722475862771288,5.14998,0.2493479636973199,6.2114400000000005,0.01756,0.10197829671062367,-0.12838,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
MinMaxScaler,ElasticNet,0.018739999999999996,0.05530138334616956,5.09852,0.2581058251957906,6.14438,0.016820000000000005,0.10318256635691904,-0.10395999999999998,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
StandardScaler,RF,0.01684,0.04501158739702478,5.314220000000001,0.2175625013645505,6.296939999999999,0.02442,0.0713693001226718,-0.1598,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
MinMaxScaler,Lasso,0.014619999999999998,0.0576188944704773,5.20764,0.2545266449706199,6.2865400000000005,0.007179999999999997,0.10059752482044476,-0.15796000000000002,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
MinMaxScaler,RF,0.01286,0.07019311219770782,5.22762,0.36919096278213515,6.2830200000000005,0.019659999999999997,0.10889041739290009,-0.15394,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
StandardScaler,ET,0.01202,0.05434985740551671,5.262219999999999,0.17069385460525524,6.30936,0.01672,0.07725676022200258,-0.16548000000000002,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
StandardScaler,LGBM,0.010319999999999996,0.10204624931863003,5.51804,0.42277751595845287,6.6236999999999995,0.015439999999999999,0.13472692010136653,-0.286,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
MinMaxScaler,LGBM,0.009240000000000003,0.1145346803374419,5.38656,0.5019087247697533,6.52122,0.01664,0.15091752052031598,-0.24516,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
RobustScaler,LGBM,0.009039999999999998,0.12624259582248773,5.53584,0.5515405723969907,6.6435,0.017439999999999994,0.1748934046783926,-0.29714,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,full
