scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
MinMaxScaler,Lasso,-0.11039999999999998,0.21929502958343586,6.16474,1.1453856787126333,7.50776,-0.18919999999999998,0.2973685928271511,-0.7623200000000001,5,positive_training,CRADK,phq_8,PHQ8,full
RobustScaler,LGBM,-0.11223999999999998,0.2554575561614884,5.850020000000001,0.7651243996893581,7.0647199999999994,-0.17429999999999998,0.33342399433754016,-0.5347,5,positive_training,CRADK,phq_8,PHQ8,full
RobustScaler,ElasticNet,-0.11317999999999999,0.14948809986082504,6.45954,0.9518006897454947,7.57128,-0.20526,0.23389918341028898,-0.8140599999999999,5,positive_training,CRADK,phq_8,PHQ8,full
MinMaxScaler,Ridge,-0.12614,0.23581520943314915,6.14458,1.0186632377778242,7.51926,-0.20716,0.3089023114189986,-0.76902,5,positive_training,CRADK,phq_8,PHQ8,full
MinMaxScaler,ElasticNet,-0.1299,0.23675742860573565,5.929060000000001,1.1881414490707745,7.321860000000001,-0.21214,0.3272339423103905,-0.66356,5,positive_training,CRADK,phq_8,PHQ8,full
StandardScaler,ET,-0.13255999999999998,0.17593888995898546,6.0404,0.955268056620758,7.30372,-0.21656,0.28199051047863294,-0.66032,5,positive_training,CRADK,phq_8,PHQ8,full
MinMaxScaler,MLP,-0.13576,0.22719885122949016,6.2949600000000006,1.0675433424456355,7.7411200000000004,-0.21168,0.2882793211453087,-0.8734599999999999,5,positive_training,CRADK,phq_8,PHQ8,full
RobustScaler,KNN,-0.14028000000000002,0.26581184510852784,6.504859999999999,0.910233339864015,7.64238,-0.19754,0.34244470064522825,-0.80654,5,positive_training,CRADK,phq_8,PHQ8,full
MinMaxScaler,KNN,-0.14126,0.3083792843237042,6.19414,1.1100046702604451,7.30354,-0.2510800000000001,0.40981475937306117,-0.6739600000000001,5,positive_training,CRADK,phq_8,PHQ8,full
StandardScaler,SVR,-0.14322,0.2890717679054805,6.21494,0.8537345975184558,7.29662,-0.20950000000000002,0.39393116149906193,-0.6574199999999999,5,positive_training,CRADK,phq_8,PHQ8,full
MinMaxScaler,LGBM,-0.14784000000000003,0.24487040041622019,5.96678,0.8066801268160755,7.139259999999998,-0.20088,0.3484436712009561,-0.5728,5,positive_training,CRADK,phq_8,PHQ8,full
RobustScaler,SVR,-0.14945999999999998,0.3399884012727493,6.491079999999999,0.9956883207108541,7.667699999999999,-0.21319999999999997,0.4419778501237364,-0.8251000000000002,5,positive_training,CRADK,phq_8,PHQ8,full
RobustScaler,Lasso,-0.15036,0.18937347491135076,6.700059999999999,0.9075382901013047,7.8979,-0.2354,0.2588167595037076,-0.9631000000000001,5,positive_training,CRADK,phq_8,PHQ8,full
RobustScaler,ET,-0.15173999999999999,0.2250380590033606,6.26802,0.8455111040075107,7.48104,-0.25764,0.3510135795093973,-0.74902,5,positive_training,CRADK,phq_8,PHQ8,full
MinMaxScaler,SVR,-0.15294000000000002,0.19584765252614084,6.37218,0.9126989711838177,7.782060000000001,-0.24425999999999998,0.25044947194993245,-0.8824,5,positive_training,CRADK,phq_8,PHQ8,full
RobustScaler,Ridge,-0.15816,0.19297852989387188,6.61022,1.0509106370191523,7.805319999999999,-0.21425999999999998,0.24400878672703571,-0.8981199999999999,5,positive_training,CRADK,phq_8,PHQ8,full
StandardScaler,Ridge,-0.15988,0.19048562150461645,6.558319999999999,0.9419122289258167,7.8661,-0.21963999999999997,0.23556218499580953,-0.9273199999999999,5,positive_training,CRADK,phq_8,PHQ8,full
RobustScaler,GB,-0.16026,0.3212697822702907,6.46914,0.9651027732837579,7.539959999999999,-0.21988000000000002,0.40638563827970103,-0.76054,5,positive_training,CRADK,phq_8,PHQ8,full
StandardScaler,KNN,-0.16374,0.19910037167217945,6.432220000000001,0.46684168836983725,7.652620000000001,-0.2345,0.26476810608530627,-0.8336600000000001,5,positive_training,CRADK,phq_8,PHQ8,full
StandardScaler,ElasticNet,-0.16474000000000005,0.19350388368195615,6.4473,0.9889465025975874,7.6910599999999985,-0.2353,0.23664540984350407,-0.8598000000000001,5,positive_training,CRADK,phq_8,PHQ8,full
StandardScaler,Lasso,-0.1651,0.20731006970236637,6.506219999999999,1.0205484270724243,7.81424,-0.23808,0.2486174611727825,-0.9328,5,positive_training,CRADK,phq_8,PHQ8,full
RobustScaler,RF,-0.17398,0.25281159387971114,6.14994,0.7982167518913644,7.29978,-0.26168,0.3525665993823011,-0.6659400000000001,5,positive_training,CRADK,phq_8,PHQ8,full
MinMaxScaler,ET,-0.17502,0.1504321342001103,6.161779999999999,1.0949452461196403,7.4508600000000005,-0.29403999999999997,0.22804221758262216,-0.72774,5,positive_training,CRADK,phq_8,PHQ8,full
RobustScaler,MLP,-0.19929999999999998,0.25255303403443796,7.212999999999999,0.7138863109767549,8.93666,-0.24513999999999997,0.2956427455561864,-1.45508,5,positive_training,CRADK,phq_8,PHQ8,full
StandardScaler,GB,-0.20088,0.19019410348378313,6.16068,0.9193285631372495,7.418699999999999,-0.28228,0.2583387156428552,-0.72414,5,positive_training,CRADK,phq_8,PHQ8,full
RobustScaler,CatBoost,-0.21324,0.2548521394848393,6.410119999999999,0.8177113439350097,7.725980000000002,-0.29209999999999997,0.360978274969561,-0.87316,5,positive_training,CRADK,phq_8,PHQ8,full
MinMaxScaler,CatBoost,-0.21610000000000001,0.24419894553416893,6.25532,0.9180788048963991,7.50856,-0.32956,0.34048991615024377,-0.7449600000000001,5,positive_training,CRADK,phq_8,PHQ8,full
RobustScaler,XGB,-0.21762,0.18499568103066624,6.588800000000001,0.55943647092409,7.79256,-0.2695,0.2330557444046381,-0.8842000000000001,5,positive_training,CRADK,phq_8,PHQ8,full
StandardScaler,RF,-0.223,0.1714507217832576,6.17358,0.8637717968306212,7.3222000000000005,-0.34714,0.23743891424953914,-0.6747,5,positive_training,CRADK,phq_8,PHQ8,full
MinMaxScaler,RF,-0.22800000000000004,0.18890559811715482,6.236859999999999,1.1019033909558498,7.461360000000001,-0.34964000000000006,0.2672872948720159,-0.73084,5,positive_training,CRADK,phq_8,PHQ8,full
MinMaxScaler,GB,-0.22868,0.19552461993314293,6.8867199999999995,0.7400488679810273,7.912139999999999,-0.31704000000000004,0.24232260109201534,-0.94876,5,positive_training,CRADK,phq_8,PHQ8,full
