scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
RobustScaler,LGBM,0.08159999999999999,0.14727007503223455,5.04534,1.2880750009219184,5.90016,0.12577999999999998,0.21552386642782742,-0.18962,5,positive_training,CR,phq_8,PHQ8,full
StandardScaler,LGBM,0.04152,0.07994433688511025,4.9986,1.3459703432839818,5.94478,0.06388,0.12191608589517627,-0.19995999999999997,5,positive_training,CR,phq_8,PHQ8,full
MinMaxScaler,MLP,0.02312,0.0641432147619684,4.95984,1.636050916994945,5.9976,0.003739999999999999,0.13362957382256369,-0.17902,5,positive_training,CR,phq_8,PHQ8,full
StandardScaler,RF,0.019739999999999997,0.10711728618668417,5.15634,1.335514628523402,5.997719999999999,0.01712,0.1458212501660852,-0.21504000000000004,5,positive_training,CR,phq_8,PHQ8,full
MinMaxScaler,LGBM,0.0142,0.10855084062318449,5.080579999999999,1.2542152753813833,6.131600000000001,0.011619999999999997,0.1523710011780457,-0.27280000000000004,5,positive_training,CR,phq_8,PHQ8,full
MinMaxScaler,SVR,0.010639999999999998,0.06111597990705867,5.2966,1.1554278190350102,6.337,-0.013500000000000007,0.11541050645413528,-0.38488,5,positive_training,CR,phq_8,PHQ8,full
RobustScaler,Lasso,0.008919999999999999,0.044624959383735015,5.43014,1.285270431854713,6.5368200000000005,0.012225,0.05605981180846043,-0.48834,5,positive_training,CR,phq_8,PHQ8,full
MinMaxScaler,KNN,0.007639999999999999,0.06852629422345849,5.41156,1.010150725387058,6.3994800000000005,0.005659999999999997,0.0778649022345755,-0.41473999999999994,5,positive_training,CR,phq_8,PHQ8,full
RobustScaler,ElasticNet,0.004279999999999999,0.0476087912049865,5.391360000000001,1.2892362789651863,6.5011199999999985,-0.06592,0.18137347380474353,-0.4626,5,positive_training,CR,phq_8,PHQ8,full
MinMaxScaler,RF,0.003460000000000002,0.12700280705559228,5.056100000000001,1.138470480513219,6.04762,-0.003920000000000002,0.17443434868167448,-0.23392,5,positive_training,CR,phq_8,PHQ8,full
MinMaxScaler,Ridge,-0.0032200000000000006,0.05646412135152729,5.1611199999999995,1.495572145367785,6.143800000000001,-0.04326,0.10696949565179785,-0.26558000000000004,5,positive_training,CR,phq_8,PHQ8,full
MinMaxScaler,ElasticNet,-0.008740000000000001,0.06755870040194675,5.1841800000000005,1.3898923850428135,6.23288,-0.011525000000000002,0.08961109957291377,-0.32352,5,positive_training,CR,phq_8,PHQ8,full
MinMaxScaler,XGB,-0.012440000000000012,0.20551393626710573,5.408900000000001,0.755759978432306,6.584039999999999,-0.010399999999999998,0.23216187240802483,-0.55492,5,positive_training,CR,phq_8,PHQ8,full
MinMaxScaler,Lasso,-0.014280000000000004,0.0648657613845702,5.23292,1.3334207276775023,6.2944,-0.021325,0.0902393991927399,-0.35922,5,positive_training,CR,phq_8,PHQ8,full
MinMaxScaler,GB,-0.01926,0.21151124792785841,5.688899999999999,0.700190909681067,6.822680000000001,-0.01660000000000001,0.22695585473831692,-0.6775,5,positive_training,CR,phq_8,PHQ8,full
RobustScaler,Ridge,-0.01942,0.08441775287224838,5.43924,1.2144722158205186,6.5645,-0.033639999999999996,0.11572814264473444,-0.47241999999999995,5,positive_training,CR,phq_8,PHQ8,full
StandardScaler,Lasso,-0.025139999999999996,0.07042036637223636,5.349600000000001,1.3090019499603507,6.501939999999999,-0.032125,0.08510559617322472,-0.45985999999999994,5,positive_training,CR,phq_8,PHQ8,full
StandardScaler,ElasticNet,-0.025979999999999996,0.07120917777927224,5.337,1.3149096718025919,6.4794,-0.033625,0.08696326331656758,-0.4452999999999999,5,positive_training,CR,phq_8,PHQ8,full
