scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
MinMaxScaler,GB,-0.02018,0.10965239167478291,6.38382,1.1716867145273946,7.493979999999999,-0.02402,0.12297514789582485,-0.83004,5,positive_training,SHAM,phq_8,PHQ8,full
MinMaxScaler,XGB,-0.025019999999999997,0.1447266285104438,6.24114,1.2054504253597487,7.3779200000000005,-0.03150000000000001,0.16281887175631699,-0.7518800000000001,5,positive_training,SHAM,phq_8,PHQ8,full
StandardScaler,Lasso,-0.04615999999999999,0.2180626928202071,6.19798,1.522040000131403,7.390480000000001,-0.06509999999999999,0.269965988598564,-0.9400000000000001,5,positive_training,SHAM,phq_8,PHQ8,full
StandardScaler,ET,-0.05414000000000001,0.09062539930946512,5.73326,1.0023587995323828,6.886240000000001,-0.06808,0.12000544570976768,-0.50996,5,positive_training,SHAM,phq_8,PHQ8,full
StandardScaler,XGB,-0.059039999999999995,0.0898418221097502,5.97222,1.283897814080233,7.327520000000002,-0.07501999999999999,0.10625223291771331,-0.71546,5,positive_training,SHAM,phq_8,PHQ8,full
StandardScaler,GB,-0.06088000000000001,0.07393075814571362,6.0041199999999995,1.3191467079138692,7.327920000000001,-0.08342,0.1034938017467713,-0.70192,5,positive_training,SHAM,phq_8,PHQ8,full
StandardScaler,SVR,-0.0637,0.03714801475180067,5.74586,1.4102250540250658,6.83776,-0.09272,0.050056887637966466,-0.47515999999999997,5,positive_training,SHAM,phq_8,PHQ8,full
RobustScaler,XGB,-0.0645,0.09179504343917486,6.1551,0.99027455536331,7.25518,-0.07062,0.10988349284583195,-0.6947800000000001,5,positive_training,SHAM,phq_8,PHQ8,full
StandardScaler,Ridge,-0.07103999999999999,0.21144132282976288,6.3914,1.601805598379529,7.475319999999999,-0.084,0.2525852232415824,-0.90486,5,positive_training,SHAM,phq_8,PHQ8,full
StandardScaler,ElasticNet,-0.0748,0.20385519370376612,6.23898,1.4635041892662963,7.416340000000001,-0.119,0.26634212021383324,-0.9167799999999998,5,positive_training,SHAM,phq_8,PHQ8,full
StandardScaler,KNN,-0.08802000000000001,0.09208081776352771,5.949719999999999,0.9503861383669271,7.149799999999999,-0.10422000000000001,0.10624251503047166,-0.6210000000000001,5,positive_training,SHAM,phq_8,PHQ8,full
MinMaxScaler,CatBoost,-0.09741999999999999,0.10393756298855578,5.738480000000001,0.7187862143920127,6.90604,-0.11438,0.1376462022723475,-0.5168200000000001,5,positive_training,SHAM,phq_8,PHQ8,full
RobustScaler,Lasso,-0.10042,0.17919337878392716,6.257720000000001,1.4291003120844954,7.36772,-0.14117999999999997,0.20161464976533824,-0.85212,5,positive_training,SHAM,phq_8,PHQ8,full
StandardScaler,CatBoost,-0.10306,0.07303699747388305,5.85058,1.104390984660777,7.1396999999999995,-0.13938,0.10028689844640724,-0.61124,5,positive_training,SHAM,phq_8,PHQ8,full
RobustScaler,ET,-0.10647999999999999,0.12427436179679219,5.93198,0.600429073246791,6.96422,-0.13018,0.14779390041540957,-0.56286,5,positive_training,SHAM,phq_8,PHQ8,full
RobustScaler,ElasticNet,-0.11220000000000001,0.19382032917111663,6.1812,1.3688154787990963,7.276560000000001,-0.20276000000000005,0.28486169977727793,-0.79484,5,positive_training,SHAM,phq_8,PHQ8,full
RobustScaler,Ridge,-0.12266000000000002,0.16975714417956025,5.9908600000000005,1.1203158786699405,7.1101399999999995,-0.17836000000000002,0.20664349251791114,-0.69992,5,positive_training,SHAM,phq_8,PHQ8,full
RobustScaler,GB,-0.12772,0.1278659141444662,6.23058,0.6216423787033826,7.59684,-0.13912000000000002,0.13637694819873336,-0.8914200000000001,5,positive_training,SHAM,phq_8,PHQ8,full
MinMaxScaler,Lasso,-0.12822,0.16953749437808735,6.25264,0.8139654710121312,7.550020000000001,-0.14184,0.1704685102885574,-0.89002,5,positive_training,SHAM,phq_8,PHQ8,full
MinMaxScaler,ET,-0.13082,0.12789271675900862,5.9661800000000005,0.690136991473432,7.01216,-0.16296000000000002,0.13834458066725996,-0.5725399999999999,5,positive_training,SHAM,phq_8,PHQ8,full
