scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
RobustScaler,Lasso,-0.009680000000000003,0.0772052265070183,7.336679999999999,2.446758416149825,9.8479,0.024550000000000002,0.11940163315465997,-2.2989400000000004,5,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,RF,-0.013640000000000003,0.14570747407048135,5.8768199999999995,1.1292030760673655,6.77064,-0.04198,0.22416523370050048,-0.30482,5,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,XGB,-0.01732,0.14293198382447506,6.2353000000000005,1.0368555323669735,7.322959999999999,-0.025140000000000003,0.15423457135156177,-0.52668,5,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,MLP,-0.019960000000000002,0.2401162905760457,6.336539999999999,1.523945588923699,7.139500000000001,-0.022100000000000005,0.26165023409123866,-0.48385999999999996,5,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,LGBM,-0.02204,0.14979692253180638,5.87602,1.008497799700128,6.7349000000000006,-0.03422,0.20090723481248754,-0.32605999999999996,5,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,KNN,-0.040760000000000005,0.2729587752756816,6.0403400000000005,1.759004961050423,6.92198,-0.07702,0.35809679138467576,-0.34445999999999993,5,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,GB,-0.04689999999999999,0.15260047509755661,6.35314,1.1851574760343033,7.369579999999999,-0.047200000000000006,0.17727329184059282,-0.5800799999999999,5,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,SVR,-0.048580000000000005,0.2906586090244017,6.6196399999999995,1.7365189958650031,7.41416,-0.024360000000000003,0.38673616070908085,-0.69946,5,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,KNN,-0.04868,0.22412302871414175,6.226519999999999,1.65359962415332,7.06892,-0.06372000000000001,0.25480895196205333,-0.43208,5,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,GB,-0.04894,0.14762996985707202,6.3727800000000006,1.2488659163417024,7.53742,-0.05656000000000001,0.16229019686968157,-0.6371800000000001,5,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882
