scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
RobustScaler,GB,0.12616,0.10053229829263828,5.257720000000001,0.6014116119597291,6.187939999999999,0.16164000000000003,0.1328055834669612,-0.13643999999999998,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,XGB,0.1123,0.13152343897572022,5.171239999999999,0.6899221282144818,6.13218,0.14964,0.17407194776873153,-0.11526,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,CatBoost,0.08574,0.11466500337940952,5.1924,0.45985396051355243,6.04544,0.12409999999999999,0.16529931941783668,-0.08246,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,LGBM,0.0719,0.13816372534062624,5.263980000000001,0.7022744456407337,6.29106,0.09632,0.17703916798268118,-0.17044,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,LGBM,0.0718,0.1076383528302064,5.39098,0.43925231587323477,6.34776,0.08808,0.13716970146501012,-0.19586,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,MLP,0.07084,0.15106191776884073,5.3252,0.7333616229391885,6.41344,0.1049,0.17744975345150527,-0.22490000000000002,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,KNN,0.06476,0.08346929375524871,5.186400000000001,0.42201818088798004,6.1841,0.09654,0.12479854967105988,-0.13382,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,GB,0.0493,0.08659125244503627,5.34912,0.49792689925329364,6.3007,0.06662,0.11210027653846355,-0.17294,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,CatBoost,0.049240000000000006,0.11774333526786135,5.2263,0.477377130788646,6.165139999999999,0.07964,0.18154564990657307,-0.12782,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,RF,0.045459999999999993,0.10780940589763029,5.26422,0.4912290830152465,6.0693399999999995,0.07576000000000001,0.17265336081293062,-0.09090000000000001,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,LGBM,0.04272,0.1350875901036065,5.37242,0.4447669412175321,6.43632,0.05367999999999999,0.16597429620275544,-0.2299,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,XGB,0.041440000000000005,0.12484305347114832,5.4049,0.5431266104694189,6.287319999999999,0.06284000000000001,0.1747167078444417,-0.17262,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,XGB,0.03663999999999999,0.06780385682245516,5.3568999999999996,0.3707153085590075,6.3116,0.05051999999999999,0.09137569151585119,-0.17906,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,Lasso,0.03464,0.11913862933574483,5.184880000000001,0.5278714540491837,6.1096,0.06973999999999998,0.18237895437796545,-0.10628000000000001,5,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
