scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
StandardScaler,XGB,0.25873999999999997,0.3348817447995635,5.18782,1.4803459298420762,6.55548,0.29644,0.39547682991548316,-0.3502,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,GB,0.24053999999999998,0.261175081123755,5.25504,1.3541640365923178,6.524659999999999,0.28644,0.3073068710588815,-0.28546,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,CatBoost,0.21684,0.32334571746042967,5.120900000000001,1.0296229212677812,6.097379999999999,0.27778,0.38663100884435025,-0.0935,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,XGB,0.21492,0.282267438788111,5.2807,1.2479206004389864,6.5359799999999995,0.24813999999999997,0.3252772094690927,-0.25316,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,GB,0.20955999999999997,0.30876203296389926,5.220140000000001,1.3271475400271062,6.46636,0.23541999999999996,0.3472481634220691,-0.21986000000000003,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,CatBoost,0.20142000000000002,0.27831319947138694,5.34616,1.1454114644964926,6.29354,0.22952000000000003,0.349076849705047,-0.11776000000000002,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,SVR,0.16002000000000002,0.14694606833801305,5.35842,1.0561505749655207,6.26074,0.1894,0.1771476220557307,-0.06846,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ET,0.14825999999999998,0.19286449388106663,5.27192,1.0789273200730438,6.31984,0.20314000000000002,0.2455147714497032,-0.10164000000000002,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,XGB,0.14188,0.31551147681185865,5.62338,1.0815879099731096,6.809699999999999,0.16808,0.3659465220493289,-0.3848,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,SVR,0.13916,0.1856181779891183,5.907220000000001,1.3796321781547427,7.11416,0.15236,0.20522205778132133,-0.40258000000000005,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,GB,0.13892,0.3131027499080773,5.41922,0.8715315094705414,6.734999999999999,0.17170000000000002,0.3611825923269282,-0.34008000000000005,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,MLP,0.13516,0.12070175226565684,6.3038,1.3154088641939434,7.951840000000002,0.14574,0.1264420341500405,-0.72402,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,CatBoost,0.13326,0.33260364249358426,5.399500000000001,1.0299182054901252,6.478700000000001,0.16333999999999999,0.3943703880871382,-0.22314000000000003,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,Ridge,0.12126,0.24183444336983928,5.60228,1.1234324265393092,6.72448,0.1281,0.28259514327036833,-0.24489999999999998,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,RF,0.11532,0.21487565474013104,5.3758,0.8369332918458916,6.39992,0.16541999999999998,0.26988645204974626,-0.1544,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,Lasso,0.11089999999999997,0.18861020651067642,5.49234,1.1260631878362775,6.58022,0.16864,0.2733351294656433,-0.19336,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,ElasticNet,0.11054,0.22057353195703241,5.5341000000000005,1.136637019896853,6.63658,0.13635999999999998,0.2878476037767207,-0.21793999999999997,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ElasticNet,0.10886000000000003,0.21176642321199082,5.51236,1.1747557333335303,6.561400000000001,0.10650000000000001,0.26661609103728157,-0.188,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,MLP,0.10880000000000001,0.1571031349146159,6.00624,1.1390901952874501,7.449599999999999,0.11939999999999999,0.17538845458011196,-0.5056399999999999,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,ElasticNet,0.10880000000000001,0.20316602816415938,5.854260000000001,1.4686949965871068,6.8379199999999996,0.11141999999999999,0.22163896769295782,-0.26714000000000004,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,SVR,0.10823999999999998,0.24926493535994987,5.89386,1.5119304408602932,7.023480000000001,0.1343,0.2823941128989767,-0.44912,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Lasso,0.10574000000000001,0.1714596104043165,5.5004599999999995,1.2761081235538,6.50702,0.13319999999999999,0.24286959463876906,-0.168,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,RF,0.10522000000000001,0.22253128319407137,5.373020000000001,0.9606322511762757,6.4792000000000005,0.1411,0.28636519516170256,-0.17896,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,ET,0.10192000000000001,0.19208641805187582,5.4836,1.0827524740216485,6.511999999999999,0.14082,0.2361279462494857,-0.18317999999999998,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Ridge,0.10003999999999999,0.19655389337278464,5.53708,1.2547307368515366,6.640000000000001,0.11090000000000003,0.2517957406311711,-0.21905999999999998,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,Lasso,0.09419999999999999,0.2143042230101871,5.9747,1.4815026459645624,7.05316,0.09458,0.23170668311466544,-0.35626,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,Ridge,0.09242000000000002,0.2162508080909757,5.96582,1.5154346429325158,6.97798,0.09267999999999998,0.23726821742492188,-0.32787999999999995,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,LGBM,0.08176,0.2029082255602271,5.48762,1.205547855541206,6.62362,0.10758000000000001,0.26949400178853705,-0.21861999999999998,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,ET,0.06037999999999999,0.23695060033686347,5.65574,1.0966578832981602,6.661840000000001,0.08292000000000001,0.2934065984261431,-0.23932000000000003,5,positive_training,ADK,phq_8,PHQ8,cross-corpus-882
