fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,51,13,5,0.067,11.171,19.9535,0.1173,-8.8718,0.0028
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,51,13,5,0.0545,12.867,24.6772,0.1156,-14.0991,0.0028
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,51,13,5,0.0587,12.2543,22.9542,0.1164,-12.0642,0.0028
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,51,13,5,-0.0086,6.2357,7.3951,-0.0098,-0.356,-0.0305
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,51,13,5,0.1003,5.7077,6.9811,0.1194,-0.2084,0.097
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,51,13,5,-0.2253,6.3955,7.6548,-0.3106,-0.4529,-0.3297
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,51,13,5,-0.1443,6.5054,7.8198,-0.1677,-0.5162,-0.108
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,51,13,5,-0.1813,6.958,7.9989,-0.2105,-0.5864,-0.2687
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,51,13,5,-0.1596,7.6999,8.311,-0.1851,-0.7126,-0.2604
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,51,13,5,0.0836,8.0189,8.8187,0.0837,-0.9283,0.072
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,51,13,5,-0.3646,6.5431,8.1202,-0.4907,-0.6349,-0.37
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,51,13,5,-0.2351,6.6952,7.9877,-0.2855,-0.582,-0.3574
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,51,13,10,0.1085,10.0196,19.1539,0.1871,-8.0965,0.5069
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Lasso,51,13,10,0.0916,10.8388,21.6836,0.1755,-10.6579,0.5014
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ElasticNet,51,13,10,0.1411,8.7583,15.1582,0.2019,-4.6971,0.5153
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,SVR,51,13,10,0.3745,4.8529,5.4771,0.6049,0.2562,0.6011
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,KNN,51,13,10,0.2155,5.2088,6.1363,0.3193,0.0664,0.4321
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,RF,51,13,10,-0.0229,5.9486,6.7546,-0.0395,-0.1313,-0.0388
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ET,51,13,10,0.1877,5.1423,5.9918,0.3538,0.1098,0.518
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,GB,51,13,10,0.0532,5.5099,7.2564,0.0595,-0.3056,0.0942
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,XGB,51,13,10,0.1318,5.706,6.8827,0.1503,-0.1746,0.133
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,MLP,51,13,10,0.3367,5.2936,6.1866,0.3671,0.051,0.579
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,LGBM,51,13,10,-0.0821,6.0425,6.93,-0.1426,-0.1907,-0.1136
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,CatBoost,51,13,10,-0.0926,6.1693,7.3105,-0.1217,-0.3251,-0.0499
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,Ridge,51,13,10,0.0666,9.792,17.1235,0.1028,-6.2701,-0.3047
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,Lasso,51,13,10,0.0586,10.8233,19.5961,0.1014,-8.5213,-0.3158
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,ElasticNet,51,13,10,0.0627,10.5526,19.6893,0.1094,-8.6121,-0.1468
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,SVR,51,13,10,-0.1239,5.2772,7.1569,-0.195,-0.27,-0.0277
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,KNN,51,13,10,-0.0387,5.1209,6.8144,-0.0652,-0.1514,-0.0222
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,RF,51,13,10,-0.2097,6.0725,7.2941,-0.3866,-0.3192,-0.3103
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,ET,51,13,10,-0.1515,5.7,7.1372,-0.2717,-0.263,-0.0277
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,GB,51,13,10,-0.023,5.6849,7.3727,-0.0273,-0.3477,0.133
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,XGB,51,13,10,-0.1749,6.9057,7.9765,-0.2019,-0.5775,-0.1995
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,MLP,51,13,10,0.0473,6.5657,8.6036,0.052,-0.8354,-0.1053
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,LGBM,51,13,10,-0.1724,5.9917,7.2892,-0.2948,-0.3174,-0.1191
1,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,CatBoost,51,13,10,-0.1767,5.9466,7.6234,-0.23,-0.441,-0.1468
2,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,51,13,5,-0.2903,7.187,9.4713,-0.2994,-2.4191,-0.3098
2,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,51,13,5,-0.2758,6.9995,9.2148,-0.2822,-2.2364,-0.2517
2,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,51,13,5,-0.2612,6.7428,8.8733,-0.2646,-2.001,-0.2351
2,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,51,13,5,-0.1972,6.154,7.1547,-0.2359,-0.9511,-0.2019
2,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,51,13,5,-0.0787,5.1538,6.128,-0.1111,-0.4313,-0.1964
2,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,51,13,5,0.045,5.2427,5.7706,0.0587,-0.2692,0.0858
2,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,51,13,5,-0.0989,5.9173,6.4308,-0.1173,-0.5763,-0.1826
2,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,51,13,5,-0.0637,5.7999,6.2211,-0.0775,-0.4751,-0.1743
2,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,51,13,5,-0.0966,5.9169,6.2739,-0.12,-0.5002,-0.2213
2,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,51,13,5,-0.2316,8.0737,11.6158,-0.2729,-4.1427,-0.26
2,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,51,13,5,-0.1585,5.1974,6.055,-0.2281,-0.3974,-0.0602
2,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,51,13,5,0.1348,5.2097,5.6691,0.1584,-0.2249,0.1024
2,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,51,13,10,-0.283,5.9644,7.033,-0.3058,-0.8853,-0.3569
2,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Lasso,51,13,10,-0.1497,5.3403,6.1958,-0.1847,-0.4631,-0.1024
2,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ElasticNet,51,13,10,-0.151,5.4138,6.3349,-0.1755,-0.5296,-0.2047
2,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,SVR,51,13,10,-0.0674,5.2958,6.0505,-0.1355,-0.3953,-0.1328
2,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,KNN,51,13,10,-0.0615,5.1209,5.8369,-0.0963,-0.2985,-0.2268
2,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,RF,51,13,10,0.0092,5.1253,5.6962,0.0122,-0.2367,-0.0249
2,emotion_induction_1,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ET,51,13,10,0.0419,4.8785,5.4948,0.0624,-0.1508,-0.0526
