fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,202,51,10,0.0823,4.9197,5.8407,0.1734,0.0158,0.1017
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,202,51,10,0.1151,4.849,5.8321,0.2042,0.0187,0.1283
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,202,51,10,0.1286,4.8297,5.7993,0.225,0.0296,0.1487
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,202,51,10,0.0532,4.9923,5.9622,0.1011,-0.0256,0.0861
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,202,51,10,0.0345,5.3529,6.2988,0.0493,-0.1447,0.037
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,202,51,10,0.089,5.0175,6.0137,0.1381,-0.0434,0.1168
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,202,51,10,0.0848,5.0735,6.0556,0.128,-0.058,0.1234
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,202,51,10,0.0697,5.2449,6.2383,0.0969,-0.1228,0.0621
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,202,51,10,0.1223,5.2039,6.0484,0.1718,-0.0555,0.1306
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,202,51,10,0.109,5.0963,6.0131,0.1892,-0.0432,0.1342
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,202,51,10,0.1637,5.0896,6.0268,0.2131,-0.048,0.2374
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,202,51,10,0.0904,4.9826,5.9561,0.1539,-0.0235,0.1419
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,202,51,5,0.0615,5.0191,6.0376,0.1008,-0.0517,0.019
1,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Lasso,202,51,5,0.0584,5.0149,6.0228,0.099,-0.0466,0.0198
