fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,49,13,5,-0.0976,6.5363,7.9327,-0.1164,-0.4279,-0.0552
1,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,49,13,5,-0.1116,6.8096,8.2377,-0.125,-0.5398,-0.0552
1,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,49,13,5,-0.1075,6.7261,8.1439,-0.1224,-0.5049,-0.0552
1,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,49,13,5,-0.1362,6.3546,8.3,-0.1552,-0.5632,0.0828
1,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,49,13,5,-0.2972,7.6462,8.7271,-0.3442,-0.7282,-0.4414
1,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,49,13,5,0.1178,5.8388,6.9868,0.1489,-0.1077,0.1434
1,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,49,13,5,-0.0024,6.3496,7.3873,-0.0031,-0.2383,0.0193
1,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,49,13,5,0.1493,6.1854,7.4156,0.1672,-0.2478,0.1186
1,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,49,13,5,0.1383,6.4679,7.4695,0.1605,-0.266,0.1048
1,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,49,13,5,-0.1037,7.2582,8.7205,-0.1084,-0.7256,0.0221
1,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,49,13,5,-0.01,5.9685,7.5312,-0.0123,-0.287,0.0449
1,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,49,13,5,0.126,6.1689,7.4389,0.1428,-0.2557,0.3145
1,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,49,13,10,-0.083,6.2646,7.6074,-0.1146,-0.3132,-0.1159
1,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Lasso,49,13,10,-0.0942,6.3204,7.6744,-0.125,-0.3364,-0.1379
