fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,51,13,10,-0.1963,6.1564,7.5806,-0.2637,-0.8366,-0.3283
1,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,51,13,10,-0.2132,6.439,7.8995,-0.2723,-0.9943,-0.2897
1,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,51,13,10,-0.2105,6.4022,7.8536,-0.2732,-0.9712,-0.2897
1,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,51,13,10,-0.3546,7.1043,8.6737,-0.4347,-1.4044,-0.4579
1,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,51,13,10,-0.2563,6.9692,8.0885,-0.3327,-1.0909,-0.446
1,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,51,13,10,-0.2479,5.9762,7.3131,-0.3246,-0.7092,-0.3917
1,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,51,13,10,-0.2394,6.1262,7.5191,-0.3414,-0.8069,-0.4503
1,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,51,13,10,-0.2333,6.9279,8.0385,-0.2654,-1.0651,-0.3559
1,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,51,13,10,-0.178,7.1707,7.8856,-0.202,-0.9873,-0.2924
1,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,51,13,10,-0.2525,6.6665,8.9753,-0.3228,-1.5745,-0.3448
1,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,51,13,10,-0.4563,6.8313,8.226,-0.5444,-1.1626,-0.5683
