fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,50,13,10,0.1002,5.6193,6.6389,0.1717,0.0068,0.1547
1,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,50,13,10,0.1181,5.2284,6.3301,0.3918,0.0971,0.4199
1,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,50,13,10,0.0546,5.5074,6.5976,0.1471,0.0192,0.116
1,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,50,13,10,-0.0506,6.3413,7.3427,-0.0779,-0.2149,-0.1547
1,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,50,13,10,-0.2881,7.0923,8.2382,-0.3963,-0.5293,-0.5007
1,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,50,13,10,-0.028,5.7602,6.9064,-0.0726,-0.0748,-0.0884
1,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,50,13,10,-0.0975,5.9677,7.2524,-0.1965,-0.1852,-0.116
1,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,50,13,10,-0.1226,6.3403,7.6495,-0.2091,-0.3185,-0.0608
1,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,50,13,10,-0.0559,6.3584,7.4401,-0.0865,-0.2473,-0.116
1,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,50,13,10,0.2985,5.1114,6.0992,0.4176,0.1618,0.4309
1,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,50,13,10,-0.1244,6.2683,7.6205,-0.2004,-0.3086,-0.1687
1,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,50,13,10,-0.043,5.7884,6.9557,-0.1064,-0.0902,-0.1492
1,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,50,13,15,-0.0488,6.173,7.1162,-0.0992,-0.1411,-0.0221
1,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Lasso,50,13,15,-0.0414,6.024,7.0361,-0.0905,-0.1156,-0.0331
1,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ElasticNet,50,13,15,0.0066,6.1457,7.0208,0.0118,-0.1107,0.0939
1,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,SVR,50,13,15,0.0837,5.763,6.7311,0.139,-0.0209,0.221
