fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,latency,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,50,13,15,0.3844,4.1983,5.197,0.558,0.2346,0.4078
1,latency,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,50,13,15,0.4269,3.9997,5.0305,0.5875,0.2829,0.4882
1,latency,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,50,13,15,0.3952,4.1013,5.1665,0.5471,0.2436,0.3606
1,latency,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,50,13,15,0.3017,4.4877,5.6503,0.3607,0.0953,0.5049
1,latency,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,50,13,15,0.334,4.7692,5.7646,0.381,0.0584,0.4089
1,latency,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,50,13,15,0.2108,4.1931,5.6592,0.3216,0.0925,0.3773
1,latency,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,50,13,15,0.3875,4.07,5.0406,0.596,0.28,0.3773
1,latency,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,50,13,15,0.1681,4.5255,6.2628,0.2263,-0.1115,0.3024
1,latency,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,50,13,15,0.1405,4.9734,6.306,0.1987,-0.1268,0.2025
1,latency,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,50,13,15,0.6472,4.2878,4.8279,0.6516,0.3395,0.5881
1,latency,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,50,13,15,0.1284,4.2253,6.0849,0.1911,-0.0492,0.3056
1,latency,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,50,13,15,0.1236,4.6152,6.075,0.1755,-0.0458,0.3273
1,latency,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,50,13,15,0.3238,4.5412,5.4693,0.4522,0.1524,0.2608
