fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,200,50,10,0.09,4.7914,6.0984,0.0986,-0.3229,0.1308
1,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,200,50,10,0.0882,4.7715,6.0555,0.0977,-0.3043,0.1374
1,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,200,50,10,0.0871,4.7638,6.0413,0.0969,-0.2982,0.1362
1,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,200,50,10,0.0117,4.9012,5.9448,0.0144,-0.2571,0.0549
1,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,200,50,10,0.0774,4.5356,5.5719,0.1045,-0.1043,0.0905
1,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,200,50,10,0.0703,4.6444,5.4475,0.1111,-0.0556,0.0768
1,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,200,50,10,0.0718,4.5884,5.626,0.0962,-0.1258,0.0761
1,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,200,50,10,0.0205,4.9669,5.9668,0.0253,-0.2664,0.0584
1,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,200,50,10,0.0353,4.8631,5.7831,0.0464,-0.1896,0.082
1,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,200,50,10,0.0874,4.7022,5.6058,0.1162,-0.1178,0.1225
1,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,200,50,10,0.0783,4.6833,5.7195,0.0973,-0.1636,0.096
1,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,200,50,10,0.0726,4.5858,5.4458,0.1148,-0.0549,0.1378
1,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,200,50,10,0.0776,4.5147,5.5039,0.1105,-0.0775,0.084
1,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Lasso,200,50,10,0.0654,4.6484,5.6872,0.0839,-0.1505,0.0754
1,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ElasticNet,200,50,10,0.0787,4.4641,5.419,0.122,-0.0445,0.1211
1,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,SVR,200,50,10,0.0808,4.9133,5.8791,0.093,-0.2294,0.0441
1,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,KNN,200,50,10,0.0879,4.4178,5.4775,0.1253,-0.0672,0.0726
1,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,RF,200,50,10,0.0662,4.6776,5.5964,0.0904,-0.114,0.0449
1,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ET,200,50,10,0.1387,4.4097,5.4042,0.1854,-0.0388,0.0932
1,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,GB,200,50,10,0.024,4.8205,5.8965,0.0295,-0.2367,0.0175
1,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,XGB,200,50,10,0.0176,4.9045,5.9346,0.0214,-0.2527,-0.0299
1,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,MLP,200,50,10,0.1501,4.2356,5.1185,0.2659,0.0681,0.2342
1,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,LGBM,200,50,10,0.0098,4.9897,6.1512,0.0112,-0.3459,-0.0108
