fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,negative_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,48,13,5,0.0557,4.9909,5.6858,0.0847,-0.1288,-0.0194
1,negative_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,48,13,5,0.0832,4.7232,5.6524,0.1332,-0.1156,0.0332
1,negative_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,48,13,5,0.0786,4.7392,5.6409,0.1292,-0.1111,0.0332
1,negative_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,48,13,5,0.116,4.9858,5.8355,0.2018,-0.189,0.1191
1,negative_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,48,13,5,0.0199,4.6484,5.7582,0.0338,-0.1578,-0.0624
1,negative_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,48,13,5,0.2937,4.6154,5.0937,0.4296,0.094,0.3398
1,negative_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,48,13,5,0.3089,4.35,5.0946,0.4959,0.0937,0.3961
1,negative_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,48,13,5,0.3109,4.6511,5.557,0.3256,-0.0782,0.2521
1,negative_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,48,13,5,0.398,4.6381,5.2053,0.4199,0.0539,0.4792
1,negative_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,48,13,5,0.0321,5.3217,6.1365,0.0453,-0.3149,-0.0222
1,negative_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,48,13,5,0.2638,4.6467,5.3204,0.3989,0.0116,0.3246
1,negative_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,48,13,5,0.3793,4.4849,5.1902,0.4202,0.0594,0.1911
1,negative_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,48,13,10,-0.3309,6.4673,8.242,-0.4169,-1.372,-0.482
1,negative_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Lasso,48,13,10,-0.3349,7.0241,9.1073,-0.4014,-1.8962,-0.446
1,negative_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ElasticNet,48,13,10,-0.338,6.7917,8.7376,-0.4097,-1.6658,-0.4571
1,negative_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,SVR,48,13,10,-0.0197,5.9638,6.6336,-0.0246,-0.5365,-0.2327
1,negative_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,KNN,48,13,10,-0.1283,5.5934,6.7776,-0.2376,-0.604,-0.3981
1,negative_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,RF,48,13,10,-0.1524,5.6146,6.4372,-0.2418,-0.4469,-0.4515
1,negative_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ET,48,13,10,-0.2163,5.9377,7.1392,-0.3362,-0.7797,-0.4488
1,negative_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,GB,48,13,10,0.0289,5.3401,6.777,0.0333,-0.6037,-0.1551
1,negative_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,XGB,48,13,10,0.0039,5.615,6.5891,0.0043,-0.516,-0.072
