fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,193,49,10,-0.0095,4.8791,5.7594,-0.0199,-0.075,0.0327
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,193,49,10,-0.0249,4.9867,5.886,-0.0443,-0.1228,-0.0122
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,193,49,10,-0.0073,4.8237,5.6719,-0.0205,-0.0426,0.0393
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,193,49,10,-0.0864,5.0432,5.9625,-0.1866,-0.1522,-0.1505
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,193,49,10,-0.0531,5.0907,6.0725,-0.0822,-0.1951,-0.0716
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,193,49,10,0.0375,4.6746,5.7945,0.0615,-0.0882,0.077
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,193,49,10,0.0738,4.8459,5.7482,0.1101,-0.0709,0.1102
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,193,49,10,0.1158,4.8002,5.9529,0.1455,-0.1485,0.1332
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,193,49,10,0.1126,4.7531,5.9256,0.1397,-0.138,0.1497
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,193,49,10,-0.0952,5.5633,6.5876,-0.1147,-0.4064,-0.1183
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,193,49,10,0.0255,4.9444,6.0891,0.0337,-0.2016,-0.002
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,193,49,10,0.0536,4.7529,5.7732,0.084,-0.0802,0.0758
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,193,49,10,-0.0354,4.9229,5.8838,-0.0663,-0.122,-0.028
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Lasso,193,49,10,-0.0597,5.0311,5.9986,-0.1037,-0.1662,-0.1319
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ElasticNet,193,49,10,-0.0256,4.888,5.8343,-0.0501,-0.1032,-0.0189
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,SVR,193,49,10,-0.0366,4.8863,5.8318,-0.0781,-0.1022,-0.0851
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,KNN,193,49,10,0.0383,4.8753,5.816,0.0591,-0.0963,0.0465
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,RF,193,49,10,0.0573,4.6649,5.7809,0.0864,-0.0831,0.0934
1,negative_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ET,193,49,10,0.0248,4.769,5.8024,0.0407,-0.0911,0.0692
