fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,48,12,15,0.0136,5.1249,6.4481,0.0197,-0.1705,0.0386
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,48,12,15,0.0661,4.5367,5.8761,0.2017,0.0279,-0.0561
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,48,12,15,0.0351,4.7917,6.0787,0.0722,-0.0402,-0.0246
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,48,12,15,0.0817,4.8213,6.3215,0.107,-0.125,0.0105
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,48,12,15,0.3379,3.65,5.2596,0.4941,0.2212,0.4211
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,48,12,15,-0.0413,4.9279,6.2916,-0.0833,-0.1144,-0.2035
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,48,12,15,0.0028,4.3512,6.0454,0.008,-0.0289,0.2316
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,48,12,15,-0.2186,6.4353,7.4904,-0.2618,-0.5795,-0.4105
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,48,12,15,-0.2305,6.6653,7.8338,-0.2555,-0.7277,-0.3123
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,48,12,15,-0.0177,6.9751,10.4332,-0.0194,-2.0644,0.3263
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,48,12,15,0.0082,4.7915,6.1463,0.0164,-0.0635,0.0526
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,48,12,15,-0.1203,5.3328,6.6161,-0.2102,-0.2323,-0.2035
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,48,12,5,0.0495,4.9874,6.1497,0.0803,-0.0647,-0.1509
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Lasso,48,12,5,0.0512,4.9722,6.132,0.0845,-0.0586,-0.1404
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ElasticNet,48,12,5,0.0728,4.908,6.0342,0.1264,-0.0251,-0.1158
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,SVR,48,12,5,0.0728,4.9858,6.2579,0.0997,-0.1025,-0.0421
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,KNN,48,12,5,0.1163,4.7833,5.9439,0.1898,0.0054,-0.0088
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,RF,48,12,5,-0.1022,5.2092,6.4612,-0.2117,-0.1753,-0.2947
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ET,48,12,5,-0.116,5.3938,6.5532,-0.2208,-0.209,-0.4807
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,GB,48,12,5,-0.1484,5.6417,6.8635,-0.2179,-0.3262,-0.3509
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,XGB,48,12,5,-0.018,5.3297,6.5809,-0.0254,-0.2192,-0.193
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,MLP,48,12,5,0.0229,5.25,6.4181,0.0316,-0.1597,-0.1404
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,LGBM,48,12,5,-0.0103,4.5053,6.0764,-0.0329,-0.0395,-0.204
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,CatBoost,48,12,5,-0.0894,5.3256,6.6489,-0.1368,-0.2446,-0.2737
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,Ridge,48,12,5,0.1418,4.5503,5.8556,0.2535,0.0347,0.0737
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,Lasso,48,12,5,0.1429,4.6372,5.8763,0.2423,0.0279,-0.014
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,ElasticNet,48,12,5,0.1281,4.6291,5.8918,0.2242,0.0227,-0.0246
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,SVR,48,12,5,0.1827,4.8197,5.9106,0.2493,0.0165,0.2386
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,KNN,48,12,5,0.0185,5.6,6.6222,0.0235,-0.2346,0.0756
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,RF,48,12,5,0.1185,4.7338,5.8461,0.2384,0.0379,0.0105
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,ET,48,12,5,0.031,4.8958,6.0636,0.0635,-0.0351,-0.0842
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,GB,48,12,5,0.1859,4.8007,5.8243,0.2697,0.045,0.2702
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,XGB,48,12,5,0.0749,5.2892,6.3795,0.1023,-0.1457,0.007
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,MLP,48,12,5,0.3709,4.3711,5.389,0.4414,0.1824,0.6877
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,LGBM,48,12,5,0.0947,4.3258,5.8226,0.2196,0.0455,0.2429
1,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,CatBoost,48,12,5,0.1329,4.4048,5.7868,0.2463,0.0573,0.0456
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,48,12,5,-0.0125,5.8253,7.0677,-0.0129,-0.7029,-0.035
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,48,12,5,-0.013,5.8807,7.1234,-0.0134,-0.7299,-0.035
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,48,12,5,-0.0113,5.6176,6.8628,-0.0119,-0.6056,-0.035
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,48,12,5,0.0908,6.0939,6.924,0.0934,-0.6344,0.0455
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,48,12,5,0.1026,4.8095,5.7546,0.1273,-0.1289,0.1401
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,48,12,5,-0.0474,4.93,6.2417,-0.0585,-0.3281,-0.035
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,48,12,5,0.0973,4.677,5.8007,0.1225,-0.1471,0.1191
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,48,12,5,-0.0843,5.8018,7.1354,-0.0893,-0.7357,-0.0666
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,48,12,5,0.062,6.0654,6.9003,0.0662,-0.6232,0.0946
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,48,12,5,0.0508,6.9215,8.2294,0.0523,-1.3087,-0.0035
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,48,12,5,-0.0934,4.8671,6.3936,-0.1153,-0.3936,0.0958
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,48,12,5,-0.0813,5.4552,6.825,-0.0875,-0.588,-0.0175
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,48,12,10,-0.2922,5.965,7.2649,-0.3255,-0.7993,-0.2312
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Lasso,48,12,10,-0.1975,6.1201,7.5302,-0.2034,-0.9331,-0.035
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ElasticNet,48,12,10,-0.2591,6.0703,7.4517,-0.2746,-0.893,-0.2312
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,SVR,48,12,10,-0.2062,6.2112,7.6389,-0.2113,-0.9893,-0.0876
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,KNN,48,12,10,-0.2667,5.6389,6.8151,-0.3343,-0.5834,-0.2347
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,RF,48,12,10,-0.2837,5.7692,6.9718,-0.3402,-0.657,-0.4063
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ET,48,12,10,-0.1973,5.2175,6.5874,-0.2516,-0.4794,-0.1331
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,GB,48,12,10,-0.2271,6.3887,7.4506,-0.247,-0.8925,-0.3152
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,XGB,48,12,10,-0.038,5.7897,6.6415,-0.0426,-0.5037,0.0946
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,MLP,48,12,10,-0.4101,5.9826,7.5921,-0.4784,-0.965,-0.3503
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,LGBM,48,12,10,-0.136,5.6435,6.699,-0.1558,-0.5299,-0.1471
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,CatBoost,48,12,10,-0.268,5.9142,7.0611,-0.3105,-0.6997,-0.1331
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,Ridge,48,12,5,-0.1008,5.5821,7.0765,-0.1141,-0.7072,0.0035
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,Lasso,48,12,5,-0.0967,5.5744,7.0601,-0.111,-0.6992,0.0035
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,ElasticNet,48,12,5,-0.097,5.5276,6.9959,-0.1124,-0.6685,0.0035
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,SVR,48,12,5,-0.1253,6.1298,7.3782,-0.1339,-0.8558,-0.1681
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,KNN,48,12,5,0.0153,5.1667,6.0648,0.02,-0.2539,0.1552
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,RF,48,12,5,-0.1011,5.3133,6.2812,-0.1348,-0.345,0.0385
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,ET,48,12,5,-0.1572,5.3678,6.544,-0.1955,-0.4599,-0.0981
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,GB,48,12,5,-0.2506,6.6736,7.5783,-0.2662,-0.9579,-0.2347
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,XGB,48,12,5,-0.0797,6.0128,6.9146,-0.089,-0.63,-0.028
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,MLP,48,12,5,-0.0465,6.0279,7.5887,-0.0477,-0.9632,-0.0841
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,LGBM,48,12,5,0.1016,4.4852,5.7048,0.1352,-0.1095,0.3704
2,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,CatBoost,48,12,5,-0.1822,5.53,6.4818,-0.2477,-0.4323,-0.3047
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,48,12,15,-0.4378,7.4705,8.7711,-0.4708,-1.179,-0.4656
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,48,12,15,-0.4565,7.8154,9.2373,-0.4733,-1.4168,-0.4656
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,48,12,15,-0.3445,6.4772,7.7336,-0.4496,-0.694,-0.4621
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,48,12,15,-0.1909,6.3299,7.069,-0.2734,-0.4154,-0.2751
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,48,12,15,-0.2268,6.0952,7.1116,-0.3264,-0.4325,-0.388
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,48,12,15,-0.3887,6.5349,7.2697,-0.7769,-0.4969,-0.6879
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,48,12,15,-0.3081,6.1954,7.1106,-0.5602,-0.4321,-0.4268
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,48,12,15,-0.3111,6.4363,7.1927,-0.5128,-0.4653,-0.508
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,48,12,15,-0.2689,6.3102,6.9643,-0.5113,-0.3738,-0.4727
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,48,12,15,-0.3501,8.405,9.5188,-0.3507,-1.5664,-0.448
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,48,12,15,-0.4532,6.7365,7.4932,-0.8223,-0.5903,-0.7231
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,48,12,15,-0.2607,6.2007,6.8836,-0.5661,-0.3421,-0.5432
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,48,12,15,-0.3731,6.8519,8.127,-0.4357,-0.8708,-0.4233
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Lasso,48,12,15,-0.3309,6.5207,7.8415,-0.4021,-0.7416,-0.3457
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ElasticNet,48,12,15,-0.4083,7.1876,8.519,-0.4477,-1.0556,-0.4127
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,SVR,48,12,15,-0.5032,7.7222,9.0843,-0.5366,-1.3374,-0.4656
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,KNN,48,12,15,-0.2913,6.5333,7.5361,-0.3721,-0.6086,-0.4142
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,RF,48,12,15,-0.3361,6.4148,7.0867,-0.7241,-0.4225,-0.6737
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ET,48,12,15,-0.3589,6.5071,7.3293,-0.6393,-0.5215,-0.5961
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,GB,48,12,15,-0.3566,6.6911,7.288,-0.6007,-0.5044,-0.4762
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,XGB,48,12,15,-0.3732,6.9993,7.4682,-0.5538,-0.5798,-0.4127
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,MLP,48,12,15,-0.376,7.2441,8.6068,-0.4049,-1.0982,-0.3175
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,LGBM,48,12,15,-0.3298,6.262,7.0626,-0.7119,-0.4128,-0.5679
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,CatBoost,48,12,15,-0.4191,6.793,7.5467,-0.6444,-0.6131,-0.5785
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,Ridge,48,12,15,-0.3418,7.0652,8.3382,-0.3684,-0.9693,-0.3351
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,Lasso,48,12,15,-0.3141,7.4137,8.5679,-0.3257,-1.0792,-0.3669
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,ElasticNet,48,12,15,-0.2276,6.1411,7.2784,-0.2994,-0.5005,-0.3139
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,SVR,48,12,15,-0.2265,5.9543,7.0641,-0.3804,-0.4134,-0.3034
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,KNN,48,12,15,0.1283,5.15,5.8455,0.2639,0.0322,0.182
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,RF,48,12,15,-0.3388,6.4,7.1496,-0.6451,-0.4478,-0.4797
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,ET,48,12,15,-0.2415,6.1004,6.9161,-0.4366,-0.3548,-0.1799
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,GB,48,12,15,-0.18,6.0332,6.6963,-0.3591,-0.2701,-0.4021
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,XGB,48,12,15,-0.3039,6.2474,7.2768,-0.455,-0.4998,-0.4339
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,MLP,48,12,15,-0.2453,7.7275,8.8917,-0.2473,-1.2394,-0.455
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,LGBM,48,12,15,-0.4009,6.6358,7.336,-0.7536,-0.5243,-0.6808
3,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,CatBoost,48,12,15,-0.3808,6.6201,7.4986,-0.59,-0.5927,-0.3527
4,negative_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,48,12,5,-0.1843,6.5541,7.2328,-0.3737,-0.2684,-0.4175
