fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,48,12,5,-0.0717,4.5594,5.3405,-0.1246,-0.2571,-0.1193
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,48,12,5,-0.0948,4.7751,5.6362,-0.1409,-0.4002,-0.193
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,48,12,5,-0.0882,4.7072,5.5276,-0.1369,-0.3467,-0.193
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,48,12,5,-0.1023,5.2347,6.3945,-0.1321,-0.8023,-0.014
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,48,12,5,-0.1835,5.1786,6.6211,-0.2516,-0.9323,-0.1916
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,48,12,5,0.0481,4.4046,5.3623,0.0606,-0.2674,0.1088
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,48,12,5,0.0192,4.2125,5.4956,0.0256,-0.3312,-0.0105
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,48,12,5,0.0751,5.1184,5.7438,0.0842,-0.4542,0.1509
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,48,12,5,-0.065,5.5273,6.6463,-0.0703,-0.947,-0.0632
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,48,12,5,-0.0913,5.6145,7.1858,-0.102,-1.276,-0.1088
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,48,12,5,0.1566,4.1811,4.8679,0.2601,-0.0445,0.2695
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,48,12,5,-0.0299,4.4493,5.6907,-0.0394,-0.4274,0.0667
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,48,12,5,-0.1121,4.5187,5.3992,-0.1696,-0.2849,-0.1439
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Lasso,48,12,5,-0.1017,4.6577,5.4944,-0.146,-0.3306,-0.1825
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ElasticNet,48,12,5,-0.1229,4.6599,5.5298,-0.1713,-0.3478,-0.193
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,SVR,48,12,5,-0.168,4.9187,5.7717,-0.2099,-0.4683,-0.214
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,KNN,48,12,5,0.0494,4.8333,5.8689,0.0589,-0.5182,-0.0514
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,RF,48,12,5,-0.0201,4.6058,5.5292,-0.0249,-0.3476,0.0175
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ET,48,12,5,-0.1938,4.5017,5.7662,-0.2878,-0.4655,-0.2982
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,GB,48,12,5,0.0091,5.5884,6.1646,0.0109,-0.675,0.0281
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,XGB,48,12,5,0.0239,5.2492,6.0058,0.027,-0.5898,0.0561
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,MLP,48,12,5,-0.1069,4.3794,5.3218,-0.1733,-0.2483,-0.1439
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,LGBM,48,12,5,0.065,4.1812,5.0424,0.0953,-0.1207,0.0808
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,CatBoost,48,12,5,-0.0377,4.6553,5.619,-0.0486,-0.3917,-0.0456
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,RobustScaler,Ridge,48,12,5,-0.0931,4.7031,5.4687,-0.1347,-0.3182,-0.1754
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,RobustScaler,Lasso,48,12,5,-0.1231,4.9622,5.8067,-0.1537,-0.4862,-0.1509
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,RobustScaler,ElasticNet,48,12,5,-0.1116,4.8535,5.6522,-0.1473,-0.4082,-0.1684
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,RobustScaler,SVR,48,12,5,-0.0609,5.0058,5.9278,-0.0807,-0.5488,-0.0246
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,RobustScaler,KNN,48,12,5,-0.0131,4.7407,5.7637,-0.0166,-0.4642,0.0283
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,RobustScaler,RF,48,12,5,0.0356,4.4312,5.4271,0.048,-0.2982,0.3263
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,RobustScaler,ET,48,12,5,-0.0259,4.4725,5.5956,-0.0375,-0.3801,-0.0281
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,RobustScaler,GB,48,12,5,-0.025,4.7595,6.1164,-0.0315,-0.6489,-0.0842
1,negative_training,CR,phq_8,PHQ8,cross-corpus-882,RobustScaler,XGB,48,12,5,-0.078,4.9865,6.2672,-0.0943,-0.7312,-0.1474
