fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,48,13,5,0.1415,5.6491,6.1084,0.1783,-0.3002,0.1939
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,48,13,5,0.1297,5.0647,5.7183,0.211,-0.1394,0.1662
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,48,13,5,0.1518,5.7619,6.1812,0.184,-0.3313,0.1939
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,48,13,5,0.0937,5.5999,6.3059,0.1293,-0.3856,0.1856
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,48,13,5,0.1543,5.6068,6.214,0.2668,-0.3455,0.2327
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,48,13,5,-0.0302,5.3546,6.1933,-0.0441,-0.3366,-0.0305
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,48,13,5,-0.1821,6.0165,6.9685,-0.2529,-0.6921,-0.2161
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,48,13,5,-0.1184,5.6135,6.5791,-0.1482,-0.5083,-0.2881
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,48,13,5,0.0455,5.1181,5.833,0.0706,-0.1856,0.0
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,48,13,5,-0.2053,7.5988,8.5954,-0.2615,-1.5744,-0.338
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,48,13,5,0.0925,5.4658,6.1615,0.1269,-0.3229,-0.0803
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,48,13,5,-0.0494,5.4686,6.2396,-0.0884,-0.3566,-0.1745
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,48,13,5,0.0265,7.8735,9.9851,0.0321,-2.4742,0.0693
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Lasso,48,13,5,0.027,7.9088,10.0293,0.0327,-2.505,0.0693
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ElasticNet,48,13,5,0.0286,7.4986,9.3383,0.0336,-2.0386,0.0693
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,SVR,48,13,5,-0.033,7.075,7.7364,-0.036,-1.0856,-0.0388
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,KNN,48,13,5,-0.0809,6.5385,7.3979,-0.0972,-0.9071,-0.0957
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,RF,48,13,5,0.0566,5.5965,6.5618,0.0665,-0.5004,0.2327
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ET,48,13,5,-0.1489,6.3235,7.3498,-0.1682,-0.8823,-0.2438
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,GB,48,13,5,-0.1859,6.668,7.9974,-0.1968,-1.2287,-0.1468
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,XGB,48,13,5,-0.0088,6.1412,7.3923,-0.0093,-0.9042,0.0055
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,MLP,48,13,5,0.0243,7.1891,7.9949,0.0265,-1.2272,0.0471
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,LGBM,48,13,5,0.0653,5.5412,6.3534,0.0793,-0.4066,0.0237
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,CatBoost,48,13,5,0.034,6.1359,7.2245,0.0363,-0.8187,0.1219
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,RobustScaler,Ridge,48,13,5,0.0169,8.2442,11.9101,0.0235,-3.9428,0.1995
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,RobustScaler,Lasso,48,13,5,0.0163,8.2146,11.768,0.0225,-3.8256,0.1995
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,RobustScaler,ElasticNet,48,13,5,0.0156,8.204,11.6863,0.0215,-3.7588,0.1995
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,RobustScaler,SVR,48,13,5,0.1721,5.1488,6.1231,0.1895,-0.3064,0.2576
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,RobustScaler,KNN,48,13,5,0.1477,5.188,5.9637,0.2089,-0.2393,0.2358
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,RobustScaler,RF,48,13,5,0.1399,4.8302,5.7721,0.1822,-0.161,0.241
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,RobustScaler,ET,48,13,5,0.2071,5.0154,5.8141,0.2421,-0.1779,0.2659
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,RobustScaler,GB,48,13,5,0.0432,6.4596,7.2152,0.0505,-0.814,0.2327
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,RobustScaler,XGB,48,13,5,0.3227,5.0751,5.6736,0.3787,-0.1217,0.3878
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,RobustScaler,MLP,48,13,5,0.015,6.4179,7.3713,0.0162,-0.8934,0.0416
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,RobustScaler,LGBM,48,13,5,0.078,5.4391,5.9996,0.1162,-0.2543,0.1773
1,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,RobustScaler,CatBoost,48,13,5,0.1226,5.2923,6.2045,0.1553,-0.3414,0.3324
2,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,49,12,5,0.3126,6.2748,8.1445,0.3761,-0.5419,0.1549
2,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,49,12,5,0.3132,6.2344,8.0516,0.3778,-0.5069,0.1549
2,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,49,12,5,0.3132,6.165,7.901,0.3798,-0.4511,0.2324
2,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,49,12,5,0.2703,4.8095,6.4067,0.3503,0.0459,0.2958
2,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,49,12,5,0.2284,5.0278,6.4093,0.345,0.0451,0.169
2,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,49,12,5,0.1487,5.6504,6.6776,0.2459,-0.0365,0.1127
2,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,49,12,5,0.3676,4.6992,6.1002,0.4499,0.135,0.3873
2,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,49,12,5,0.159,6.1024,7.0075,0.1931,-0.1414,-0.0493
2,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,49,12,5,0.2109,5.715,6.61,0.2955,-0.0156,0.0916
2,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,49,12,5,0.3929,7.0326,10.0017,0.4794,-1.3253,0.3732
2,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,49,12,5,0.0421,6.2201,7.0999,0.0668,-0.1717,-0.1101
2,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,49,12,5,0.3578,5.0638,6.0239,0.472,0.1565,0.3169
2,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,49,12,5,0.212,5.3629,6.4932,0.3609,0.02,0.2676
2,negative_training,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Lasso,49,12,5,0.1831,5.2502,6.6333,0.2751,-0.0228,0.2254
