fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,46,12,5,0.3896,4.0817,4.8954,0.43,0.089,0.3579
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,46,12,5,0.3781,4.0909,4.8964,0.4252,0.0886,0.3579
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,46,12,5,0.371,4.0875,4.8853,0.4246,0.0927,0.3579
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,46,12,5,0.3245,4.3441,5.2162,0.3712,-0.0343,0.2982
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,46,12,5,0.2371,4.9,5.6857,0.2734,-0.2289,0.3016
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,46,12,5,0.2888,4.8142,5.2585,0.3322,-0.0512,0.4246
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,46,12,5,0.3037,4.2542,5.0869,0.3705,0.0163,0.362
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,46,12,5,0.1447,5.6528,6.3031,0.1503,-0.5103,0.1754
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,46,12,5,0.1379,5.7125,6.6023,0.1403,-0.6571,0.1649
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,46,12,5,0.3346,4.4704,5.3206,0.3795,-0.0761,0.3719
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,46,12,5,0.3699,4.0795,4.8009,0.4597,0.1238,0.425
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,46,12,5,0.3412,4.5517,5.0422,0.4006,0.0335,0.4211
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,46,12,5,0.2168,4.6173,5.5958,0.2325,-0.1904,0.1439
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Lasso,46,12,5,0.2148,4.6113,5.5705,0.2321,-0.1796,0.1439
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ElasticNet,46,12,5,0.208,4.6123,5.5424,0.2277,-0.1677,0.1439
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,SVR,46,12,5,0.1412,5.0894,6.2626,0.1496,-0.491,0.0982
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,KNN,46,12,5,0.108,5.0648,6.0087,0.1406,-0.3725,0.225
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,RF,46,12,5,0.1793,4.8396,5.4652,0.2405,-0.1355,0.207
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ET,46,12,5,0.3701,4.3588,4.7545,0.4593,0.1407,0.4341
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,GB,46,12,5,0.27,5.1579,5.6343,0.2815,-0.2068,0.2421
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,XGB,46,12,5,0.1598,5.6591,6.1504,0.1651,-0.438,0.2456
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,MLP,46,12,5,0.2064,4.7166,5.5978,0.2241,-0.1912,0.1825
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,LGBM,46,12,5,0.3961,4.1423,4.6209,0.4871,0.1883,0.5053
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,CatBoost,46,12,5,0.3464,4.821,5.2225,0.3857,-0.0369,0.3193
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,Ridge,46,12,5,0.217,4.6171,5.5958,0.2327,-0.1904,0.1439
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,Lasso,46,12,5,0.2169,4.6152,5.5907,0.2329,-0.1882,0.1439
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,ElasticNet,46,12,5,0.215,4.6166,5.5834,0.2316,-0.1851,0.1439
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,SVR,46,12,5,0.3314,4.6078,5.4487,0.3543,-0.1286,0.2982
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,KNN,46,12,5,0.0759,5.0926,6.0202,0.1007,-0.3778,0.3058
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,RF,46,12,5,0.1793,4.8396,5.4652,0.2405,-0.1355,0.207
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,ET,46,12,5,0.3701,4.3588,4.7545,0.4593,0.1407,0.4341
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,GB,46,12,5,0.27,5.1579,5.6343,0.2815,-0.2068,0.2421
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,XGB,46,12,5,0.1598,5.6591,6.1504,0.1651,-0.438,0.2456
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,MLP,46,12,5,0.3031,4.8664,5.9562,0.3125,-0.3486,0.2105
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,LGBM,46,12,5,0.4359,4.1006,4.5921,0.5057,0.1984,0.5719
1,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,CatBoost,46,12,5,0.3464,4.821,5.2225,0.3857,-0.0369,0.3193
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,46,12,10,-0.0565,5.3682,6.8629,-0.0621,-0.5166,-0.0528
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,46,12,10,-0.0318,5.2847,6.7719,-0.035,-0.4766,-0.0951
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,46,12,10,-0.0174,5.2321,6.6869,-0.0194,-0.4398,-0.0951
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,46,12,10,0.2225,4.4894,5.89,0.2559,-0.1171,0.1937
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,46,12,10,0.137,5.1,5.868,0.1718,-0.1088,0.134
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,46,12,10,0.1139,4.2992,5.7786,0.15,-0.0752,0.2641
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,46,12,10,0.1597,4.5817,5.619,0.217,-0.0167,0.0035
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,46,12,10,0.3977,3.6109,5.228,0.4412,0.1199,0.4366
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,46,12,10,0.4669,3.3419,4.9291,0.5198,0.2177,0.581
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,46,12,10,0.0536,5.5968,7.0315,0.0575,-0.592,0.1056
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,46,12,10,-0.0014,4.6589,6.1938,-0.0019,-0.2353,0.1429
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,46,12,10,0.1949,4.4251,5.7078,0.2433,-0.049,0.25
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,46,12,5,0.1153,4.5202,6.3304,0.131,-0.2904,0.2535
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Lasso,46,12,5,0.1098,4.4824,6.062,0.1358,-0.1833,0.2535
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ElasticNet,46,12,5,0.115,4.5134,6.3079,0.1313,-0.2813,0.2535
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,SVR,46,12,5,0.2367,4.2746,5.7199,0.2684,-0.0535,0.2113
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,KNN,46,12,5,0.1664,4.9167,5.8558,0.205,-0.1042,0.1643
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,RF,46,12,5,0.1489,4.215,5.8406,0.1817,-0.0984,0.2852
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ET,46,12,5,0.1708,4.1933,5.6437,0.2401,-0.0256,0.25
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,GB,46,12,5,0.2095,3.9439,6.1367,0.2273,-0.2126,0.3697
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,XGB,46,12,5,0.2661,3.6434,6.0695,0.2854,-0.1862,0.2148
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,MLP,46,12,5,0.1447,4.4692,6.3841,0.1637,-0.3124,0.2711
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,LGBM,46,12,5,0.0233,4.5108,6.347,0.0298,-0.2972,0.1487
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,CatBoost,46,12,5,0.1903,4.2148,5.9326,0.218,-0.1333,0.243
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,Ridge,46,12,10,0.0382,5.3838,6.7038,0.0406,-0.4471,-0.0387
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,Lasso,46,12,10,0.0113,5.5799,7.0788,0.0116,-0.6135,-0.081
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,ElasticNet,46,12,10,0.0848,5.0509,6.0632,0.1037,-0.1838,-0.0634
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,SVR,46,12,10,0.0936,4.5433,6.245,0.1071,-0.2558,0.0176
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,KNN,46,12,10,0.0451,4.8611,6.2959,0.0522,-0.2764,-0.1166
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,RF,46,12,10,-0.0529,4.8313,6.4214,-0.0653,-0.3278,0.169
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,ET,46,12,10,0.0242,4.9117,6.1277,0.0307,-0.2091,-0.0246
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,GB,46,12,10,-0.1602,5.2765,7.5069,-0.1668,-0.8146,-0.0563
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,XGB,46,12,10,0.0328,5.0738,6.9125,0.0348,-0.5386,0.1268
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,MLP,46,12,10,0.0242,6.102,8.0192,0.0243,-1.0707,-0.0387
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,LGBM,46,12,10,-0.2306,5.3154,6.9125,-0.2919,-0.5386,0.0248
2,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,CatBoost,46,12,10,-0.0963,5.055,6.9711,-0.1056,-0.5648,0.0563
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,46,12,20,0.3638,5.6123,6.5169,0.4144,0.0816,0.4561
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,46,12,20,0.2308,5.3558,6.1736,0.4965,0.1758,0.5544
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,46,12,20,0.3035,5.35,6.1943,0.438,0.1703,0.5263
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,46,12,20,0.2426,5.9669,6.6006,0.3143,0.0579,0.5825
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,46,12,20,0.2135,5.5926,6.4281,0.3433,0.1064,0.3193
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,46,12,20,0.2908,5.385,6.2845,0.4139,0.1459,0.5825
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,46,12,20,0.2017,5.4767,6.6558,0.2811,0.042,0.3228
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,46,12,20,0.5638,4.1953,5.22,0.6773,0.4108,0.6211
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,46,12,20,0.6218,4.1045,4.9067,0.7326,0.4794,0.6947
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,46,12,20,0.1884,6.878,8.2867,0.1954,-0.485,0.0877
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,46,12,20,0.2091,5.5343,6.7133,0.3214,0.0254,0.4035
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,46,12,20,0.5931,4.2003,4.9528,0.7247,0.4695,0.6421
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,46,12,15,0.3458,5.2543,6.1896,0.4407,0.1715,0.5474
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Lasso,46,12,15,0.3239,5.1993,6.0383,0.4775,0.2115,0.5719
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ElasticNet,46,12,15,0.398,5.3573,6.2345,0.4567,0.1595,0.5263
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,SVR,46,12,15,0.3755,5.9785,6.7896,0.411,0.0031,0.4842
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,KNN,46,12,15,0.2348,5.4286,6.423,0.3514,0.1079,0.3979
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,RF,46,12,15,0.3815,5.1383,6.1057,0.4998,0.1938,0.6246
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ET,46,12,15,0.2567,5.3875,6.4695,0.3706,0.0949,0.5158
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,GB,46,12,15,0.6838,3.9918,4.7305,0.7818,0.5161,0.7263
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,XGB,46,12,15,0.6394,4.3313,5.0125,0.7479,0.4567,0.6807
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,MLP,46,12,15,0.2623,5.5999,6.5244,0.3387,0.0795,0.3263
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,LGBM,46,12,15,0.1875,5.4791,6.7866,0.2703,0.004,0.2947
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,CatBoost,46,12,15,0.5621,4.6395,5.3779,0.688,0.3746,0.6281
3,positive_training,ADK,phq_8,PHQ8,cross-corpus-882,RobustScaler,Ridge,46,12,20,0.3938,5.7835,6.7616,0.4188,0.0113,0.4982
