fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,188,48,5,-0.0916,5.5493,6.448,-0.1636,-0.2552,-0.1197
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,188,48,5,-0.0932,5.5563,6.4555,-0.1655,-0.2581,-0.124
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,188,48,5,-0.088,5.5287,6.4268,-0.1603,-0.247,-0.1238
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,188,48,5,-0.0982,5.6535,6.8367,-0.1235,-0.4111,-0.0474
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,188,48,5,-0.0475,5.3218,6.3981,-0.0693,-0.2359,0.0477
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,188,48,5,-0.0475,5.6065,6.5739,-0.0632,-0.3047,-0.0044
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,188,48,5,-0.048,5.4911,6.4742,-0.0696,-0.2655,-0.0029
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,188,48,5,-0.0353,5.685,6.546,-0.0458,-0.2937,-0.0052
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,188,48,5,-0.0679,5.7213,6.672,-0.0886,-0.3439,-0.0348
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,188,48,5,-0.169,5.9537,7.166,-0.2045,-0.5503,-0.1585
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,188,48,5,-0.08,5.9532,6.8819,-0.0952,-0.4298,-0.0288
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,188,48,5,-0.0762,5.6228,6.5309,-0.1093,-0.2877,-0.0566
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,188,48,10,-0.1993,5.8611,6.9245,-0.2873,-0.4476,-0.2028
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Lasso,188,48,10,-0.181,5.7778,6.7996,-0.2773,-0.3958,-0.2016
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ElasticNet,188,48,10,-0.1304,5.5311,6.5043,-0.2388,-0.2772,-0.1645
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,SVR,188,48,10,-0.1553,5.7948,6.8001,-0.2177,-0.3961,-0.2028
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,KNN,188,48,10,-0.0435,5.8833,6.8381,-0.0506,-0.4117,-0.0662
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,RF,188,48,10,-0.0268,5.4406,6.4268,-0.0386,-0.247,0.0029
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ET,188,48,10,-0.0644,5.5343,6.4649,-0.0946,-0.2618,-0.0771
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,GB,188,48,10,-0.0608,5.8602,6.7929,-0.0765,-0.3931,0.0249
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,XGB,188,48,10,-0.0363,5.8136,6.7737,-0.0437,-0.3852,0.0472
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,MLP,188,48,10,-0.1153,5.6825,6.5777,-0.1754,-0.3062,-0.1076
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,LGBM,188,48,10,-0.0967,5.9472,6.9987,-0.1148,-0.4788,-0.0439
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,CatBoost,188,48,10,-0.0537,5.4726,6.4877,-0.0781,-0.2707,-0.0314
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,RobustScaler,Ridge,188,48,5,-0.0094,5.1908,6.0774,-0.0193,-0.1151,0.0408
1,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882,RobustScaler,Lasso,188,48,5,-0.0137,5.1817,6.0668,-0.0299,-0.1112,0.0224
