fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,45,12,5,-0.0373,7.316,8.6215,-0.0727,-0.9869,-0.007
1,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,45,12,5,-0.0267,7.3528,8.6644,-0.0505,-1.0068,0.0351
1,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,45,12,5,-0.0304,7.3423,8.6516,-0.0581,-1.0008,0.0351
1,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,45,12,5,-0.0557,7.1688,8.5318,-0.1416,-0.9458,0.0456
1,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,45,12,5,-0.0356,6.9333,8.1269,-0.0673,-0.7655,0.1575
1,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,45,12,5,-0.1138,6.6894,8.1909,-0.2141,-0.7934,-0.1895
1,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,45,12,5,-0.1923,7.1875,8.703,-0.3528,-1.0247,-0.3825
1,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,45,12,5,-0.2491,7.3864,8.8988,-0.5233,-1.1168,-0.386
1,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,45,12,5,-0.3876,7.0989,8.6861,-0.5592,-1.0168,-0.3544
1,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,45,12,5,-0.0703,7.4494,8.9154,-0.12,-1.1247,-0.0035
1,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,45,12,5,-0.2558,7.1263,8.8284,-0.4011,-1.0834,-0.3101
1,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,45,12,5,-0.2493,6.905,8.5368,-0.4827,-0.9481,-0.3719
1,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,45,12,10,-0.1254,7.1749,8.663,-0.2747,-1.0061,-0.2421
1,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Lasso,45,12,10,-0.1058,7.2102,8.9349,-0.1958,-1.134,-0.1895
1,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ElasticNet,45,12,10,-0.116,6.9313,8.3142,-0.266,-0.8478,-0.2772
1,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,SVR,45,12,10,-0.126,7.3257,8.9901,-0.2285,-1.1605,-0.2877
1,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,KNN,45,12,10,-0.1363,7.2262,8.7559,-0.3161,-1.0493,-0.3579
1,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,RF,45,12,10,-0.1466,6.4825,7.783,-0.2506,-0.6192,-0.2386
1,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ET,45,12,10,-0.167,6.8654,8.2162,-0.2847,-0.8045,-0.407
1,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,GB,45,12,10,-0.2484,6.8792,8.4087,-0.3653,-0.89,-0.3474
1,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,XGB,45,12,10,-0.0961,6.3227,8.3522,-0.114,-0.8647,-0.1474
1,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,MLP,45,12,10,-0.0834,6.52,7.9595,-0.1504,-0.6935,-0.2597
1,positive_training,CRADK,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,LGBM,45,12,10,-0.1519,6.8418,8.262,-0.2742,-0.8247,-0.3392
