fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,48,12,10,0.0222,4.8169,5.8361,0.0234,-0.5013,-0.0211
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,48,12,10,0.0443,4.5573,5.6113,0.0482,-0.3879,0.0667
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,48,12,10,0.0325,4.5236,5.583,0.036,-0.3739,-0.0105
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,48,12,10,-0.1009,4.7634,6.0936,-0.1116,-0.6367,-0.0526
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,48,12,10,-0.0284,4.1905,5.6291,-0.0324,-0.3967,0.0526
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,48,12,10,0.1888,3.73,4.8713,0.2275,-0.0459,0.1789
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,48,12,10,-0.1517,4.7317,5.963,-0.1719,-0.5673,-0.1368
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,48,12,10,0.2306,4.3386,5.632,0.2322,-0.3981,0.2421
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,48,12,10,0.1835,4.6907,5.9179,0.1844,-0.5437,0.2351
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,48,12,10,0.1794,4.8197,5.9314,0.1827,-0.5507,0.1544
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,48,12,10,0.0143,4.7126,5.6939,0.0154,-0.429,-0.1248
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,48,12,10,0.1269,3.8712,5.1153,0.1481,-0.1533,0.1333
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,48,12,5,0.114,4.2458,5.2526,0.1291,-0.2161,0.1158
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Lasso,48,12,5,0.1281,4.3499,5.2784,0.143,-0.228,0.1719
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ElasticNet,48,12,5,0.0922,4.0355,5.1061,0.1136,-0.1492,0.0561
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,SVR,48,12,5,0.0937,4.8705,5.6701,0.099,-0.4171,0.0702
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,KNN,48,12,5,0.1515,3.75,4.9523,0.1878,-0.081,0.1338
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,RF,48,12,5,0.193,4.1533,4.9569,0.2238,-0.083,0.2737
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,ET,48,12,5,0.252,3.9329,5.0841,0.2658,-0.1393,0.2877
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,GB,48,12,5,0.2019,5.3879,6.3477,0.2041,-0.776,0.2667
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,XGB,48,12,5,0.1832,5.908,6.7326,0.1884,-0.9979,0.2772
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,MLP,48,12,5,0.1197,4.4612,5.3998,0.13,-0.2852,0.0912
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,LGBM,48,12,5,0.1998,4.0502,4.9444,0.2329,-0.0776,0.0879
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,CatBoost,48,12,5,0.2448,4.4563,5.4163,0.2483,-0.2931,0.3053
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,RobustScaler,Ridge,48,12,15,-0.0569,4.394,5.5746,-0.068,-0.3697,-0.1439
1,positive_training,CR,phq_8,PHQ8,cross-corpus-882,RobustScaler,Lasso,48,12,15,-0.0061,4.6429,5.7373,-0.0067,-0.4509,-0.1298
