fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,Ridge,48,13,10,0.1733,6.3595,8.3696,0.1834,-1.4409,0.2632
1,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,Lasso,48,13,10,0.1439,7.2838,9.8706,0.1669,-2.3949,0.2632
1,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,ElasticNet,48,13,10,0.1481,7.1682,9.7037,0.1701,-2.2811,0.2632
1,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,SVR,48,13,10,0.212,6.458,7.7014,0.2481,-1.0667,0.1995
1,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,KNN,48,13,10,0.301,4.8769,5.6375,0.3517,-0.1074,0.19
1,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,RF,48,13,10,0.1763,5.2862,5.9686,0.21,-0.2414,0.1025
1,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,ET,48,13,10,0.1995,5.2773,6.1366,0.2476,-0.3122,0.1247
1,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,GB,48,13,10,0.2652,5.8747,6.3385,0.2727,-0.4,0.1828
1,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,XGB,48,13,10,0.2893,5.6522,6.0849,0.309,-0.2902,0.1496
1,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,MLP,48,13,10,0.0674,10.123,15.7565,0.1103,-7.651,0.2105
1,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,LGBM,48,13,10,0.146,4.8633,5.9983,0.2138,-0.2537,-0.2161
1,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882,StandardScaler,CatBoost,48,13,10,0.2555,5.4176,5.9589,0.2766,-0.2373,0.0914
1,positive_training,SHAM,phq_8,PHQ8,cross-corpus-882,MinMaxScaler,Ridge,48,13,15,0.1899,5.6133,7.232,0.1911,-0.8225,0.2465
