scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
RobustScaler,LGBM,0.18485999999999997,0.04693067227304547,4.90268,0.36530675055355877,5.90776,0.24728,0.08887025374105782,-0.038220000000000004,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,XGB,0.17878,0.059292975975236736,4.9015200000000005,0.21004937990863012,5.86886,0.24338,0.09327642789043758,-0.02582,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,MLP,0.15356,0.08881285379943603,4.9331000000000005,0.3737731531290067,5.94142,0.20781999999999998,0.10022922228571865,-0.05112000000000001,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,GB,0.14658,0.06921619752630159,4.9774199999999995,0.22531927791469566,5.9506,0.20495999999999998,0.1025094288346199,-0.05454,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,KNN,0.1347,0.07283045379509864,4.869179999999999,0.4829820048407598,5.96674,0.193,0.10832275845822982,-0.05848,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,CatBoost,0.12840000000000001,0.028763518560843696,4.848819999999999,0.21675795717804663,5.8591,0.211,0.07435001681237201,-0.02152,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,LGBM,0.12789999999999999,0.05885949371171994,5.199979999999999,0.3285418116465544,6.180340000000001,0.17118,0.09727534117133695,-0.13858,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,RF,0.10932,0.01728979467778609,4.90176,0.2235592158690846,5.86028,0.19038,0.0548550544617358,-0.021519999999999997,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,ET,0.10407999999999999,0.04121476677114648,4.952160000000001,0.1023112066198029,5.9424399999999995,0.16663999999999998,0.06472976904021828,-0.051039999999999995,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,ET,0.10388,0.02717051710954357,4.9657800000000005,0.1162870027131152,5.94402,0.16402,0.059827142669527496,-0.05144,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,Lasso,0.09856,0.03985333110293291,4.96406,0.2353826947759754,6.041359999999999,0.15018,0.04914068579090039,-0.08698,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,Ridge,0.09382,0.03483148001449264,4.9729399999999995,0.24840498787262727,6.0248800000000005,0.15653999999999998,0.04606563795281686,-0.08152000000000001,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,SVR,0.09314,0.03301716220392055,4.95416,0.29239461007344153,5.9245,0.17158,0.0679532707086274,-0.044340000000000004,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,GB,0.08978,0.05609306552507182,5.26144,0.11707221275776748,6.28062,0.11614,0.071740525506857,-0.17778,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,MLP,0.08856,0.05643742552597522,5.14698,0.30455355358294534,6.17162,0.12356,0.0717132693439645,-0.1331,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,LGBM,0.0881,0.10248382799251793,5.20828,0.4089613209094474,6.21664,0.11812,0.12439024077474888,-0.15262,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,ElasticNet,0.08791999999999998,0.07435046738252557,5.03384,0.15788058145319822,6.02478,0.13972,0.11984542961665247,-0.08074,5,emotion_induction_1,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
