scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
StandardScaler,GB,0.021560000000000003,0.14628637325465418,5.53634,1.2967327068443981,6.73072,0.02947999999999999,0.16489016647453542,-0.45918000000000003,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,MLP,0.01751999999999999,0.17824086792876653,6.441080000000001,0.9499793666180336,7.935079999999999,0.018799999999999997,0.1956522808453814,-1.1105399999999999,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,XGB,0.016139999999999998,0.07451488441915481,5.81952,1.168480045614815,6.79302,0.01894,0.08608485929592961,-0.48224,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,XGB,-0.00964,0.19706547896574886,5.70478,1.312350321751018,6.8940600000000005,0.005600000000000005,0.23723211207591605,-0.57216,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,GB,-0.036239999999999994,0.24714909063154572,5.58966,0.6386141738170237,6.9667,-0.036,0.27539852033008455,-0.60378,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,GB,-0.05442000000000001,0.2735352664648564,5.9009,1.0430511109241005,7.1370000000000005,-0.04746,0.2918621215574231,-0.71792,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,MLP,-0.05574,0.10122513521848218,6.132980000000001,0.28781143479716,7.26888,-0.0814,0.12940001931993672,-0.7321799999999999,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,Ridge,-0.063,0.10218099138293775,5.679240000000001,0.4613453565388948,6.95206,-0.10202,0.13935649249317378,-0.6005800000000001,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,LGBM,-0.07158,0.19970663984955533,5.626040000000001,1.1218676517308086,6.70368,-0.08104,0.2485172388386769,-0.45108,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,ElasticNet,-0.07239999999999999,0.09932519821273954,5.86918,0.5509989718683695,7.159999999999999,-0.10192000000000001,0.13026907537861776,-0.6892199999999999,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,KNN,-0.07596,0.11741885708862951,5.4531,1.0059076075863034,6.6075,-0.1111,0.17506907208299244,-0.38874000000000003,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,CatBoost,-0.08002000000000001,0.19829595810303344,5.6950400000000005,0.6987605441064915,6.7707999999999995,-0.10454,0.25806802979059607,-0.51616,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,ET,-0.08558,0.21372668761762065,5.624979999999999,1.20476104560199,6.65016,-0.09898,0.2673056901751252,-0.4485200000000001,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,CatBoost,-0.09308000000000001,0.22477074320293555,5.748900000000001,1.0556804582827133,6.915520000000001,-0.08916,0.28543523433521656,-0.58062,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,Lasso,-0.09355999999999999,0.11773097723199276,6.12168,0.885987159613501,7.44272,-0.12453999999999998,0.14586909542463064,-0.8442999999999999,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,RF,-0.10318000000000001,0.13175546288484588,5.62616,0.7354982617246623,6.6134,-0.1496,0.18353573221582767,-0.40982,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,CatBoost,-0.10392000000000001,0.13823706811127034,5.717740000000001,0.9777706136921891,6.81932,-0.1384,0.16581611803440582,-0.49176000000000003,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,RF,-0.10696000000000001,0.18242374571310613,5.537539999999999,0.4086209833084933,6.54084,-0.14889999999999998,0.2777540818781967,-0.40698000000000006,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,MLP,-0.11143999999999998,0.2785978607240192,7.1157200000000005,0.7142464819654349,8.626660000000001,-0.10717999999999998,0.2942998250084427,-1.5480399999999999,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Ridge,-0.11181999999999999,0.15842973837004212,6.107059999999999,0.47413489958027755,7.271039999999999,-0.14057999999999998,0.18869579221593683,-0.7318,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ElasticNet,-0.11492,0.16166690137440007,6.18286,0.7033791495345879,7.40924,-0.13854,0.18875435889006642,-0.7818799999999999,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,KNN,-0.11582,0.16023726782493516,6.139419999999999,1.2614576675418003,7.1631,-0.14284000000000002,0.19206338276725213,-0.6205399999999999,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,SVR,-0.11749999999999998,0.20308180617672278,5.73644,0.9281777378282674,7.0231200000000005,-0.1391,0.2516830645871907,-0.6143000000000001,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,KNN,-0.11828000000000002,0.20056591684531047,5.72602,1.0982925734976088,6.847320000000001,-0.15964,0.2748171628555975,-0.5035200000000001,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,XGB,-0.11926,0.2686191039371548,6.16578,0.8511164180063738,7.314919999999999,-0.11951999999999999,0.2995762957912392,-0.7787400000000001,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Lasso,-0.11986,0.12217288160635321,6.097980000000001,0.5329616093115902,7.25924,-0.15126,0.14626801769354775,-0.7285999999999999,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,LGBM,-0.13599999999999998,0.1712261662246749,5.68476,0.9476037742643283,6.70612,-0.14948,0.2782172478477925,-0.48202,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,RF,-0.13708,0.28926440672851544,5.54582,0.8375750217144732,6.64842,-0.13608,0.35758116141653773,-0.48278,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,SVR,-0.14038,0.17373303370401383,6.1785,0.9549995890051475,7.5114,-0.16749999999999998,0.2099553762112321,-0.8190999999999999,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,Ridge,-0.15905999999999998,0.16714395890967762,6.374899999999999,0.5114048689639158,7.6848399999999994,-0.18084,0.19025651894219026,-0.9253600000000001,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,ElasticNet,-0.17004,0.164060638179912,6.204079999999999,0.5699446087121097,7.3974,-0.19927999999999998,0.1783497322678114,-0.7829,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,LGBM,-0.17099999999999999,0.2681128586994663,5.8857,1.0121348032747417,6.97798,-0.18924000000000002,0.3010473517571613,-0.62266,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ET,-0.17160000000000003,0.15337863280131298,6.04688,0.9071472851747946,7.0775999999999994,-0.22225999999999999,0.2006540256262007,-0.6451800000000001,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,Lasso,-0.18894,0.17365057730972278,6.5738,0.7733150457607818,7.837219999999999,-0.2125,0.183760292228762,-1.0162200000000001,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,SVR,-0.19057999999999997,0.1641416370090173,6.20988,0.6498433480462811,7.5810200000000005,-0.21723999999999996,0.18707670352024058,-0.8625999999999999,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,ET,-0.2016,0.15686903773530325,6.20692,1.0241260430240016,7.20164,-0.24869999999999998,0.2030239025336672,-0.68488,5,emotion_induction_1,CRADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,SVR,0.13240000000000002,0.10498868986705187,7.02004,1.4619496923629076,8.487440000000001,0.16902,0.12306409712015931,-0.96878,5,emotion_induction_1,CRADK,phq_9,PHQ9,cross-corpus-882
StandardScaler,RF,0.10678000000000001,0.11942444054715098,5.915699999999999,0.8910022951710055,7.218179999999999,0.18905999999999998,0.2102053828996774,-0.30955999999999995,5,emotion_induction_1,CRADK,phq_9,PHQ9,cross-corpus-882
StandardScaler,XGB,0.09806000000000001,0.17920385877541814,6.439959999999999,1.1323996238077794,7.98154,0.11912,0.23619128265031292,-0.6446999999999999,5,emotion_induction_1,CRADK,phq_9,PHQ9,cross-corpus-882
StandardScaler,CatBoost,0.09044,0.1402817807129636,5.80496,0.75236269710825,7.249759999999999,0.15498,0.23035253851433893,-0.32478,5,emotion_induction_1,CRADK,phq_9,PHQ9,cross-corpus-882
StandardScaler,GB,0.0778,0.15135740814377074,6.68332,1.3579241849234442,8.19744,0.09881999999999999,0.19234803612202542,-0.7423,5,emotion_induction_1,CRADK,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,Ridge,0.07135999999999999,0.11829027009860109,7.309099999999999,1.8086689829816849,9.09534,0.09276,0.1611068992936057,-1.21176,5,emotion_induction_1,CRADK,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,ElasticNet,0.06848000000000001,0.11266222525762573,7.625719999999999,1.9072660189391513,9.5013,0.08522,0.16370012828339506,-1.37384,5,emotion_induction_1,CRADK,phq_9,PHQ9,cross-corpus-882
StandardScaler,ET,0.06639999999999999,0.137481435110345,6.2037,0.8868208894697961,7.4924800000000005,0.12596000000000002,0.22655017766490496,-0.42238,5,emotion_induction_1,CRADK,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,Lasso,0.05808,0.09930907310009493,7.7602199999999995,1.833704449195671,9.84174,0.08070000000000001,0.1436854724737334,-1.5873599999999999,5,emotion_induction_1,CRADK,phq_9,PHQ9,cross-corpus-882
StandardScaler,SVR,0.055080000000000004,0.12568906873710217,6.293640000000001,0.7220382628365342,7.65488,0.08363999999999999,0.16253512851073149,-0.4766,5,emotion_induction_1,CRADK,phq_9,PHQ9,cross-corpus-882
RobustScaler,XGB,0.05322,0.13343725866488715,6.79648,1.3038423436136746,8.51098,0.07558000000000001,0.19865637920791773,-0.8877200000000001,5,emotion_induction_1,CRADK,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,KNN,0.04876,0.07167110993977978,5.91622,1.2182389449529187,7.610719999999999,0.08488,0.09658036549941194,-0.42188,5,emotion_induction_1,CRADK,phq_9,PHQ9,cross-corpus-882
RobustScaler,LGBM,0.04728,0.15479850451474006,5.86472,0.9810904708537332,7.403560000000001,0.07914000000000002,0.24482523971192185,-0.37378,5,emotion_induction_1,CRADK,phq_9,PHQ9,cross-corpus-882
RobustScaler,GB,0.04686,0.13808875044694988,6.912320000000001,1.2419996123187802,8.474039999999999,0.07872,0.22511440869033683,-0.8430799999999999,5,emotion_induction_1,CRADK,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,ET,0.04486,0.151160570255606,6.0879199999999996,0.8716451468344214,7.447399999999999,0.09706000000000001,0.24772551947669824,-0.40802000000000005,5,emotion_induction_1,CRADK,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,LGBM,0.04226,0.12283671275315046,5.642280000000001,0.9155664951274701,7.32626,0.0779,0.19278031538515544,-0.3464,5,emotion_induction_1,CRADK,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,CatBoost,0.03924,0.21513865993818962,5.779859999999999,0.6342305085692427,7.338640000000001,0.09675999999999998,0.3395043858332319,-0.37901999999999997,5,emotion_induction_1,CRADK,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,MLP,0.038060000000000004,0.13932637223440505,7.4356800000000005,1.8106286455261882,9.39296,0.06826,0.19843172125444056,-1.44868,5,emotion_induction_1,CRADK,phq_9,PHQ9,cross-corpus-882
RobustScaler,RF,0.03648,0.09632742081048365,6.35986,0.9183047386352748,7.7458,0.07242000000000001,0.16935212428546623,-0.50592,5,emotion_induction_1,CRADK,phq_9,PHQ9,cross-corpus-882
RobustScaler,ET,0.0327,0.13755587955445597,6.5361199999999995,1.119242970493896,7.90282,0.06253999999999998,0.20190232291878168,-0.58604,5,emotion_induction_1,CRADK,phq_9,PHQ9,cross-corpus-882
RobustScaler,CatBoost,0.027979999999999998,0.13638789169130813,6.317479999999999,0.7086157999931978,7.7964199999999995,0.05721999999999999,0.2110607661314627,-0.52146,5,emotion_induction_1,CRADK,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,RF,0.021939999999999998,0.12441773587395005,5.64736,0.9681979487687422,7.158580000000001,0.060640000000000006,0.2241444690372707,-0.26772,5,emotion_induction_1,CRADK,phq_9,PHQ9,cross-corpus-882
