scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
RobustScaler,ET,0.0871,0.24497897869000923,5.17538,1.1740319446250174,6.1625,0.11252,0.2931853543409016,-0.27658,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,CatBoost,0.07136,0.3079595233143473,5.4436599999999995,1.372551286109193,6.57822,0.07333999999999999,0.37403188767804274,-0.47258000000000006,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,GB,0.04717999999999999,0.3316279119736455,5.64774,1.5020223343878747,6.83288,0.03342,0.3853915048363158,-0.61238,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ET,0.026340000000000002,0.11290512831576784,5.37224,0.8698139186055833,6.45802,0.028879999999999996,0.12874784270037307,-0.40472,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,KNN,0.0095,0.15606176661822074,5.41032,0.9373293375329717,6.39516,0.0109,0.1857032983013495,-0.37416,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,RF,0.007719999999999999,0.2560038612990046,5.13256,1.1645277682391262,6.1868,-0.008179999999999998,0.3607014444107481,-0.29775999999999997,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,XGB,-0.010440000000000005,0.270997976007202,5.8213,1.3283097963201205,7.025119999999999,-0.019459999999999998,0.3010263908696379,-0.66284,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,CatBoost,-0.010920000000000003,0.22768680682024597,5.621599999999999,1.137156904301249,6.68468,-0.018919999999999992,0.28675557884721264,-0.52686,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,SVR,-0.01098,0.23383353480628052,5.6466,1.3749869344833787,6.68994,0.0006800000000000084,0.3664977107704767,-0.54422,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,KNN,-0.014139999999999996,0.2856465088181545,5.8075,1.5412229592112883,6.6652000000000005,-0.01936000000000001,0.34167825947812364,-0.51818,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,MLP,-0.01842,0.13007127661401652,6.36652,1.1827879509869896,8.00056,0.0020199999999999997,0.19305964622364769,-1.92198,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,XGB,-0.021580000000000005,0.2665816891686299,6.15254,1.4460642821119674,6.97834,-0.027000000000000003,0.345147997241763,-0.67194,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Lasso,-0.028559999999999995,0.15511619193365986,6.26708,1.0908323413797376,7.7535799999999995,-0.02864,0.25971523443956845,-1.6878199999999999,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,GB,-0.031799999999999995,0.30608890048481013,6.30072,1.3428200370861318,7.209039999999999,-0.06048000000000001,0.3881129049645219,-0.80786,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,CatBoost,-0.035699999999999996,0.29346867805610877,5.79482,1.1904055157802316,6.73748,-0.07118,0.3922795775974069,-0.5606,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,GB,-0.039639999999999995,0.19504218261699185,6.029539999999999,1.0774937229515538,7.11678,-0.049960000000000004,0.23320540945698495,-0.7293200000000001,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,SVR,-0.03984,0.11372685698637768,6.26276,0.8535098903937789,7.523320000000001,-0.0375,0.14831373840612339,-1.27402,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,RF,-0.04042,0.20003778892999194,5.46244,1.0275045610604363,6.3659799999999995,-0.06528,0.2888690308773164,-0.3729,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,XGB,-0.0421,0.17329114230104203,5.92986,0.930024829238446,7.07462,-0.048519999999999994,0.22787247968984756,-0.7243599999999999,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,ET,-0.04642,0.2526055957416621,5.6025599999999995,1.1182955168469562,6.63164,-0.07676000000000001,0.32987929307551267,-0.49034000000000005,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ElasticNet,-0.04872,0.15370830166259727,6.273560000000001,0.9451951348795656,7.677020000000001,-0.06225999999999998,0.2525129957051716,-1.5696400000000001,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,KNN,-0.0493,0.3046502666993745,5.78012,1.3114962702958783,6.668699999999999,-0.0673,0.4105578461069767,-0.51234,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,Lasso,-0.05069999999999999,0.17499945714201515,6.59828,1.6029887825558857,8.47648,0.006959999999999994,0.35112962421305327,-2.64026,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,Lasso,-0.05162,0.2533552387459158,6.830959999999999,2.389544970909734,8.879180000000002,-0.03243999999999999,0.4101248383114586,-3.70614,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,MLP,-0.05202,0.18243156799194596,7.87264,3.9501028920776227,10.914939999999998,-0.04446,0.264646826922221,-7.9899000000000004,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,Ridge,-0.052539999999999996,0.18525502152438406,6.267799999999999,1.1155748764650444,7.937219999999999,-0.006059999999999987,0.3510837264813053,-1.9129600000000004,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,ElasticNet,-0.05328000000000001,0.18128624327289702,6.45696,1.414311367061723,8.275519999999998,0.003300000000000003,0.35058282188378825,-2.3717200000000003,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Ridge,-0.05486,0.14684920156405346,6.37598,1.0246992275785125,7.859,-0.05698000000000001,0.23097769805762636,-1.7250600000000003,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,LGBM,-0.06366000000000001,0.28167432080329935,5.6567,1.2245258184293217,6.575100000000001,-0.06624000000000001,0.3779204651775291,-0.47661999999999993,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
RobustScaler,LGBM,-0.06458,0.27795417248172405,5.52038,1.3950144845126162,6.619280000000001,-0.08281999999999999,0.3745877694212666,-0.492,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,RF,-0.06620000000000001,0.18050758986812718,5.494,0.9426270922268255,6.56284,-0.08592,0.2843883207869128,-0.47289999999999993,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,ElasticNet,-0.07044,0.27094196426541234,6.717840000000001,1.9556717881587395,8.64564,-0.06168000000000001,0.4243969981043693,-3.13034,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,Ridge,-0.07058,0.2540578221586574,6.78672,2.2975353102836094,8.806000000000001,-0.061439999999999995,0.40824180702128,-3.5711000000000004,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,MLP,-0.0914,0.3241265647860415,8.51336,4.6792558038645415,12.36486,-0.11273999999999999,0.41916931304664945,-11.517140000000001,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,LGBM,-0.11412,0.16441598766543356,5.63872,1.0072210715627428,6.654300000000001,-0.14816000000000001,0.2527130942392974,-0.5061,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
StandardScaler,SVR,-0.16650000000000004,0.3622304860168454,5.9658,1.5387506880583355,7.09204,-0.1264,0.5572116339417188,-0.72846,5,emotion_induction_1,CR,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,CatBoost,0.0014399999999999968,0.2421754694431292,6.7633600000000005,1.1631132201982748,7.90646,0.020520000000000004,0.3197283956735779,-0.38844,5,emotion_induction_1,CR,phq_9,PHQ9,cross-corpus-882
RobustScaler,GB,0.0009199999999999986,0.26642133360525017,6.96246,0.8658572907818006,8.11514,0.0022199999999999833,0.3264540044171613,-0.47446,5,emotion_induction_1,CR,phq_9,PHQ9,cross-corpus-882
RobustScaler,ET,-0.002859999999999999,0.28516560627116305,6.662819999999999,1.3506871332769848,7.5920000000000005,-0.006780000000000008,0.35152525798297907,-0.28704,5,emotion_induction_1,CR,phq_9,PHQ9,cross-corpus-882
RobustScaler,CatBoost,-0.016419999999999997,0.209735492942897,6.909260000000001,0.5803971338661139,7.962680000000001,-0.032159999999999994,0.2676557920165375,-0.40612000000000004,5,emotion_induction_1,CR,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,SVR,-0.020399999999999984,0.4055541332547358,7.10536,1.6655882543413905,8.15832,-0.037399999999999975,0.49273910946869237,-0.5056999999999999,5,emotion_induction_1,CR,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,LGBM,-0.021740000000000002,0.2735364107390459,6.8191999999999995,0.8891444764491319,7.858879999999999,-0.029560000000000003,0.38594056278136923,-0.3665,5,emotion_induction_1,CR,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,GB,-0.02321999999999999,0.3015660740202717,7.123140000000001,1.35737195455041,8.33498,-0.009540000000000003,0.3667831075717638,-0.5459,5,emotion_induction_1,CR,phq_9,PHQ9,cross-corpus-882
StandardScaler,XGB,-0.026339999999999995,0.3030273799510533,7.421919999999998,1.397458699568613,8.464879999999999,-0.009319999999999998,0.34481386573048367,-0.60668,5,emotion_induction_1,CR,phq_9,PHQ9,cross-corpus-882
StandardScaler,GB,-0.037779999999999994,0.2700849903271191,7.286120000000001,1.106897347092313,8.41904,-0.03292000000000002,0.3280012911559953,-0.5812200000000001,5,emotion_induction_1,CR,phq_9,PHQ9,cross-corpus-882
RobustScaler,XGB,-0.04290000000000001,0.2988725397222033,7.2156,0.8855273626489469,8.3637,-0.05685999999999999,0.3829306895509943,-0.556,5,emotion_induction_1,CR,phq_9,PHQ9,cross-corpus-882
StandardScaler,ET,-0.044719999999999996,0.2378672255692238,6.838640000000001,1.1847938187718574,7.768040000000001,-0.061380000000000004,0.30271864329769976,-0.34628000000000003,5,emotion_induction_1,CR,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,Ridge,-0.046960000000000016,0.29398979233980216,7.86416,1.0002883224350871,9.1236,-0.10608,0.42676302206259625,-0.9441600000000001,5,emotion_induction_1,CR,phq_9,PHQ9,cross-corpus-882
RobustScaler,LGBM,-0.047099999999999996,0.25064728205189063,6.96246,0.9351262524386748,8.020199999999999,-0.023240000000000004,0.37978687181101983,-0.42394,5,emotion_induction_1,CR,phq_9,PHQ9,cross-corpus-882
RobustScaler,RF,-0.04916,0.24123164800664113,6.69028,0.9673264867664899,7.559520000000001,-0.07172000000000002,0.3491143824021004,-0.26756,5,emotion_induction_1,CR,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,Lasso,-0.04966,0.2653364430303535,8.2283,1.3632094409884348,9.869679999999999,-0.05945,0.4581455409219506,-1.4390800000000001,5,emotion_induction_1,CR,phq_9,PHQ9,cross-corpus-882
RobustScaler,SVR,-0.06251999999999999,0.2324488373814763,6.91512,1.2371485448401094,8.16296,-0.11072,0.2860949615075386,-0.48371999999999993,5,emotion_induction_1,CR,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,ET,-0.06568,0.3016484576456508,6.926219999999999,1.486413671223459,7.84936,-0.07390000000000001,0.39584280339548933,-0.37174,5,emotion_induction_1,CR,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,ElasticNet,-0.06760000000000001,0.28248153036968626,8.077639999999999,1.0367555464042622,9.48388,-0.11284000000000001,0.4271143968540513,-1.15626,5,emotion_induction_1,CR,phq_9,PHQ9,cross-corpus-882
MinMaxScaler,RF,-0.06764,0.31132679454232653,6.88382,1.2510170290607563,7.737519999999999,-0.09376,0.4664909088074493,-0.3309,5,emotion_induction_1,CR,phq_9,PHQ9,cross-corpus-882
StandardScaler,CatBoost,-0.06867999999999999,0.2503279588859383,7.1447400000000005,1.0723220285902921,8.13206,-0.054200000000000005,0.33067486296965487,-0.47006000000000003,5,emotion_induction_1,CR,phq_9,PHQ9,cross-corpus-882
RobustScaler,Ridge,-0.0725,0.23327340182712644,8.70228,1.5837728394564672,10.59452,-0.0945,0.3790688657750726,-1.87562,5,emotion_induction_1,CR,phq_9,PHQ9,cross-corpus-882
