scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
StandardScaler,Lasso,0.03218,0.12164023594189546,6.0527,1.4996262467695078,7.27594,0.07772,0.26021937283761176,-0.92716,5,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,ElasticNet,0.02246,0.0981842808192839,6.257359999999999,1.2034357535822182,7.477720000000001,0.03922,0.16097331145255103,-1.01574,5,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,Ridge,-0.006579999999999997,0.1936431692572707,6.431219999999999,1.506908768638633,7.58952,0.008859999999999998,0.23866753654403858,-0.92404,5,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,MLP,-0.017500000000000005,0.21968398894776103,7.25496,1.89446331529539,8.87598,0.011260000000000003,0.2732645933888984,-2.06784,5,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,LGBM,-0.04152,0.1239459035224642,5.5298,0.553267860082257,6.6461,-0.03394,0.1854875413605992,-0.39502,5,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,LGBM,-0.0498,0.1080724756818312,5.471680000000001,0.84110742001245,6.531499999999999,-0.06011999999999999,0.14195905043356694,-0.31880000000000003,5,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,CatBoost,-0.06554,0.1778283104570248,5.88646,1.28937823698091,6.8891599999999995,-0.07932,0.22496650195084603,-0.48844000000000004,5,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,RF,-0.08552000000000001,0.0926784872556733,5.58112,0.8348652687709553,6.53334,-0.13435999999999998,0.13257881806683902,-0.31986,5,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Lasso,-0.09480000000000001,0.13201823737650797,6.10786,1.0550658074262476,7.01146,-0.12818,0.16257752612215504,-0.5186,5,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,KNN,-0.09564000000000002,0.184878711592222,5.870700000000001,1.124512741146137,6.81794,-0.15576000000000004,0.2557887077257321,-0.41292,5,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882
StandardScaler,ET,-0.10066000000000001,0.1314595869459508,5.93704,0.9755553561946139,6.895599999999999,-0.1398,0.1784568995584088,-0.49232,5,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,GB,-0.10502,0.1612008901960532,5.95834,0.45079325971003625,7.0971400000000004,-0.11461999999999999,0.1830006338786836,-0.62334,5,emotion_induction_1,SHAM,phq_8,PHQ8,cross-corpus-882
