scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
StandardScaler,KNN,0.06516,0.08729434689600468,5.128019999999999,0.44534381886358293,6.14578,0.09594,0.11787619776697923,-0.11682000000000001,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,KNN,0.05806,0.042872753585464975,5.290100000000001,0.4253617460468206,6.21026,0.0815,0.06031496497553488,-0.13906,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,LGBM,0.0543,0.07545382694071918,5.2046399999999995,0.2529255582182237,6.252979999999999,0.076,0.10450832502724365,-0.1555,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,SVR,0.051480000000000005,0.07234191039777703,5.123780000000001,0.2992529398351835,6.0238,0.09176000000000001,0.1170848111413261,-0.07302,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,CatBoost,0.0505,0.09202018800241608,5.0994,0.31038805550471826,6.03502,0.08872,0.16494002546380304,-0.07774,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,GB,0.04898000000000001,0.08632361785745545,5.362620000000001,0.31948798412459894,6.39512,0.06372000000000001,0.11111870679593062,-0.20828000000000002,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,RF,0.0478,0.03581577864573099,5.1348199999999995,0.24142312855234044,6.05198,0.08004,0.062209589292969936,-0.08175999999999999,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,MLP,0.04632000000000001,0.08951163052922229,5.379479999999999,0.375072195717038,6.352320000000001,0.06598,0.1245374120495524,-0.19264,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,MLP,0.040400000000000005,0.04097041615605094,5.4325600000000005,0.5009755213580797,6.36636,0.054459999999999995,0.05269547418896617,-0.19784000000000002,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,LGBM,0.03807999999999999,0.0837095693454458,5.307,0.3138611635739596,6.373279999999999,0.04894,0.10731047479160645,-0.19932,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,KNN,0.03422,0.07256615602331434,5.1493400000000005,0.2985984644970571,6.19192,0.05286,0.11087014025426323,-0.13457999999999998,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,CatBoost,0.0325,0.0443947068917005,5.21812,0.3354116605009433,6.1479,0.04866,0.07210501369530414,-0.11610000000000001,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,GB,0.02802,0.07477373870551078,5.40652,0.4867253712310465,6.490039999999999,0.03124,0.09282902563314989,-0.24424,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,CatBoost,0.0279,0.07047052575367946,5.20816,0.3907239729015869,6.174460000000001,0.038919999999999996,0.11974859915673336,-0.12594,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,GB,0.02756,0.06783084106805695,5.36996,0.31381048102318054,6.39594,0.03676,0.08607852810079875,-0.21088,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,LGBM,0.026639999999999997,0.10035588174093235,5.30624,0.3588181963055944,6.3832,0.03368,0.13504390767450417,-0.20392000000000002,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,Lasso,0.02656,0.05738234048903896,5.1570800000000006,0.3359708276026357,6.114520000000001,0.033220000000000006,0.11158338586008223,-0.10398,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,XGB,0.02508,0.07010276028802288,5.336800000000001,0.3640108995620872,6.36028,0.036059999999999995,0.0941441872873732,-0.19794,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,Lasso,0.024280000000000003,0.06513533603198804,5.28718,0.3978440234564296,6.253959999999999,0.05122,0.11639869844633144,-0.15716000000000002,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,Ridge,0.022959999999999998,0.050253338197576485,5.199400000000001,0.4082620971875787,6.13222,0.04544,0.09784910832501235,-0.11062000000000001,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,ET,0.02248,0.050623778997621265,5.242579999999999,0.2318475619884754,6.1984200000000005,0.03418,0.07243822885742031,-0.13498000000000002,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,RF,0.02102,0.09363974583476826,5.1884999999999994,0.28664522497331124,6.12604,0.031740000000000004,0.1520037598219202,-0.11016000000000001,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,ET,0.020939999999999997,0.10118593281677053,5.28096,0.3193161802978361,6.279020000000001,0.030920000000000003,0.1449477733530253,-0.16618000000000002,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,ElasticNet,0.019540000000000002,0.04936059156857826,5.16306,0.3634195069062748,6.10122,0.04278,0.10552863118604354,-0.09934000000000001,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,Ridge,0.014480000000000002,0.05769243451268113,5.226180000000001,0.31034338562308694,6.1589599999999995,0.03764,0.09845683318084124,-0.12119999999999997,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,ElasticNet,0.012079999999999999,0.05557487741776855,5.25952,0.37491259914812153,6.20368,0.03776,0.09985621162451537,-0.13785999999999998,5,latency,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
